Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x3][0x5],3 [0x1][0x6],4 [0x1][0x7],5 [0x1][0x8],6 [0x1][0x9],7 [0x1][0xa],8 [0x1][0xb],9 [0x1][0xc],10 [0x1][0xd]
0,"1-5",0,0,true,true,true,true,true,true,true,true
1,"6-10",3,6,true,true,true,true,true,true,true,true
2,"11-15",8,11,true,true,true,true,true,true,true,true
3,"16-20",13,16,true,true,true,true,true,true,true,true
4,"21-25",18,21,true,true,true,true,true,true,true,true
5,"26-30",23,26,true,true,true,true,true,true,true,true
6,"31-35",28,31,true,true,true,true,true,true,true,true
7,"36-40",33,36,true,true,true,true,true,true,true,true
8,"41-45",38,41,true,true,true,true,true,true,true,true
9,"46-50",43,46,true,true,true,true,true,true,true,true
10,"51-55",48,51,true,true,true,true,true,true,true,true
11,"56-60",53,56,true,true,true,true,true,true,true,true
12,"61-65",61,61,true,true,true,true,true,true,true,true
13,"66-70",63,66,true,true,true,true,true,true,true,true
14,"71-75",68,71,true,true,true,true,true,true,true,true
15,"76-80",73,76,true,true,true,true,true,true,true,true
16,"81-85",78,81,true,true,true,true,true,true,true,true
17,"86-90",83,86,true,true,true,true,true,true,true,true
18,"91-95",88,91,true,true,true,true,true,true,true,true
19,"96-100",93,96,true,true,true,true,true,true,true,true
20,"101-105",98,101,true,true,true,true,true,true,true,true
21,"106-110",103,106,true,true,true,true,true,true,true,true
22,"111-115",108,111,true,true,true,true,true,true,true,true
23,"116-120",113,116,true,true,true,true,true,true,true,true
24,"121-125",118,121,true,true,true,true,true,true,true,true
25,"126-130",123,126,true,true,true,true,true,true,true,true
26,"131-135",128,131,true,true,true,true,true,true,true,true
27,"136-140",133,136,true,true,true,true,true,true,true,true
28,"141-145",138,141,true,true,true,true,true,true,true,true
29,"146-150",143,146,true,true,true,true,true,true,true,true
30,"151-155",148,151,true,true,true,true,true,true,true,true
31,"156-160",153,156,true,true,true,true,true,true,true,true
32,"161-175",158,161,true,true,true,true,true,true,true,true
33,"166-170",163,166,true,true,true,true,true,true,true,true
34,"171-175",168,171,true,true,true,true,true,true,true,true
35,"176-180",173,176,true,true,true,true,true,true,true,true
36,"181-185",178,181,true,true,true,true,true,true,true,true
37,"186-190",183,186,true,true,true,true,true,true,true,true
38,"191-195",188,191,true,true,true,true,true,true,true,true
39,"196-200",193,196,true,true,true,true,true,true,true,true
40,"[翻訳不要] レベル区分終端",255,255,true,true,true,true,true,true,true,true
1000,"Housing",12,255,true,true,true,true,true,true,true,true
1001,"Dyes",30,255,true,true,true,true,true,true,true,true
1002,"PvP",50,255,true,true,true,true,true,true,true,true
1003,"Master",50,255,true,true,true,true,true,true,true,true
1004,"Beast Tribe",1,255,true,true,true,true,true,true,true,true
1005,"",255,255,true,true,true,true,true,true,true,true
2000,"Regional Folklore",255,50,true,true,true,true,true,true,true,true
2001,"",255,255,true,true,true,true,true,true,true,true
