Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x3][0x16],9 [0x7][0x10],10 [0x3][0x17],11 [0x5][0x14],12 [0x19][0x19],13 [0x1a][0x19],14 [0x1b][0x19],15 [0x3][0x18]
2000000,"",0,"",0,0,1,0,0,3,0,7,0,true,false,true,0
2000001,"透明君※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000002,"草むらテスト※α未使用",0,"",0,0,1,0,0,3,65538,7,1860,true,false,true,0
2000003,"クエストツールテスト※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000004,"クエストツールテスト２※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000005,"草むら※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000006,"草むら※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000007,"草むら※α未使用",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000008,"境樹",0,"",0,0,1,0,0,3,65633,7,1625,true,false,true,0
2000009,"指定地点",0,"",0,0,1,0,0,3,65635,7,1625,true,false,true,0
2000010,"アノールの卵",0,"",0,0,1,0,0,3,65661,7,1843,true,false,true,0
2000011,"アノールの卵",0,"",0,0,1,0,0,3,65661,7,1843,true,false,true,0
2000012,"アノールの卵",0,"",0,0,1,0,0,3,65661,7,1843,true,false,true,0
2000013,"アノールの卵",0,"",0,0,1,0,0,3,65661,7,1843,true,false,true,0
2000014,"アノールの卵",0,"",0,0,1,0,0,3,65661,7,1843,true,false,true,0
2000015,"エメリア宛ての手紙",0,"",0,0,1,0,0,3,0,7,1848,true,false,true,0
2000016,"蝕まれた木",0,"",0,0,1,0,0,3,65663,7,1625,true,false,true,0
2000017,"蝕まれた木",0,"",0,0,1,0,0,3,65663,7,1625,true,false,true,0
2000018,"蝕まれた木",0,"",0,0,1,0,0,3,65663,7,1625,true,false,true,0
2000019,"オニィーの髪飾り",0,"",0,0,1,0,0,3,0,7,1624,true,false,true,0
2000020,"森の地野菜",0,"",0,0,1,0,0,3,65578,7,1856,true,false,true,0
2000021,"森の地野菜",0,"",0,0,1,0,0,3,65578,7,1858,true,false,true,0
2000022,"森の地野菜",0,"",0,0,1,0,0,3,65578,7,1856,true,false,true,0
2000023,"森の地野菜",0,"",0,0,1,0,0,3,65578,7,1858,true,false,true,0
