Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0xc],3 [0x5][0xe],4 [0x3][0x10],5 [0x3][0x11],6 [0x6][0x8]
0,"","",0,0,0,0,0
1,"Attaque automatique","Vous portez des coups à une cible à intervalles réguliers. La rapidité dépend de l'arme.",0,0,0,1,101
2,"Saut","Vous sautez pour éviter de petits obstacles ou simplement pour le plaisir de vous dépenser.",0,0,0,2,102
3,"Transcendance","Vous utilisez l'énergie accumulée dans la jauge de Transcendance de votre équipe afin de lancer une puissante technique de combat, déterminée par le rôle de l'équipier qui la lance.\n<color #FFFF66>Tank:</color> diminue les dégâts reçus par l'équipe.\n<color #FFFF66>DPS de mêlée:</color> inflige d'importants dégâts à une cible.\n<color #FFFF66>DPS à distance:</color> inflige d'importants dégâts aux ennemis en ligne droite devant.\n<color #FFFF66>Mage:</color> inflige d'importants dégâts aux ennemis dans l'aire d'effet.\n<color #FFFF66>Soigneur:</color> soigne les PV des équipiers, et ressuscite au niveau 3.",0,0,0,3,103
4,"Sprint","Vous utilisez tous vos PT pour augmenter votre vitesse de déplacement.\n<color #FFFF66>Durée:</color> PT/50s",3,0,56,4,104
5,"Recyclage","Vous désintégrez un objet pour récupérer certains de ses matériaux.",0,95,0,21,120
6,"Réparation","Vous réparez l'équipement usé. L'utilisation de matière sombre de grade adéquat est nécessaire.",0,0,0,5,106
7,"Téléportation","Vous utilisez des gils pour vous téléporter à une éthérite avec laquelle vous vous êtes harmonisé<if:e/none>.",5,4,0,6,111
8,"Rapatriement","Vous vous téléportez à votre point de retour.",6,1,57,7,112
9,"Monture aléatoire","Vous appelez aléatoirement une de vos montures.",0,0,0,17,118
10,"Mascotte aléatoire","Vous appelez aléatoirement une de vos mascottes.",0,0,0,18,117
11,"","",0,0,0,0,0
12,"Sertissage de matéria","Vous sertissez une matéria à une pièce d'équipement en utilisant de la matière carbonique.",0,11,0,8,107
13,"Sertissage avancé de matéria","Vous sertissez une matéria à une pièce d'équipement en utilisant de la matière carbonique. Vous pouvez sertir des matérias dans un objet qui n'a plus d'emplacements disponibles, mais cette opération est risquée et la réussite n'est pas garantie.",0,12,0,9,108
14,"Matérialisation","Vous réduisez un objet en parfaite symbiose avec vous à l'état d'éther, puis le cristallisez en une matéria.",0,13,0,10,109
15,"Teinture","Vous utilisez une teinture pour teindre une pièce d'équipement.",0,14,0,11,110
16,"Ciblage","Vous ciblez les ennemis dans le sens des aiguilles d'une montre en commençant par le plus proche.",0,0,0,12,113
17,"Ciblage contraire","Vous ciblez les ennemis dans le sens contraire des aiguilles d'une montre en commençant par le plus proche.",0,0,0,13,114
18,"Déposer","Vous posez par terre l'objet que vous avez entre les mains.",0,0,0,0,61112
19,"Déchiffrage","Vous retirez les vieilles cartes de leur prison de verre et déchiffrez leurs mystérieux symboles.",1694,25,0,15,115
20,"Excavation","Vous sondez les environs et déterrez les coffres indiqués par les cartes au trésor.\n\n<color #FFFF66>Aire d'effet:</color> 30m",1695,25,67,16,116
21,"Éthérolyse","Vous manipulez l'éther contenu dans un objet collectionnable pour en affiner les qualités et en obtenir les matériaux.",0,256,0,22,121
22,"Mirage","Vous projetez sur vous l'illusion d'un autre équipement grâce à un prisme magique.",0,15,0,20,119
23,"Descente","Vous descendez de votre monture et mettez pied à terre.",0,0,0,0,61128
24,"","",0,0,0,0,0
25,"","",0,0,0,0,0
