Index,0 [0x3][0x4],1 [0x5][0x0],2 [0x3][0x5],3 [0x3][0x6],4 [0x5][0x2],5 [0x3][0x7]
0,1,0,1,1,3002,1
1,2,1,1,1,3073,1
2,2,2,1,1,3118,1
3,2,1001,1,1,3070,1
4,2,1002,1,1,3069,1
5,2,1003,1,1,3071,1
6,2,1004,1,1,3072,1
7,2,1005,1,1,3058,1
8,2,1006,1,1,3060,1
9,2,1007,1,1,3119,1
10,2,1008,1,1,3120,1
11,2,1009,1,1,3121,1
12,2,1009,1,5,3096,1
13,2,1009,7,1,3122,1
14,2,1012,1,1,3074,1
15,2,1013,1,1,3098,1
16,2,1014,1,1,3123,1
17,2,1015,1,1,3017,1
18,2,1016,1,1,3099,1
19,2,1017,1,1,3092,1
20,3,1,1,1,3011,1
21,3,1,2,1,3012,1
22,3,1,3,1,3012,1
23,3,1,3,2,3012,1
24,3,2,1,1,3036,1
25,3,2,2,1,3036,1
26,3,2,2,2,3036,1
27,3,2,2,3,3036,1
28,3,3,1,1,3043,1
29,3,3,1,2,3043,1
30,3,3,1,3,3043,1
31,3,4,1,1,3005,1
32,3,4,1,2,3005,1
33,3,4,1,3,3005,1
34,3,5,1,1,3087,1
35,3,5,1,2,3087,1
36,3,6,1,1,3041,1
37,3,6,1,2,3041,1
38,3,6,1,3,3041,1
39,3,7,1,1,3050,1
40,3,7,1,2,3050,1
41,3,7,1,3,3050,1
42,3,7,1,4,3050,1
43,3,7,1,5,3050,1
44,3,8,1,1,3014,1
45,3,8,1,2,3014,1
46,3,8,1,3,3014,1
47,3,8,1,4,3014,1
48,3,9,1,1,3024,1
49,3,9,1,2,3024,1
50,3,10,1,1,3037,1
51,3,10,1,2,3037,1
52,3,10,1,3,3037,1
53,3,11,1,1,3049,1
54,3,11,1,2,3049,1
55,3,12,1,1,3197,1
56,3,13,1,1,3035,1
57,3,13,1,2,3035,1
58,3,14,1,1,3056,1
59,3,14,1,2,3056,1
60,3,14,1,3,3056,1
61,3,15,1,1,3003,1
62,3,15,2,1,3003,1
63,3,16,1,1,3052,1
64,3,16,1,2,3052,1
65,3,17,1,1,3029,1
66,3,17,1,2,3029,1
67,3,17,1,3,3029,1
68,3,17,1,4,3029,1
69,3,17,2,1,3029,1
70,3,17,3,1,3029,1
71,3,18,1,1,3088,1
72,3,18,1,2,3088,1
73,3,18,1,3,3088,1
74,3,18,1,4,3088,1
75,3,19,1,1,3040,1
76,3,19,1,2,3040,1
77,3,19,2,1,3040,1
78,3,20,1,1,3048,1
79,3,20,1,2,3048,1
80,3,20,1,3,3048,1
81,3,21,1,1,3097,1
82,3,21,1,2,3097,1
83,3,21,1,3,3097,1
84,3,21,1,4,3097,1
85,3,21,1,5,3097,1
86,3,21,1,6,3097,1
87,3,21,1,7,3097,1
88,3,21,2,1,3097,1
89,3,22,1,1,3095,1
90,3,22,1,2,3095,1
91,3,22,4,1,3095,1
92,3,22,2,1,3095,1
93,3,22,3,1,3095,1
94,3,23,1,1,3090,1
95,3,23,1,2,3090,1
96,3,24,1,1,3002,1
97,3,24,1,2,3002,1
98,3,25,1,1,3053,1
99,3,25,1,2,3053,1
100,3,26,1,1,3051,1
101,3,26,1,2,3051,1
102,3,26,1,3,3051,1
103,3,26,1,4,3051,1
104,3,27,1,1,3025,1
105,3,27,1,2,3025,1
106,3,27,1,5,3025,1
107,3,28,1,1,3045,1
108,3,28,1,2,3045,1
109,3,28,1,3,3045,1
110,3,28,1,4,3045,1
111,3,28,1,5,3045,1
112,3,28,1,6,3045,1
113,3,28,1,7,3045,1
114,3,28,1,8,3045,1
115,3,28,2,1,3045,1
116,3,28,2,2,3045,1
117,3,28,2,3,3045,1
118,3,28,2,4,3045,1
119,3,28,2,5,3045,1
120,3,28,3,1,3045,1
121,3,29,1,1,3091,1
122,3,29,1,2,3091,1
123,3,29,1,3,3091,1
124,3,29,2,1,3091,1
125,3,29,1,5,3091,1
126,3,30,1,1,3028,1
127,3,30,1,2,3028,1
128,3,30,1,3,3028,1
129,3,30,1,4,3028,1
130,3,32,1,1,3001,1
131,3,32,1,2,3001,1
132,3,32,1,3,3001,1
133,3,33,1,1,3004,1
134,3,33,1,2,3004,1
135,3,34,1,1,3006,1
136,3,34,2,1,3006,1
137,3,34,2,2,3006,1
138,3,35,1,1,3007,1
139,3,35,1,2,3007,1
140,3,35,2,1,3007,1
141,3,36,1,1,3008,1
142,3,36,1,2,3008,1
143,3,36,1,3,3008,1
144,3,36,1,4,3008,1
145,3,37,1,1,3009,1
146,3,37,1,2,3009,1
147,3,37,1,4,3009,1
148,3,38,1,1,3010,1
149,3,38,1,2,3010,1
150,3,38,1,3,3010,1
151,3,39,1,1,3046,1
152,3,39,2,1,3046,1
153,3,39,2,2,3046,1
154,3,40,1,1,3102,1
155,3,40,1,2,3102,1
156,3,40,1,3,3102,1
157,3,40,1,4,3102,1
158,3,40,1,5,3102,1
159,3,41,1,1,3013,1
160,3,41,1,2,3013,1
161,3,41,1,3,3013,1
162,3,41,2,1,3013,1
163,3,41,3,1,3013,1
164,3,41,4,1,3013,1
165,3,42,1,1,3124,1
166,3,42,2,1,3124,1
167,3,43,1,1,3015,1
168,3,43,1,2,3015,1
169,3,43,1,3,3015,1
170,3,43,1,4,3015,1
171,3,43,1,5,3015,1
172,3,43,1,6,3015,1
173,3,44,1,1,3018,1
174,3,44,1,2,3018,1
175,3,44,1,3,3018,1
176,3,45,1,1,3019,1
177,3,45,1,2,3019,1
178,3,45,1,3,3019,1
179,3,46,1,1,3020,1
180,3,46,1,2,3020,1
181,3,46,2,1,3020,1
182,3,46,3,1,3020,2
183,3,47,1,1,3021,1
184,3,47,1,2,3021,1
185,3,47,2,1,3021,1
186,3,48,1,1,3022,1
187,3,49,1,1,3023,1
188,3,49,2,1,3023,1
189,3,49,2,2,3023,1
190,3,50,1,1,3026,1
191,3,50,2,1,3026,1
192,3,51,1,1,3027,1
193,3,51,1,2,3027,1
194,3,51,1,3,3027,1
195,3,51,1,4,3027,1
196,3,52,1,1,3034,1
197,3,53,1,1,3080,1
198,3,54,1,1,3030,1
199,3,54,1,2,3030,1
200,3,54,2,1,3030,1
201,3,55,1,1,3031,1
202,3,55,1,2,3031,1
203,3,55,1,3,3031,1
204,3,55,1,4,3031,1
205,3,55,1,5,3031,1
206,3,55,1,6,3031,1
207,3,55,1,7,3031,1
208,3,55,1,8,3031,1
209,3,55,1,9,3031,1
210,3,55,1,10,3031,1
211,3,55,1,11,3031,1
212,3,55,1,12,3031,1
213,3,56,1,1,3082,1
214,3,56,1,2,3082,1
215,3,56,1,3,3082,1
216,3,57,1,1,3032,1
217,3,57,1,2,3032,1
218,3,57,1,3,3032,1
219,3,58,1,1,3081,1
220,3,58,1,2,3081,1
221,3,59,1,1,3033,1
222,3,59,1,2,3033,1
223,3,59,1,3,3033,1
224,3,60,1,1,3125,1
225,3,60,1,2,3125,1
226,3,60,2,1,3125,1
227,3,61,1,1,3126,1
228,3,62,1,1,3127,1
229,3,63,1,1,3107,1
230,3,63,1,2,3107,1
231,3,63,1,3,3107,1
232,3,63,2,1,3107,1
233,3,64,1,1,3093,1
234,3,65,1,1,3094,1
235,3,65,2,1,3094,1
236,3,66,1,1,3129,1
237,3,67,1,1,3192,1
238,3,68,1,1,3106,1
239,3,68,1,2,3106,1
240,3,68,1,3,3106,1
241,3,68,1,4,3106,1
242,3,68,1,6,3106,1
243,3,69,1,1,3130,1
244,3,70,1,1,3131,1
245,3,70,1,2,3131,1
246,3,70,1,3,3131,1
247,3,70,1,4,3131,1
248,3,71,1,1,3132,1
249,3,72,1,1,3193,1
250,3,73,1,1,3133,1
251,3,74,1,1,3134,1
252,3,75,1,1,3135,1
253,3,76,1,1,3136,1
254,3,76,1,2,3136,1
255,3,76,1,3,3136,1
256,3,77,1,1,3137,1
257,3,77,1,2,3137,1
258,3,77,1,3,3137,1
259,3,77,1,4,3137,1
260,3,77,1,5,3137,1
261,3,78,1,1,3138,1
262,3,78,1,2,3138,1
263,3,79,1,1,3139,1
264,3,80,1,1,3054,1
265,3,80,1,2,3054,1
266,3,81,1,1,3038,1
