Index,0 [0x6][0x0],1 [0x3][0x22],2 [0x5][0x18],3 [0x3][0x23],4 [0x5][0x1a],5 [0x6][0x4],6 [0x6][0x8],7 [0x6][0xc],8 [0x3][0x24],9 [0x5][0x1c],10 [0x6][0x10],11 [0x6][0x14],12 [0x5][0x1e],13 [0x5][0x20]
0,100,0,0,0,45,95,53,53,1,2,0,0,4,10001
1,300,1,0,0,50,104,56,56,2,6,2500,1181,4,10001
2,600,1,0,0,55,114,57,57,4,14,0,0,4,10001
3,1100,1,0,0,60,123,60,60,7,21,0,0,4,10001
4,1700,1,0,0,65,133,62,62,7,27,0,0,4,10001
5,2300,1,0,0,70,142,65,65,8,34,0,0,4,10001
6,4200,1,0,0,75,152,68,68,13,58,0,0,4,10001
7,6000,1,0,0,80,161,70,70,14,79,0,0,4,10001
8,7350,1,0,0,85,171,73,73,15,92,0,0,4,10001
9,9930,1,0,0,90,180,76,76,18,119,0,0,4,10001
10,11800,2,3,3,95,190,78,78,18,134,10000,2141,4,10001
11,15600,2,3,3,100,209,82,82,21,169,0,0,4,10001
12,19600,2,4,4,105,228,85,85,25,201,0,0,4,10001
13,23700,2,4,4,110,247,89,89,28,231,0,0,4,10001
14,26400,2,5,5,115,266,93,93,28,243,0,0,4,10001
15,30500,3,5,5,120,285,96,96,28,268,0,0,4,10003
16,35400,3,6,6,125,304,100,100,28,297,0,0,2,10003
17,40500,3,6,6,130,323,104,104,28,324,0,0,3,10003
18,45700,3,7,7,135,342,109,109,28,349,0,0,3,10003
19,51000,3,7,7,140,361,113,113,28,373,0,0,3,10003
20,56600,4,8,8,145,380,116,116,28,396,20000,3603,7,10005
21,63900,4,8,8,150,418,122,122,28,429,0,0,7,10005
22,71400,4,9,9,155,456,127,127,28,460,0,0,7,10005
23,79100,4,9,9,160,494,133,133,28,490,0,0,7,10005
24,87100,4,10,10,165,532,138,138,28,518,0,0,1,10005
25,95200,5,10,10,170,570,144,144,28,544,0,0,1,10007
26,109800,5,11,11,175,608,150,150,29,605,0,0,1,10007
27,124800,5,11,11,180,646,155,155,32,662,0,0,1,10007
28,140200,5,12,12,185,684,162,162,34,717,0,0,6,10007
29,155900,5,12,12,190,722,168,168,38,770,0,0,6,10007
30,162500,6,13,13,195,760,173,173,38,774,30000,0,6,10009
31,175900,6,13,13,200,826,181,181,38,810,0,0,6,10009
32,189600,6,14,14,205,893,188,188,39,844,0,0,8,10009
33,203500,6,14,14,210,959,194,194,39,876,0,0,8,10009
34,217900,6,15,15,215,1026,202,202,39,907,0,0,8,10009
35,232320,7,15,15,220,1092,209,209,41,937,0,0,9,10011
36,249900,7,16,16,225,1159,215,215,42,977,0,0,9,10011
37,267800,7,17,17,230,1225,223,223,42,1015,0,0,9,10011
38,286200,7,18,18,235,1292,229,229,43,1052,0,0,12,10011
39,304900,7,19,19,240,1358,236,236,45,1087,0,0,12,10011
40,324000,8,20,20,245,1425,244,244,46,1121,40000,0,12,10013
41,340200,8,21,21,250,1548,253,253,46,1144,0,0,11,10013
42,356800,8,22,22,255,1672,263,263,46,1166,0,0,11,10013
43,373700,8,23,23,260,1795,272,272,46,1187,0,0,11,10013
44,390800,8,24,24,265,1919,283,283,46,1207,0,0,13,10013
45,408200,9,25,25,270,2042,292,292,46,1226,0,0,13,10013
46,437600,9,26,26,275,2166,302,302,47,1279,0,0,13,10013
47,467500,9,27,27,280,2289,311,311,47,1331,0,0,5,10013
48,498000,9,28,28,285,2413,322,322,49,1381,0,0,5,10013
49,529000,9,29,29,290,2536,331,331,49,1429,0,0,5,10013
50,864000,10,30,30,300,2660,341,341,80,1525,0,0,5,10013
51,1058400,10,31,31,315,3000,342,393,80,1577,0,0,36,10013
52,1267200,10,31,31,330,3380,344,444,80,1629,0,0,36,10013
53,1555200,10,32,32,360,3810,345,496,80,1682,0,0,37,10013
54,1872000,10,32,32,390,4300,346,548,80,1734,0,0,37,10013
55,2217600,10,33,33,420,4850,347,600,80,1787,0,0,39,10013
56,2592000,10,33,33,450,5470,349,651,80,1839,0,0,39,10013
57,2995200,10,34,34,480,6170,350,703,80,1892,0,0,34,10013
58,3427200,10,34,34,510,6950,351,755,80,1945,0,0,34,10013
59,3888000,10,35,35,540,7840,352,806,80,1998,0,0,31,10013
60,4389120,10,35,35,540,8840,354,858,80,2050,0,0,31,10013
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
