Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8]
0,"0",0,"0",0,0,1,0,0,""
1,"dodo",0,"dodos",0,0,1,0,0,"D'abord introduits depuis l'île de Mazlaya pour leurs œufs par des Qiqirns, ces gros oiseaux incapables de voler sont désormais élevés par les Éorzéens pour leur délicieuse chair. Attention toutefois, un dodo crachera une substance soporifique s'il se sent menacé!"
2,"tomberry",0,"tomberrys",0,0,1,0,0,"On sait peu de choses sur ces créatures qui hantent les ruines de Nym, une cité qui a connu son apogée à la 5e ère astrale, mais leurs vêtements et leurs outils laissent supposer qu'elles sont intelligentes. De vieilles tablettes de pierre indiqueraient que les tomberrys sont porteurs d'une terrible maladie."
3,"pampa",0,"pampas",0,0,1,0,0,"S'étant adaptés pour survivre à leur habitat aride et dangereux, ces cactus ambulants ont la faculté de conserver de l'humidité dans leur organisme et peuvent se défendre d'éventuels prédateurs en lançant une multitude d'épines douloureuses."
4,"spriggan",0,"spriggans",0,0,1,0,0,"Ces créatures que l'on rencontre dans les grottes et les carrières d'Éorzéa semblent toujours avoir des pierres précieuses sur elles, si bien que les mineurs pensent qu'elles portent chance. Si le Codex des pierres les classifie comme arcanas, c'est parce que les spriggans ne seraient que le vaisseau de la volonté de la terre."
5,"pudding",0,"puddings",0,0,1,0,0,"Ces êtres gélatineux proviennent de l'agglomération de résidus issus du néant. Bien que capables d'imiter des voix humaines pour attirer des proies, ils ne semblent pas être particulièrement intelligents et se placent au dixième rang parmi les douze que compte la hiérarchie des démons."
6,"bombo",0,"bombos",0,0,1,0,0,"Appartenant au onzième rang de la hiérarchie du néant, ces êtres composés de gaz et de feu ont besoin des huiles et graisses des végétaux, des animaux ou même des humains, afin de maintenir leur combustion. Les grenados sont une variété plus explosive et plus prépondérante."
7,"mandragore",0,"mandragores",0,0,1,1,0,"Les mystérieuses mandragores ont été observées pour la première fois après la 7e ère ombrale, mais nul ne sait si elles existaient avant le Fléau. Des études préliminaires suggèrent que ces créatures végétales seraient douées d'intelligence et posséderaient une forme avancée de communication non verbale."
8,"coblyn",0,"coblyns",0,0,1,0,0,"Ces créatures d'apparence étonnante se déplacent sur leurs tentacules en quête de minerai. Selon les érudits gridaniens, il s'agirait d'animaux fusionnant la roche pour se créer une carapace. Cette théorie est réfutée à Ul'dah, où l'on considère que les coblyns sont plutôt des amas de matière géologique intelligent qui auraient développé des tissus biologiques."
9,"morbol",0,"morbols",0,0,1,0,0,"Se déplaçant sur leurs racines gluantes, ces horribles créatures végétales se montrent particulièrement agressives et dangereuses, tuant animaux et plantes grâce à une haleine putride et à des sarments puissants. Elles peuvent occasionnellement émettre un parfum doux et soporifique. Les crocs-épines qui garnissent leurs gueules servent à immobiliser leurs proies lors de la digestion."
10,"coeurl",0,"coeurls",0,0,1,0,0,"Natifs du Proche-Orient, ces carnivores quadrupèdes capturent leurs proies en envoyant des décharges électriques avec les très longues moustaches qui ornent leur museau. Les spécimens sauvages que l'on trouve en Éorzéa descendraient de bêtes de combat échappées d'une île dans le golfe de Rothlyt."
11,"ahriman",0,"ahrimans",0,1,1,0,0,"Les ahrimans sont des êtres du néant qui se manifestent dans le monde physique en enveloppant leur essence dans des yeux d'animaux. Ils possèdent de grandes capacités magiques et volent en s'agrippant aux courants d'éther aériens avec leurs griffes. Ces créatures appartiendraient aux cinquième et sixième rangs de la hiérarchie des démons."
12,"goobbue",0,"goobbues",0,0,1,0,0,"Ces imposantes créatures ont une relation symbiotique avec la mousse et le lichen qui poussent sur leur tête, ces derniers offrant une forme de camouflage en échange d'un arrosage manuel pendant les saisons les plus sèches. Bien qu'ils aient l'air placide, les goobbues se révèlent des prédateurs implacables lorsqu'ils sont affamés."
13,"chocobo",0,"chocobos",0,0,1,0,0,"Ces grands oiseaux terrestres sont connus pour leur vélocité et sont utilisés comme bêtes de somme ou montures par les Éorzéens depuis les temps anciens. Le Coerthas est réputé être la principale région productrice de ces animaux, mais il existerait une forêt des chocobos dans les montagnes d'Abalathia, où vivrait un important troupeau de spécimens sauvages."
14,"Amalj'aa",0,"Amalj'aa",0,1,1,0,0,"Les Amalj'aa sont un peuple d'hommes-bêtes nomades originaires des prairies du Paglth'an, où ils vivent de la chasse d'animaux sauvages. Ennemis héréditaires d'Ul'dah, ils sont entraînés dans les arts de la guerre dès leur plus jeune âge, quel que soit leur sexe. Ils possèdent également une grande maîtrise de la métallurgie, leurs armes étant très appréciées des collectionneurs."
15,"Ixal",0,"Ixali",0,1,1,0,0,"Les Ixali sont une tribu agressive ayant pour domaine les ravins venteux de Xephatol. Bien qu'ils ne soient plus capables de voler depuis longtemps, ces hommes-bêtes à plumes sont très fiers de leurs ailes atrophiées. Désireux de rétablir leur présence dans Sombrelinceul pour en exploiter les ressources sylvestres, ils sont en conflit avec les habitants de Gridania."
16,"Sylphe",0,"Sylphes",0,0,1,0,0,"Dans les profondeurs de Sombrelinceul, au nord de Gridania, vit le peuple reclus des Sylphes. Malgré leur apparence de poupées vêtues de feuilles et leur comportement enfantin, ils n'hésitent pas à user de leur magie pour tourmenter malicieusement les voyageurs, causant nombre de traumatismes et de tragédies chez ceux qui ont eu le malheur de s'aventurer trop loin dans la forêt."
17,"Kobold",0,"Kobolds",0,0,1,0,0,"Les Kobolds sont une tribu d'hommes-taupes qui vit dans un labyrinthe de tunnels sous le volcan O'Ghomoro, au nord de l'île de Vylbrand. Persuadés que les minerais sont un don fait par le Primordial Titan, ils ont développé leur savoir alchimique pour deviner sa volonté. Bien que ces hommes-bêtes et les Limséens aient conclu un pacte autrefois, cela n'empêche pas les deux peuples de s'affronter régulièrement."
18,"Sahuagin",0,"Sahuagins",0,0,1,0,0,"Ces hommes-bêtes aquatiques habitent dans une ville située sous l'océan Indigo. Ils peuvent tout aussi bien respirer dans l'air que dans l'eau, et nager avec aise grâce à leurs membres palmés. La société sahuagine est pyramidale, un individu tenant lieu de reine se trouvant au sommet de la hiérarchie. Ennemis héréditaires des Limséens, mentionner le nom de ces hommes-poissons est mal vu dans la Cité maritime."
19,"Tataru",0,"Tataru",0,0,1,1,1,"“♪La la laaa, une jolie rose a fleuri au beau milieu du désert\n♪La la la la laaa, une rose symbole de l'amour,\n♪Mon cœur en est tout chamboulé!\n♪Et ça fait boum, boum, tra la la, bobom bobom, la la la la...”"
