Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x19][0x5],3 [0x1a][0x5]
0,"",0,true,false
1,"Battle",1,true,false
2,"Dungeons",1,true,false
3,"Trials",1,true,false
4,"Raids",1,true,false
5,"The Wolves' Den",1,true,false
6,"Frontline",1,true,false
7,"The Hunt",1,true,false
8,"Treasure Hunt",1,true,false
9,"Class",2,true,false
10,"Disciples of War",2,true,false
11,"Disciples of Magic",2,true,false
12,"Disciples of the Hand",2,true,false
13,"Disciples of the Land",2,true,false
14,"PvP",2,true,false
15,"Commendation",2,true,false
16,"Gold Saucer",2,true,false
17,"Items",4,true,false
18,"Currency",4,true,false
19,"Desynthesis",4,true,false
20,"Collectables",4,true,false
21,"Materia",4,true,false
22,"Carpenter",5,true,false
23,"Blacksmith",5,true,false
24,"Armorer",5,true,false
25,"Goldsmith",5,true,false
26,"Leatherworker",5,true,false
27,"Weaver",5,true,false
28,"Alchemist",5,true,false
29,"Culinarian",5,true,false
30,"Miner",6,true,false
31,"Botanist",6,true,false
32,"Fisher",6,true,false
33,"Quests",8,true,false
34,"Levequests",8,true,false
35,"Beast Tribe Quests",8,true,false
36,"Seasonal Events",8,true,true
37,"La Noscea",11,true,false
38,"The Black Shroud",11,true,false
39,"Thanalan",11,true,false
40,"Coerthas",11,true,false
41,"Mor Dhona",11,true,false
42,"Abalathia's Spine",11,true,false
43,"Dravania",11,true,false
44,"Grand Company",12,true,false
45,"Maelstrom",12,true,false
46,"Order of the Twin Adder",12,true,false
47,"Immortal Flames",12,true,false
48,"Battle",13,true,false
49,"Currency",13,true,false
50,"Gathering",13,true,false
51,"Quests",13,true,false
52,"Seasonal Events",13,true,false
53,"Dungeons",13,true,false
54,"Exploration",13,true,false
55,"Grand Company",13,true,false
56,"",0,true,false
57,"",0,true,false
58,"",0,true,false
59,"",0,true,false
60,"",0,true,false
61,"",0,true,false
62,"",0,true,false
63,"",0,true,false
64,"",0,true,false
65,"",0,true,false
66,"",0,true,false
