Index,0 [0x2][0x0],1 [0x2][0x1],2 [0x2][0x2],3 [0x2][0x3],4 [0x2][0x4],5 [0x2][0x5],6 [0x2][0x6],7 [0x2][0x7],8 [0x2][0x8],9 [0x2][0x9],10 [0x2][0xa],11 [0x2][0xb],12 [0x2][0xc],13 [0x2][0xd]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,1,1,0
13,1,-1,0,0,0,0,0,0,0,0,0,0,0,0
14,1,1,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,-1,1,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1,-1,0,-1,-1,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,0,0,0,0,0,0,1,-1,0,0,0,0,0,0
19,0,0,-1,1,-1,0,-1,-1,0,0,0,0,0,0
20,0,0,0,1,-1,0,-1,0,0,0,0,0,0,0
21,0,0,0,1,0,0,-1,-1,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
