Index,0 [0x3][0x6],1 [0x3][0x7],2 [0x5][0x4],3 [0x3][0x8],4 [0x0][0x0]
0,0,1,22,254,""
1,1,1,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_rof/0001/asset/s1h0_s_rof0001.sgb"
2,2,1,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_rof/0002/asset/s1h0_s_rof0002.sgb"
3,3,1,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_rof/0003/asset/s1h0_s_rof0003.sgb"
4,1,1,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_rof/0001/asset/s1h0_m_rof0001.sgb"
5,2,1,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_rof/0002/asset/s1h0_m_rof0002.sgb"
6,3,1,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_rof/0003/asset/s1h0_m_rof0003.sgb"
7,1,1,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_rof/0001/asset/s1h0_l_rof0001.sgb"
8,2,1,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_rof/0002/asset/s1h0_l_rof0002.sgb"
9,3,1,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_rof/0003/asset/s1h0_l_rof0003.sgb"
256,0,2,22,254,""
257,1,2,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_wal/0001/asset/s1h0_s_wal0001.sgb"
258,2,2,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_wal/0002/asset/s1h0_s_wal0002.sgb"
259,3,2,22,0,"bg/ffxiv/sea_s1/hou/dyna/s_wal/0003/asset/s1h0_s_wal0003.sgb"
260,1,2,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_wal/0001/asset/s1h0_m_wal0001.sgb"
261,2,2,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_wal/0002/asset/s1h0_m_wal0002.sgb"
262,3,2,22,1,"bg/ffxiv/sea_s1/hou/dyna/m_wal/0003/asset/s1h0_m_wal0003.sgb"
263,1,2,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_wal/0001/asset/s1h0_l_wal0001.sgb"
264,2,2,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_wal/0002/asset/s1h0_l_wal0002.sgb"
265,3,2,22,2,"bg/ffxiv/sea_s1/hou/dyna/l_wal/0003/asset/s1h0_l_wal0003.sgb"
512,0,3,22,254,""
513,1,3,22,254,"bgcommon/hou/dyna/s1h0/wid/0001/asset/s1h0_co_wid0001.sgb"
514,2,3,22,254,"bgcommon/hou/dyna/s1h0/wid/0002/asset/s1h0_co_wid0002.sgb"
515,3,3,22,254,"bgcommon/hou/dyna/s1h0/wid/0003/asset/s1h0_co_wid0003.sgb"
768,0,4,22,254,""
769,1,4,22,254,"bgcommon/hou/dyna/s1h0/dor/0001/asset/s1h0_co_dor0001.sgb"
770,2,4,22,254,"bgcommon/hou/dyna/s1h0/dor/0002/asset/s1h0_co_dor0002.sgb"
771,3,4,22,254,"bgcommon/hou/dyna/s1h0/dor/0003/asset/s1h0_co_dor0003.sgb"
1024,0,5,0,254,""
1025,1,5,0,254,"bgcommon/hou/dyna/opt/rf/0001/asset/opt_rf_m0001.sgb"
1026,2,5,0,254,"bgcommon/hou/dyna/opt/rf/0002/asset/opt_rf_m0002.sgb"
1027,3,5,0,254,"bgcommon/hou/dyna/opt/rf/0003/asset/opt_rf_m0003.sgb"
1280,0,6,0,254,""
1281,1,6,0,254,"bgcommon/hou/dyna/opt/wl/0001/asset/opt_wl_m0001.sgb"
1282,2,6,0,254,"bgcommon/hou/dyna/opt/wl/0002/asset/opt_wl_m0002.sgb"
1283,3,6,0,254,"bgcommon/hou/dyna/opt/wl/0003/asset/opt_wl_m0003.sgb"
1536,0,7,0,254,""
1537,1,7,0,254,"bgcommon/hou/dyna/opt/sg/0001/asset/opt_sg_m0001.sgb"
