Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x6][0xc],3 [0x3][0x10],4 [0x7][0x8],5 [0x3][0x11],6 [0x19][0x12]
0,"","",0,0,0,0,true
1,"討伐経験値アップ","24時間（地球時間）、敵討伐時の獲得経験値が5％増加する",64213,5,3500,1,true
2,"採集経験値アップ","24時間（地球時間）、採集時の獲得経験値が5％増加する",64215,5,3500,2,true
3,"製作経験値アップ","24時間（地球時間）、製作時の獲得経験値が5％増加する",64216,5,3500,3,true
4,"バディ経験値アップ","24時間（地球時間）、バディの獲得経験値が10％増加する",64214,5,2800,4,true
5,"対人戦績アップ","24時間（地球時間）、対人戦績の獲得量が5％上昇する",64217,5,2800,5,true
6,"軍票アップ","24時間（地球時間）、軍票の獲得量が5％上昇する",64218,5,2800,6,true
7,"ビギナーボーナス","24時間（地球時間）、Lv25以下のバトルクラスの全フィジカルパラメータが10％上昇する",64201,5,1750,8,true
8,"獲得力アップ","24時間（地球時間）、ギャザラーの獲得力が5上昇する",64202,5,2800,9,true
9,"識質力アップ","24時間（地球時間）、ギャザラーの識質力が5上昇する",64203,5,2800,10,true
10,"作業精度アップ","24時間（地球時間）、クラフターの作業精度が5上昇する",64204,5,2800,11,true
11,"加工精度アップ","24時間（地球時間）、クラフターの加工精度が5上昇する",64205,5,2800,12,true
12,"錬精度上昇量アップ","24時間（地球時間）、錬精度が上昇しやすくなる",64209,5,3500,13,true
13,"食事効果時間延長","24時間（地球時間）、食事の効果時間を5分延長する",64208,5,2800,14,true
14,"装備品劣化低減","24時間（地球時間）、装備品の耐久度の減少を10％低減する",64210,5,3500,15,true
15,"衰弱時間短縮","24時間（地球時間）、衰弱状態の効果時間を10％短縮する",64211,5,2800,16,true
16,"テレポ割引","24時間（地球時間）、テレポに必要なギルが20％割引される",64212,5,3500,17,true
17,"MGPアップ","24時間（地球時間）、マンダヴィル・ゴールドソーサーポイントの獲得量が5％上昇する",64219,5,2800,7,true
18,"","",0,0,0,0,true
19,"","",0,0,0,0,true
20,"","",0,0,0,0,true
21,"","",0,0,0,0,true
22,"","",0,0,0,0,true
23,"","",0,0,0,0,true
24,"","",0,0,0,0,true
25,"","",0,0,0,0,true
26,"","",0,0,0,0,true
27,"","",0,0,0,0,true
28,"","",0,0,0,0,true
29,"","",0,0,0,0,true
30,"","",0,0,0,0,true
31,"討伐経験値アップII","24時間（地球時間）、敵討伐時の獲得経験値が10％増加する",64238,8,7000,18,true
32,"採集経験値アップII","24時間（地球時間）、採集時の獲得経験値が10％増加する",64240,8,7000,19,true
33,"製作経験値アップII","24時間（地球時間）、製作時の獲得経験値が10％増加する",64241,8,7000,20,true
34,"バディ経験値アップII","24時間（地球時間）、バディの獲得経験値が15％増加する",64239,8,7000,21,true
35,"対人戦績アップII","24時間（地球時間）、対人戦績の獲得量が10％上昇する",64242,8,7000,22,true
36,"軍票アップII","24時間（地球時間）、軍票の獲得量が10％上昇する",64243,8,7000,23,true
37,"ビギナーボーナスII","24時間（地球時間）、Lv49以下のバトルクラスの全フィジカルパラメータが5％上昇する",64226,8,3500,25,true
38,"獲得力アップII","24時間（地球時間）、ギャザラーの獲得力が10上昇する",64227,8,7000,26,true
39,"識質力アップII","24時間（地球時間）、ギャザラーの識質力が10上昇する",64228,8,7000,27,true
40,"作業精度アップII","24時間（地球時間）、クラフターの作業精度が10上昇する",64229,8,7000,28,true
41,"加工精度アップII","24時間（地球時間）、クラフターの加工精度が10上昇する",64230,8,7000,29,true
42,"錬精度上昇量アップII","24時間（地球時間）、錬精度が上昇しやすくなる",64234,8,7000,30,true
43,"食事効果時間延長II","24時間（地球時間）、食事の効果時間を10分延長する",64233,8,7000,31,true
44,"装備品劣化低減II","24時間（地球時間）、装備品の耐久度の減少を20％低減する",64235,8,7000,32,true
45,"衰弱時間短縮II","24時間（地球時間）、衰弱状態の効果時間を15％短縮する",64236,8,5600,33,true
46,"テレポ割引II","24時間（地球時間）、テレポに必要なギルが30％割引される",64237,8,7000,34,true
47,"MGPアップII","24時間（地球時間）、マンダヴィル・ゴールドソーサーポイントの獲得量が10％上昇する",64244,8,7000,24,true
48,"","",0,0,0,0,true
49,"","",0,0,0,0,true
50,"","",0,0,0,0,true
51,"","",0,0,0,0,true
52,"","",0,0,0,0,true
53,"","",0,0,0,0,true
54,"","",0,0,0,0,true
55,"","",0,0,0,0,true
56,"","",0,0,0,0,true
57,"","",0,0,0,0,true
58,"","",0,0,0,0,true
59,"","",0,0,0,0,true
60,"","",0,0,0,0,true
61,"","",0,0,0,0,false
62,"採集経験値アップIII","24時間（地球時間）、採集時の獲得経験値が20％増加する",64265,8,10500,36,false
63,"製作経験値アップIII","24時間（地球時間）、製作時の獲得経験値が20％増加する",64266,8,10500,37,false
64,"バディ経験値アップIII","24時間（地球時間）、バディの獲得経験値が20％増加する",64264,8,10500,38,false
65,"対人戦績アップIII","24時間（地球時間）、対人戦績の獲得量が15％上昇する",64267,8,10500,39,false
66,"軍票アップIII","24時間（地球時間）、軍票の獲得量が15％上昇する",64268,8,10500,40,false
67,"","",0,0,0,0,false
68,"獲得力アップIII","24時間（地球時間）、ギャザラーの獲得力が15上昇する",64252,8,10500,43,false
69,"識質力アップIII","24時間（地球時間）、ギャザラーの識質力が15上昇する",64253,8,10500,44,false
70,"作業精度アップIII","24時間（地球時間）、クラフターの作業精度が15上昇する",64254,8,10500,45,false
71,"加工精度アップIII","24時間（地球時間）、クラフターの加工精度が15上昇する",64255,8,10500,46,false
72,"錬精度上昇量アップIII","24時間（地球時間）、錬精度が上昇しやすくなる",64259,8,10500,47,false
73,"食事効果時間延長III","24時間（地球時間）、食事の効果時間を15分延長する",64258,8,10500,48,false
74,"装備品劣化低減III","24時間（地球時間）、装備品の耐久度の減少を30％低減する",64260,8,10500,49,false
75,"","",0,0,0,0,false
76,"テレポ割引III","24時間（地球時間）、テレポに必要なギルが40％割引される",64262,8,10500,51,false
77,"MGPアップIII","24時間（地球時間）、マンダヴィル・ゴールドソーサーポイントの獲得量が15％上昇する",64269,8,10500,41,false
78,"","",0,0,0,0,true
79,"","",0,0,0,0,true
80,"","",0,0,0,0,true
81,"","",0,0,0,0,true
82,"","",0,0,0,0,true
83,"","",0,0,0,0,true
84,"","",0,0,0,0,true
85,"","",0,0,0,0,true
86,"","",0,0,0,0,true
87,"","",0,0,0,0,true
88,"","",0,0,0,0,true
89,"","",0,0,0,0,true
90,"","",0,0,0,0,true
91,"","",0,0,0,0,true
92,"","",0,0,0,0,true
93,"","",0,0,0,0,true
94,"","",0,0,0,0,true
95,"","",0,0,0,0,true
96,"","",0,0,0,0,true
97,"","",0,0,0,0,true
98,"","",0,0,0,0,true
99,"","",0,0,0,0,true
100,"","",0,0,0,0,true
