Index,0 [0x6][0xc],1 [0x19][0x21],2 [0x7][0x0],3 [0x7][0x4],4 [0x7][0x8],5 [0x6][0x10],6 [0x6][0x14],7 [0x6][0x18],8 [0x6][0x1c],9 [0x3][0x20]
0,0,false,100,100,100,0,0,0,0,0
1,1819,false,100,100,100,0,0,0,0,0
2,1820,false,100,100,100,0,0,0,0,0
3,1821,false,100,100,100,0,0,0,0,0
4,1822,false,100,100,100,0,0,0,0,0
5,1823,false,100,100,100,0,0,0,0,0
6,1824,false,100,100,100,0,0,0,0,0
7,1825,false,100,100,100,0,0,0,0,0
8,1827,false,100,100,100,0,0,0,0,0
9,1833,false,100,100,100,0,0,0,0,0
10,1836,false,100,100,100,0,0,0,0,0
11,1838,false,100,100,100,0,0,0,0,0
12,1845,false,100,100,100,0,0,0,0,0
13,1847,false,100,100,100,0,0,0,0,0
14,1850,false,100,100,100,0,0,0,0,0
15,1855,false,100,100,100,0,0,0,0,0
16,1862,false,100,100,100,0,0,0,0,0
17,1867,false,100,100,100,0,0,0,0,0
18,1872,false,100,100,100,0,0,0,0,0
19,1889,false,100,100,100,0,0,0,0,0
20,1891,false,100,100,100,0,0,0,0,0
21,1892,false,100,100,100,0,0,0,0,0
22,1893,false,100,100,100,0,0,0,0,0
23,1894,false,100,100,100,0,0,0,0,0
24,1895,false,100,100,100,0,0,0,0,0
25,1897,false,100,100,100,0,0,0,0,0
26,1899,false,100,100,100,0,0,0,0,0
27,1905,false,100,100,100,0,0,0,0,0
28,1908,false,100,100,100,0,0,0,0,0
29,1915,false,100,100,100,0,0,0,0,0
30,1917,false,100,100,100,0,0,0,0,0
31,1920,false,100,100,100,0,0,0,0,0
32,1925,false,100,100,100,0,0,0,0,0
33,1932,false,100,100,100,0,0,0,0,0
34,1937,false,100,100,100,0,0,0,0,0
35,1942,false,100,100,100,0,0,0,0,0
36,1958,false,100,100,100,0,0,0,0,0
37,1959,false,100,100,100,0,0,0,0,0
38,1960,false,100,100,100,0,0,0,0,0
39,1961,false,100,100,100,0,0,0,0,0
40,1963,false,100,100,100,0,0,0,0,0
41,1965,false,100,100,100,0,0,0,0,0
42,1967,false,100,100,100,0,0,0,0,0
43,1969,false,100,100,100,0,0,0,0,0
44,1971,false,100,100,100,0,0,0,0,0
45,1976,false,100,100,100,0,0,0,0,0
46,1978,false,100,100,100,0,0,0,0,0
47,1974,false,100,100,100,0,0,0,0,0
48,1985,false,100,100,100,0,0,0,0,0
49,1981,false,100,100,100,0,0,0,0,0
50,1983,false,100,100,100,0,0,0,0,0
51,1987,false,100,100,100,0,0,0,0,0
52,1995,false,100,100,100,0,0,0,0,0
53,1996,false,100,100,100,0,0,0,0,0
54,1997,false,100,100,100,0,0,0,0,0
55,1998,false,100,100,100,0,0,0,0,0
56,2000,false,100,100,100,0,0,0,0,0
57,2002,false,100,100,100,0,0,0,0,0
58,2004,false,100,100,100,0,0,0,0,0
59,2010,false,100,100,100,0,0,0,0,0
60,2011,false,100,100,100,0,0,0,0,0
61,2015,false,100,100,100,0,0,0,0,0
62,2021,false,100,100,100,0,0,0,0,0
63,2023,false,100,100,100,0,0,0,0,0
64,2026,false,100,100,100,0,0,0,0,0
65,2030,false,100,100,100,0,0,0,0,0
66,2039,false,100,100,100,0,0,0,0,0
67,2044,false,100,100,100,0,0,0,0,0
68,1749,false,100,100,100,0,0,0,0,0
69,1750,false,100,100,100,0,0,0,0,0
70,1751,false,100,100,100,0,0,0,0,0
71,1752,false,100,100,100,0,0,0,0,0
72,1753,false,100,100,100,0,0,0,0,0
73,1754,false,100,100,100,0,0,0,0,0
74,1756,false,100,100,100,0,0,0,0,0
75,1758,false,100,100,100,0,0,0,0,0
76,1764,false,100,100,100,0,0,0,0,0
77,1766,false,100,100,100,0,0,0,0,0
78,1769,false,100,100,100,0,0,0,0,0
