Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x2][0x8],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x2][0xe],9 [0x2][0xf]
0,"","",0,0,0,0,0,0,0,0
1,"Wiesländer","Wiesländer",0,0,1,0,-1,1,-2,1
2,"Hochländer","Hochländer",0,0,3,2,0,-2,0,-3
3,"Erlschatten","Erlschatten",0,0,-1,-2,3,2,-3,1
4,"Dunkelalb","Dunkelalb",0,0,0,-1,0,3,0,-2
5,"Halmling","Halmling",0,0,-2,-2,2,1,0,1
6,"Sandling","Sandling",0,0,-3,-3,0,1,2,3
7,"Goldtatze","Goldtatze",0,0,1,0,2,-2,-1,0
8,"Mondstreuner","Mondstreuner",0,0,-2,-3,1,-1,3,2
9,"Seewolf","Seewolf",0,0,2,3,-2,-3,1,-1
10,"Lohengarde","Lohengarde",0,0,0,1,-3,0,2,0
11,"Raen","Raen",0,0,-3,-2,1,0,2,2
12,"Xaela","Xaela",0,0,3,1,0,0,-3,-1
