Index,0 [0x0][0x0],1 [0x2][0xc],2 [0x0][0x4],3 [0x2][0xd],4 [0x2][0xe],5 [0x2][0xf],6 [0x2][0x10],7 [0x2][0x11],8 [0x0][0x8],9 [0x6][0x14],10 [0x6][0x18],11 [0x6][0x1c],12 [0x3][0x26],13 [0x5][0x20],14 [0x5][0x22],15 [0x5][0x24]
0,"harnachement en cuir",0,"harnachements en cuir",0,0,1,0,0,"Harnachement en cuir",0,0,0,0,0,0,0
1,"harnachement du Maelstrom",0,"harnachements du Maelstrom",0,0,1,0,0,"Harnachement du Maelstrom",65538,65541,65538,1,49049,49053,49051
2,"demi-barde du Maelstrom",0,"demi-bardes du Maelstrom",0,0,1,1,0,"Demi-barde du Maelstrom",65542,65542,65542,1,49001,49002,49003
3,"barde du Maelstrom",0,"bardes du Maelstrom",0,0,1,1,0,"Barde du Maelstrom",131078,131078,131078,1,49004,49005,49006
4,"barde lourde du Maelstrom",0,"bardes lourde du Maelstrom",0,0,1,1,0,"Barde lourde du Maelstrom",196614,196614,196614,1,49007,49008,49009
5,"harnachement de l'Ordre des deux vipères",0,"harnachements de l'Ordre des deux vipères",0,0,1,0,0,"Harnachement de l'Ordre des deux vipères",65538,131077,65538,2,49049,49056,49051
6,"demi-barde de l'Ordre des deux vipères",0,"demi-bardes de l'Ordre des deux vipères",0,0,1,1,0,"Demi-barde de l'Ordre des deux vipères",65543,65543,65543,2,49010,49011,49012
7,"barde de l'Ordre des deux vipères",0,"bardes de l'Ordre des deux vipères",0,0,1,1,0,"Barde de l'Ordre des deux vipères",131079,131079,131079,2,49013,49014,49015
8,"barde lourde de l'Ordre des deux vipères",0,"bardes lourde de l'Ordre des deux vipères",0,0,1,1,0,"Barde lourde de l'Ordre des deux vipères",196615,196615,196615,2,49016,49017,49018
9,"harnachement des Immortels",0,"harnachements des Immortels",0,0,1,0,0,"Harnachement des Immortels",65538,196613,65538,3,49049,49059,49051
10,"demi-barde des Immortels",0,"demi-bardes des Immortels",0,0,1,1,0,"Demi-barde des Immortels",65544,65544,65544,3,49019,49020,49021
11,"barde des Immortels",0,"bardes des Immortels",0,0,1,1,0,"Barde des Immortels",131080,131080,131080,3,49022,49023,49024
12,"barde lourde des Immortels",0,"bardes lourde des Immortels",0,0,1,1,0,"Barde lourde des Immortels",196616,196616,196616,3,49025,49026,49027
13,"barde de paladin",0,"bardes de paladin",0,0,1,1,0,"Barde de paladin",65546,65546,65546,0,49028,49029,49030
14,"barde de chevalier dragon",0,"bardes de chevalier dragon",0,0,1,1,0,"Barde de chevalier dragon",65547,65547,65547,0,49031,49032,49033
15,"barde de mage blanc",0,"bardes de mage blanc",0,0,1,1,0,"Barde de mage blanc",65549,65549,65549,0,49034,49035,49036
16,"barde de Sleipnir",0,"bardes de Sleipnir",0,0,1,1,0,"Barde de Sleipnir",65550,65550,65550,0,49037,49038,49039
17,"barde de béhémoth",0,"bardes de béhémoth",0,0,1,1,0,"Barde de béhémoth",65551,65551,65551,0,49040,49041,49042
18,"chanfrein d'aviateur",0,"chanfreins d'aviateur",0,0,1,0,0,"Chanfrein d'aviateur",65555,0,0,0,49043,0,0
19,"barde de mage noir",0,"bardes de mage noir",0,0,1,1,0,"Barde de mage noir",65548,65548,65548,0,49046,49047,49048
20,"chanfrein du roi chocobo",0,"chanfreins du roi chocobo",0,0,1,0,0,"Chanfrein du roi chocobo",65553,0,0,0,49061,0,0
21,"barde de la fête des étoiles",0,"bardes de la fête des étoiles",0,0,1,1,0,"Barde de la fête des étoiles",65540,65540,65540,0,49064,49065,49066
22,"barde de Léviathan",0,"bardes de Léviathan",0,0,1,1,0,"Barde de Léviathan",65556,65556,65556,0,49067,49068,49069
23,"barde de la Lumière",0,"bardes de la Lumière",0,0,1,1,0,"Barde de la Lumière",65557,65557,65557,0,49070,49071,49072
24,"chanfrein ovoïde",0,"chanfreins ovoïde",0,0,1,0,0,"Chanfrein ovoïde",65558,0,0,0,49073,0,0
25,"barde de Ramuh",0,"bardes de Ramuh",0,0,1,1,0,"Barde de Ramuh",65560,65560,65560,0,49076,49077,49078
26,"chanfrein à panache",0,"chanfreins à panache",0,0,1,0,0,"Chanfrein à panache",65559,0,0,0,49079,0,0
27,"barde d'effroi",0,"bardes d'effroi",0,0,1,1,0,"Barde d'effroi",65561,65561,65561,0,49082,49083,49084
28,"barde de Shiva",0,"bardes de Shiva",0,0,1,1,0,"Barde de Shiva",65562,65562,65562,0,49085,49086,49087
29,"barde de parieur",0,"bardes de parieur",0,0,1,1,0,"Barde de parieur",65565,65565,65565,0,49091,49092,49093
30,"barde de soupirant",0,"bardes de soupirant",0,0,1,1,0,"Barde de soupirant",65566,65566,65566,0,49088,49089,49090
31,"demi-barde ishgardaise",0,"demi-bardes ishgardaises",0,0,1,1,0,"Demi-barde ishgardaise",65567,65567,65567,0,49094,49095,49096
32,"barde ishgardaise",0,"bardes ishgardaises",0,0,1,1,0,"Barde ishgardaise",131103,131103,131103,0,49097,49098,49099
33,"",0,"",0,0,0,0,0,"",0,0,0,0,0,0,0
34,"barde de Bismarck",0,"bardes de Bismarck",0,0,1,1,0,"Barde de Bismarck",65568,65568,65568,0,49103,49104,49105
35,"barde de Ravana",0,"bardes de Ravana",0,0,1,1,0,"Barde de Ravana",65569,65569,65569,0,49106,49107,49108
36,"barde noble",0,"bardes nobles",0,0,1,1,0,"Barde noble",65570,65570,65570,0,49109,49110,49111
37,"barde orthodoxe",0,"bardes orthodoxes",0,0,1,1,0,"Barde orthodoxe",131106,131106,131106,0,49112,49113,49114
38,"barde des Hautes terres",0,"bardes des Hautes terres",0,0,1,1,0,"Barde des Hautes terres",65571,65571,65571,0,49115,49116,49117
39,"barde de la rose sauvage",0,"bardes de la rose sauvage",0,0,1,1,0,"Barde de la rose sauvage",65573,65573,65573,0,49118,49119,49120
