Index,0 [0x3][0x4],1 [0x3][0x5],2 [0x3][0x6],3 [0x0][0x0]
65536,0,0,0,"アセットパス"
65537,1,9,5,"bgcommon/hou/dyna/mat/wl/0001/material/rom_wl_20001a.mtrl"
65538,2,9,5,"bgcommon/hou/dyna/mat/wl/0002/material/rom_wl_20002a.mtrl"
65539,3,9,5,"bgcommon/hou/dyna/mat/wl/0003/material/rom_wl_20003a.mtrl"
65540,1,10,5,"bgcommon/hou/dyna/mat/fl/0001/material/rom_fl_20001a.mtrl"
65541,2,10,5,"bgcommon/hou/dyna/mat/fl/0002/material/rom_fl_20002a.mtrl"
65542,3,10,5,"bgcommon/hou/dyna/mat/fl/0003/material/rom_fl_20003a.mtrl"
65543,1,11,0,"bgcommon/hou/dyna/lmp/lp/0001/asset/lmp_s0_m0001.sgb"
65544,2,11,0,"bgcommon/hou/dyna/lmp/lp/0002/asset/lmp_s0_m0002.sgb"
65545,3,11,0,"bgcommon/hou/dyna/lmp/lp/0003/asset/lmp_s0_m0003.sgb"
65546,4,11,0,"bgcommon/hou/dyna/lmp/lp/0004/asset/lmp_s0_m0004.sgb"
65547,5,11,0,"bgcommon/hou/dyna/lmp/lp/0005/asset/lmp_s0_m0005.sgb"
65548,6,11,0,"bgcommon/hou/dyna/lmp/lp/0006/asset/lmp_s0_m0006.sgb"
65549,7,11,0,"bgcommon/hou/dyna/lmp/lp/0007/asset/lmp_s0_m0007.sgb"
65550,8,11,0,"bgcommon/hou/dyna/lmp/lp/0008/asset/lmp_s0_m0008.sgb"
65551,9,11,0,"bgcommon/hou/dyna/lmp/lp/0009/asset/lmp_s0_m0009.sgb"
65552,10,11,0,"bgcommon/hou/dyna/lmp/lp/0010/asset/lmp_s0_m0010.sgb"
65553,11,11,0,"bgcommon/hou/dyna/lmp/lp/0011/asset/lmp_s0_m0011.sgb"
65554,12,11,0,"bgcommon/hou/dyna/lmp/lp/0012/asset/lmp_s0_m0012.sgb"
65555,13,11,0,"bgcommon/hou/dyna/lmp/lp/0013/asset/lmp_s0_m0013.sgb"
65556,14,11,0,"bgcommon/hou/dyna/lmp/lp/0014/asset/lmp_s0_m0014.sgb"
65557,4,9,4,"bgcommon/hou/dyna/mat/wl/0004/material/rom_wl_20004a.mtrl"
65558,5,9,4,"bgcommon/hou/dyna/mat/wl/0005/material/rom_wl_20005a.mtrl"
65559,6,9,5,"bgcommon/hou/dyna/mat/wl/0006/material/rom_wl_20006a.mtrl"
65560,7,9,5,"bgcommon/hou/dyna/mat/wl/0007/material/rom_wl_20007a.mtrl"
65561,8,9,4,"bgcommon/hou/dyna/mat/wl/0008/material/rom_wl_20008a.mtrl"
65562,9,9,4,"bgcommon/hou/dyna/mat/wl/0009/material/rom_wl_20009a.mtrl"
65563,10,9,6,"bgcommon/hou/dyna/mat/wl/0010/material/rom_wl_20010a.mtrl"
65564,11,9,2,"bgcommon/hou/dyna/mat/wl/0011/material/rom_wl_20011a.mtrl"
65565,12,9,10,"bgcommon/hou/dyna/mat/wl/0012/material/rom_wl_20012a.mtrl"
65566,13,9,10,"bgcommon/hou/dyna/mat/wl/0013/material/rom_wl_20013a.mtrl"
65567,4,10,4,"bgcommon/hou/dyna/mat/fl/0004/material/rom_fl_20004a.mtrl"
65568,5,10,4,"bgcommon/hou/dyna/mat/fl/0005/material/rom_fl_20005a.mtrl"
65569,6,10,5,"bgcommon/hou/dyna/mat/fl/0006/material/rom_fl_20006a.mtrl"
65570,7,10,5,"bgcommon/hou/dyna/mat/fl/0007/material/rom_fl_20007a.mtrl"
65571,8,10,4,"bgcommon/hou/dyna/mat/fl/0008/material/rom_fl_20008a.mtrl"
65572,9,10,4,"bgcommon/hou/dyna/mat/fl/0009/material/rom_fl_20009a.mtrl"
65573,10,10,6,"bgcommon/hou/dyna/mat/fl/0010/material/rom_fl_20010a.mtrl"
65574,11,10,2,"bgcommon/hou/dyna/mat/fl/0011/material/rom_fl_20011a.mtrl"
65575,12,10,10,"bgcommon/hou/dyna/mat/fl/0012/material/rom_fl_20012a.mtrl"
65576,13,10,10,"bgcommon/hou/dyna/mat/fl/0013/material/rom_fl_20013a.mtrl"
65577,15,11,0,"bgcommon/hou/dyna/lmp/lp/0015/asset/lmp_s0_m0015.sgb"
65578,14,9,5,"bgcommon/hou/dyna/mat/wl/0014/material/rom_wl_20014a.mtrl"
65579,15,9,5,"bgcommon/hou/dyna/mat/wl/0015/material/rom_wl_20015a.mtrl"
