Index,0 [0x3][0x1a],1 [0x3][0x1b],2 [0x2][0x1d],3 [0x3][0x1c],4 [0x5][0x8],5 [0x0][0x0],6 [0x5][0xa],7 [0x4][0x14],8 [0x4][0x16],9 [0x5][0xc],10 [0x5][0xe],11 [0x5][0x10],12 [0x4][0x18],13 [0x7][0x4],14 [0x5][0x12],15 [0x19][0x1e],16 [0x1a][0x1e]
0,0,0,0,0,137,"",100,0,0,0,0,0,-1,0,0,true,false
1,0,0,0,1,137,"default/00",100,0,0,21,21,0,-1,0,1,true,false
2,2,2,0,1,3,"f1t1/00",200,0,0,23,52,0,-1,0,132,true,false
3,2,3,0,1,4,"f1t2/00",200,0,0,23,53,0,-1,0,133,true,false
4,2,5,0,1,5,"f1f1/00",100,0,0,23,54,0,0,16382,148,true,false
5,2,6,0,1,6,"f1f2/00",100,0,0,23,55,0,0,1048574,152,false,false
6,2,7,0,1,7,"f1f3/00",100,0,0,23,56,0,1,131070,153,false,false
7,2,8,0,1,8,"f1f4/00",100,0,0,23,57,0,2,131070,154,false,false
8,2,9,0,1,10,"f1d1/00",300,0,0,23,58,0,1,4094,164,true,false
9,2,10,0,1,21,"f1r1/00",200,0,0,23,61,0,2,16382,169,true,false
10,0,0,0,1,20,"f1f1/01",200,0,0,23,106,0,-1,0,0,true,false
11,1,2,0,1,71,"s1t1/01",200,0,0,22,28,0,-1,0,128,true,false
12,1,3,0,1,72,"s1t2/00",200,0,0,22,29,0,-1,0,129,true,false
13,3,2,0,1,59,"w1t1/01",200,0,0,24,40,0,-1,0,130,true,false
14,3,3,1,1,60,"w1t2/01",200,0,0,24,41,373,-1,0,131,true,false
15,1,6,0,1,74,"s1f1/00",100,0,0,22,30,0,3,254,134,true,false
16,1,7,0,1,75,"s1f2/00",100,0,0,22,31,0,4,2046,135,true,false
17,1,8,0,1,76,"s1f3/00",100,0,0,22,32,0,5,32766,137,true,false
18,1,9,0,1,77,"s1f4/00",100,0,0,22,33,0,3,1048574,138,false,false
19,1,10,0,1,78,"s1f5/00",100,0,0,22,34,0,6,510,139,true,false
20,3,6,0,1,40,"w1f1/00",100,0,0,24,42,0,7,8190,140,true,false
21,3,7,0,1,39,"w1f2/00",100,0,0,24,43,0,8,16382,141,true,false
22,3,8,0,1,41,"w1f3/00",100,0,0,24,44,0,4,262142,145,false,false
23,3,9,0,1,42,"w1f4/01",100,0,0,24,45,0,5,1048574,146,false,false
24,3,10,0,1,43,"w1f5/00",100,0,0,24,46,0,9,510,147,true,false
25,5,2,0,1,108,"l1f1/01",100,0,0,26,67,0,6,131070,156,false,false
26,0,0,0,1,68,"s1ti/00",800,0,0,22,733,0,-1,0,177,true,false
27,0,0,0,1,70,"w1ti/00",800,0,0,24,617,0,-1,0,178,true,false
28,0,0,0,1,69,"f1ti/00",800,0,0,23,548,0,-1,0,179,true,false
29,0,0,0,1,137,"default/00",200,0,0,0,0,0,-1,0,22,true,false
30,1,11,0,1,79,"s1f6/00",100,0,0,22,350,0,10,510,180,true,false
31,1,12,0,1,80,"s1d1/00",200,0,0,22,35,0,11,4094,157,true,false
32,1,14,0,1,82,"s1d3/00",200,0,0,22,37,0,12,1022,159,true,false
