Index,0 [0x19][0x14],1 [0x3][0x10],2 [0x3][0x11],3 [0x5][0x4],4 [0x5][0x6],5 [0x6][0x0],6 [0x5][0x8],7 [0x3][0x12],8 [0x3][0x13],9 [0x5][0xa],10 [0x5][0xc],11 [0x5][0xe]
0,false,0,1,1,0,0,0,0,0,0,0,0
1,false,34,1,1,60,1133,0,0,0,0,0,1
2,false,34,2,1,60,1133,0,0,0,0,0,2
3,false,34,3,1,60,1133,0,0,0,0,0,3
4,false,34,4,1,60,1133,0,0,0,0,0,4
5,false,34,5,1,60,1133,0,0,0,0,0,5
6,false,34,6,1,60,4413,0,0,0,0,0,6
7,false,34,7,1,60,4413,0,0,0,0,0,7
8,false,34,8,1,60,4413,0,0,0,0,0,8
9,false,34,9,1,60,4413,0,0,0,0,0,9
10,false,34,10,1,60,4413,1,0,0,0,0,10
11,false,34,10,1,60,4413,1,0,0,0,0,11
12,false,34,10,1,60,4413,1,0,0,0,0,12
13,false,34,11,1,60,8800,1,0,0,0,0,13
14,false,34,11,1,60,8800,1,0,0,0,0,14
15,false,34,12,1,60,8800,1,0,0,0,0,15
16,false,34,12,1,60,8800,1,0,0,0,0,16
17,false,34,13,1,60,8800,1,0,0,0,0,17
18,false,34,14,1,60,8800,1,0,0,0,0,18
19,false,34,14,1,60,8800,1,0,0,0,0,19
20,false,34,15,1,60,8800,1,0,0,0,0,20
21,false,34,15,1,60,8800,1,0,0,0,0,21
22,false,34,15,1,60,8800,1,0,0,0,0,22
23,false,34,16,1,60,13600,1,0,0,0,0,23
24,false,34,17,1,60,13600,1,0,0,0,0,24
25,false,34,18,1,60,13600,1,0,0,0,0,25
26,false,34,19,1,60,13600,1,0,0,0,0,26
27,false,34,20,1,60,13600,10,0,0,0,0,27
28,false,34,21,1,60,20494,10,0,0,0,0,28
29,false,34,22,1,60,20494,10,0,0,0,0,29
30,false,34,23,1,60,20494,10,0,0,0,0,30
31,false,34,24,1,60,20494,10,0,0,0,0,31
32,false,34,25,1,60,20494,10,0,0,0,0,32
33,false,34,25,1,60,20494,10,0,0,0,0,33
34,false,34,25,1,60,20494,10,0,0,0,0,34
35,false,34,25,1,60,20494,10,0,0,0,0,35
36,false,34,25,1,60,20494,10,0,0,0,0,36
37,false,34,25,1,60,20494,10,0,0,0,0,37
38,false,34,26,1,60,30000,10,0,0,0,0,38
39,false,34,26,1,60,30000,10,0,0,0,0,39
40,false,34,27,1,60,30000,10,0,0,0,0,40
41,false,34,28,1,60,30000,10,0,0,0,0,41
42,false,34,28,1,60,30000,10,0,0,0,0,42
43,false,34,29,1,60,30000,10,0,0,0,0,43
44,false,34,29,1,60,30000,10,0,0,0,0,44
45,false,34,30,1,60,30000,10,0,0,0,0,45
46,false,34,30,1,60,30000,10,0,0,0,0,46
47,false,34,30,1,60,30000,10,0,0,0,0,47
48,false,34,31,1,60,39618,20,0,0,0,0,48
49,false,34,32,1,60,39618,20,0,0,0,0,49
50,false,34,32,1,60,39618,20,0,0,0,0,50
51,false,34,33,1,60,39618,20,0,0,0,0,51
52,false,34,34,1,60,39618,20,0,0,0,0,52
53,false,34,35,1,60,39618,20,0,0,0,0,53
54,false,34,36,1,60,48784,20,0,0,0,0,54
55,false,34,37,1,60,48784,20,0,0,0,0,55
56,false,34,38,1,60,48784,20,0,0,0,0,56
57,false,34,39,1,60,48784,20,0,0,0,0,57
58,false,34,40,1,60,48784,20,0,0,0,0,58
59,false,34,41,1,60,57896,30,0,0,0,0,59
60,false,34,42,1,60,57896,30,0,0,0,0,60
61,false,34,43,1,60,57896,30,0,0,0,0,61
62,false,34,44,1,60,57896,30,0,0,0,0,62
63,false,34,45,1,60,57896,30,0,0,0,0,63
64,false,34,46,1,60,70533,30,0,0,0,0,64
65,false,34,47,1,60,70533,30,0,0,0,0,65
66,false,34,48,1,60,70533,30,0,0,0,0,66
67,false,34,49,1,60,70533,30,0,0,0,0,67
68,false,34,49,1,60,70533,30,0,0,0,0,68
69,false,17,2,1,60,1133,0,0,0,0,0,69
