Index,0 [0x0][0x0]
0,""
1,""
2,""
3,""
4,""
5,""
6,""
7,""
8,""
9,""
10,""
11,"Übungsbahn"
12,"Sagolii-Straße"
13,"Sonnenküste"
14,"Pfad der Seelenruhe"
15,"Übungslauf"
16,"Einsteigerklasse"
17,"Klasse 40"
18,"Klasse 60"
19,"Klasse 80"
20,"Klasse 100"
21,"Klasse 120"
22,"Klasse 140"
23,"Klasse 160"
24,"Klasse 180"
25,"Klasse 200"
26,"Klasse 220"
27,"Klasse 240"
28,"Klasse 300"
29,"Freie Klasse"
30,"1."
31,"2."
32,"3."
33,"4."
34,"5."
35,"6."
36,"7."
37,"8."
38,"<ref:GoldSaucerTextData>    <ref:GoldSaucerTextData>"
39,"Strecke: <value> %"
40,"Platz: <value>"
41,""
42,""
43,""
44,""
45,""
46,""
47,""
48,""
49,""
50,""
51,"Achtung, zerbrechlich!"
52,"Abgelieferte Vasen"
53,""
54,""
55,""
56,""
57,""
58,""
59,""
60,""
61,"Schwing dein Bein!"
62,"Das ist deine Chance, groß rauszukommen! Erklimm die Hauptbühne und folge den Anweisungen der Vortänzer!"
63,"Kannst du dir die Tanzbewegungen merken? Führe 10 richtige Emotes hintereinander aus!"
64,"Anzahl der Emotes (Set 1)"
65,"Anzahl der Emotes (Set 2)"
66,"Anzahl der Emotes (Set 3)"
67,"Anzahl der Emotes (Set 4)"
68,"Korrekte Emotes"
69,""
70,""
71,"Hungaaa, Hungaaa!"
72,"Meister Typhon macht viel Wind um nichts! Erklimm die Hauptbühne und weiche seinen gewaltigen Niesern aus!"
73,"Weich Meister Typhons Riesenniesern aus und lass dich nicht von der Bühne fegen! Wo wird sein legendärer Nasenorkan als nächstes zuschlagen?"
74,"Ausgewichene Nieser"
75,""
76,""
77,""
78,""
79,""
80,""
81,"Haltet den Imp!"
82,"Ein gestaltwandlerischer Imp ist los! Und er hat sich ausgerechnet in seinen Jäger verwandelt ... Nimm die dubiosen Abenteurer unter die Lupe und räucher den aus, der sich als exakte Kopie des Nichtsjägers entpuppt!"
83,""
84,""
85,""
86,""
87,""
88,""
89,""
90,""
91,"Rettet meinen Begleiter!"
92,""
93,""
94,""
95,""
96,""
97,""
98,""
99,""
100,""
101,"Ein Mini-Glückskaktor-Los kaufen"
102,""
103,""
104,"<ref:GoldSaucerTextData> <if:[Wertung: <value> - <value>]/none>"
105,"<ref:GoldSaucerTextData>"
106,""
107,""
108,""
109,""
110,"Willkommen auf der Übungsbahn!"
111,"Befolge die Anweisungen!"
112,"Übungslauf abgeschlossen!"
113,"???"
114,"Beschleunigen"
115,"Bis zur Erschöpfung beschleunigen"
116,"Bei Erschöpfung normal laufen und erholen"
117,"Nach links und rechts lenken"
118,"Über ein Zauberfeld reiten"
119,"Springen"
120,"Eine Schatztruhe berühren"
121,"Ein Extra benutzen (Kommandomenü)"
122,""
123,""
124,""
125,""
126,""
127,""
128,""
129,""
130,""
131,"Lass mich dir kurz die Regeln erklären! Es ist ganz einfach: Rubble zuerst einmal drei Felder deiner Wahl frei."
132,"Dann kannst du eine Reihe auswählen. Die Auszahlung bestimmt sich nach der Summe der Zahlen deiner Reihe. Jede Ziffer von 1 bis 9 ist einmal vertreten."
133,"Wähle eine vierstellige Nummer. Diese wird nach der Auslosung mit der Gewinnzahl verglichen. Je mehr Ziffern deiner Zahl sich mit denen der Gewinnzahl decken, desto höher fällt deine Preisklasse aus. Verglichen wird ab der letzten Ziffer."
134,""
135,""
136,""
137,""
138,""
139,""
140,""
141,""
142,""
143,""
144,""
145,""
146,""
147,""
148,""
149,""
150,""
151,""
152,""
153,""
154,""
155,""
156,""
157,""
158,""
159,""
160,""
