Index,0 [0x0][0x0],1 [0x2][0x14],2 [0x0][0x4],3 [0x2][0x15],4 [0x2][0x16],5 [0x2][0x17],6 [0x2][0x18],7 [0x2][0x19],8 [0x0][0x8],9 [0x0][0xc],10 [0x0][0x10],11 [0x5][0x24],12 [0x3][0x30],13 [0x3][0x31],14 [0x3][0x32],15 [0x3][0x33],16 [0x3][0x34],17 [0x3][0x35],18 [0x3][0x36],19 [0x3][0x37],20 [0x3][0x38],21 [0x19][0x40],22 [0x1a][0x40],23 [0x1b][0x40],24 [0x1c][0x40],25 [0x5][0x26],26 [0x1d][0x40],27 [0x1e][0x40],28 [0x5][0x28],29 [0x5][0x2a],30 [0x1f][0x40],31 [0x3][0x39],32 [0x3][0x3a],33 [0x5][0x2c],34 [0x3][0x3b],35 [0x3][0x3c],36 [0x3][0x3d],37 [0x20][0x40],38 [0x19][0x41],39 [0x1a][0x41],40 [0x1b][0x41],41 [0x1c][0x41],42 [0x3][0x3e],43 [0x5][0x2e],44 [0x3][0x3f],45 [0x0][0x1c],46 [0x0][0x20]
0,"",0,"",0,0,1,0,0,"","","",0,100,0,0,0,0,0,0,8,0,false,false,false,false,0,false,true,0,0,false,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
1,"cherry bomb",0,"cherry bombs",0,0,0,0,0,"Summon your cherry bomb minion─a miniature recreation of a voidsent bomb, created via the thaumaturgical rendering of umbrally charged aetherial energy. Guaranteed never to self-destruct, or your gil back.","To maintain the white-hot temperatures within their cores, bombs will feed upon almost any combustible material, including wood, charcoal, ceruleum, fire crystals, even dragon peppers.","Brilliant bombs─\nbreathtaking,\nbeautiful, brilliant!\n  - Ba Go",427,100,30,0,0,0,2,0,8,1,true,true,false,false,0,false,true,4503,3,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
2,"mammet #001",0,"mammets #001",0,0,0,0,1,"Summon your mammet #001 minion─a fully operational clockwork puppet built in a joint effort by the Alchemists' and Goldsmiths' Guilds.","The standard frill-free #001 model is not only the best-selling mammet on the market, but is the blueprint on which all other clockwork servitors are based.","Mammets can't\neven taste food!\n  - Serendipity",419,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4501,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
3,"wayward hatchling",0,"wayward hatchlings",0,0,0,0,0,"Summon your wayward hatchling minion. Until he finds his real mother, you'll have to suffice.","Even if this orphaned avian were to stumble across his birth parent, chances are he would not even blink an eye, for it is well documented that immediately after hatching, chocobos recognize the first thing they see as their mother─that being\nyou.","Whoa, whoa, whoa!\nHooold your chocobos.\n  - Buscarron",423,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4502,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
4,"Cait Sith doll",0,"Cait Sith dolls",0,0,0,1,0,"Summon your Cait Sith doll. The ever-extended tail helps the kitten keep her balance.","The clockwork rendition of an enigmatic cat spirit from the pages of Midlander mythology, Goldsmiths' Guild guildmaster Serendipity crafted this lifelike figurine to bring joy to those children who were orphaned in the Calamity.","What may be a few to\nyou was everything to\nthose who died...\n  - Cait Sith",430,100,30,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4504,201,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
5,"baby behemoth",0,"baby behemoths",0,0,0,0,0,"Summon your baby behemoth. We can only hope his mother doesn't come looking for him.","Obtainable in Ul'dah's Sapphire Avenue Exchange for a fistful of coin and a smile, the pedigree of this baby beast is questionable at best. While displaying many behemoth-like features─a sleek violet hide, hungry eyes, and two polished\nhorns─its squealing is not\nunlike a boar at slaughter.","Disaster follows the man\nlike a behemoth chasing\na butterfly.\n  - Chechezan",428,100,30,0,0,0,2,0,8,5,true,true,false,true,0,false,true,4505,5,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
6,"mammet #003L",0,"mammets #003L",0,0,1,0,1,"Summon your mammet #003L minion─a fully operational clockwork puppet built for the Maelstrom.","Designed to be a standard-bearer in Maelstrom company parades, these handcrafted automatons were soon decommissioned due to the fact that their small stature ensured that no one could see the flags they carried.","Feelings! Maybe she just\ndoesn't feel like part of\nthe team!?\n  - Wedge",420,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4506,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
7,"mammet #003G",0,"mammets #003G",0,0,1,0,1,"Summon your mammet #003G minion─a fully operational clockwork puppet built for the Order of the Twin Adder.","Designed to be a standard-bearer in Order of the Twin Adder company parades, these handcrafted automatons were soon decommissioned due to the fact that their small stature ensured that no one could see the flags they carried.","Feelings! Maybe she just\ndoesn't feel like part of\nthe team!?\n  - Wedge",421,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4507,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
8,"mammet #003U",0,"mammets #003U",0,0,1,0,1,"Summon your mammet #003U minion─a fully operational clockwork puppet built for the Immortal Flames.","Designed to be a standard-bearer in Immortal Flames company parades, these handcrafted automatons were soon decommissioned due to the fact that their small stature ensured that no one could see the flags they carried.","Feelings! Maybe she just\ndoesn't feel like part of\nthe team!?\n  - Wedge",422,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4508,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
9,"storm hatchling",0,"storm hatchlings",0,0,1,0,0,"Summon your storm hatchling minion. Not more than a fortnight out of the shell, but his blood already runs Maelstrom red. Till sea swallows all!","Raised by a storm private from an egg found abandoned in the company stables he was charged with cleaning, this adorable fledgling is a symbol of new beginnings for the mighty Maelstrom.","Chocobo dander can\nbe a mite ripe.\n  - Chocobokeep",424,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4509,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
