Index,0 [0x7][0x38],1 [0x0][0x0],2 [0x0][0x4],3 [0x0][0x8],4 [0x0][0xc],5 [0x7][0x10],6 [0x7][0x14],7 [0x7][0x18],8 [0x7][0x1c],9 [0x7][0x20],10 [0x7][0x24],11 [0x7][0x28],12 [0x7][0x2c],13 [0x5][0x30],14 [0x5][0x32],15 [0x1][0x34],16 [0x1][0x35]
0,0,"","","","",0,0,0,0,0,0,0,0,0,0,false,false
1,1004746,"Éliminez les ennemis sans vous faire voir!","Les ennemis d'un même groupe combattent solidairement.\nAttention de ne pas attirer l'attention de plusieurs groupes en même temps!\nSurveillez le champ de vision ennemi!\nPrenez aussi garde aux attaques ennemies qui projettent les personnages en arrière.","Si le goobbue vous repère, tous les ennemis vous attaqueront!\nRestez hors de son champ de vision, et éliminez les groupes d'ennemis un par un.","Cet exercice de bataille testera votre aptitude à gérer plusieurs groupes d'ennemis.\n\nApprenez à séparer des ennemis de leur groupe en les attaquant à distance, et à les combattre hors de vue des autres créatures.",3280,660,1120,50,0,0,0,0,0,0,false,false
2,1004742,"Vainquez Bockman et ses serviteurs de l'enfer !","Lorsque Bockman subit des dégâts, il invoque des damnés pour combattre à ses côtés. \nLes combattants chargés de la défense de l'équipe doivent s'efforcer d'attirer l'inimitié de l'ensemble des adversaires sur eux pour protéger leurs compagnons.","Plus il y a d'ennemis sur le champ de bataille, plus il risque d'y avoir de victimes dans l'équipe. \nLes attaquants doivent s'efforcer d'éliminer les damnés appelés en renfort dès leur apparition pour réduire les effectifs adverses.","Bockman, un fantôme errant prisonnier du royaume matériel, a repris possession de sa légendaire armure et attend patiemment près de l'Hypogée de Tam-Tara que quelqu'un ait le courage de le défier. Non seulement ce colossal chevalier brandit une imposante lame capable de terrasser plusieurs victimes d'un seul coup, mais lorsqu'il se sent en danger, Bockman invoque ses serviteurs damnés depuis les profondeurs du septième cercle infernal.\n\nVenez à bout de cette âme en peine et renvoyez-la vers l'au-delà où l'attend enfin la paix.",3420,680,1160,50,0,0,0,0,0,0,false,false
3,1004744,"Forcez les 3 portes et vainquez le saute-saillie!","Certaines portes s'ouvrent automatiquement quand tous les ennemis sont vaincus et la zone sécurisée. D'autres par contre doivent être ouvertes avec un levier.","Quand vous arrivez dans la dernière chambre, les yarzons tenteront de casser les rochers derrière lesquels ils sont prisonniers. \nVainquez le saute-saillie avant que la vermine ne le rejoigne.","Cet exercice de bataille testera votre aptitude à percer les défenses ennemies pour vous introduire dans leur camp.\n\nÉliminez les unités ennemies dans chacune des trois antichambres pour progresser vers la dernière salle et affronter le crapaud saute-saillie qui en a fait sa tanière. Il est important d'en finir au plus vite avec la créature pour éviter les yarzons tapis derrière les rochers qui sortiront dès qu'ils sentiront l'odeur du sang.",7260,1450,1740,80,0,0,0,0,0,0,false,false
4,1004744,"Affaiblissez la gilkhélone et attirez-la dans un piège!","Les bandits tenteront de soigner la gilkhélone tant qu'elle est proche d'eux. Essayez de la maintenir hors de portée de leurs sorts.","Tuez les élémentaires de feu et utilisez leurs noyaux pour mettre le feu à la touffe d'herbe. La fumée soporifique dégagée calmera la gilkhélone, ce qui vous permettra de la capturer plus facilement.","Teledji Adeledji, un riche noble, a vu son cher animal de compagnie, une gilkhélone, kidnappé par des bandits qui demandent une rançon pour le lui rendre. Homme de principes, Teledji Adeledji a décidé de ne pas négocier avec les preneurs d'otages, et d'offrir une récompense à quiconque lui rapporterait l'animal sain et sauf.\n\nVous devrez avoir recours à une herbe qui devient soporifique lorsqu'elle brûle pour capturer le précieux reptile. Après avoir affaibli la gilkhélone, abattez des élémentaires de feu et utilisez leurs noyaux pour mettre le feu aux herbes. La fumée produite devrait être assez puissante pour endormir la créature, à condition que celle-ci soit assez près des flammes.",7560,1510,1810,80,0,0,0,0,0,0,false,false
5,1004742,"Éliminez la source du pollen toxique!","Les nuages de pollen toxique qui entourent les boules de pollen infligent de sérieux dégâts. Attention de ne pas y séjourner trop longtemps!","Si l'ennemi se trouve dans une zone contaminée par le poison, il faut l'en éloigner avant de l'affronter.","Les monstres végétaux de la forêt sont arrivés à maturité et leurs fleurs ont libéré çà et là des boules de pollen empoisonné pour se reproduire. Inhalé, ce pollen peut causer des irritations, des nausées et, en cas d'exposition prolongée, la mort. Il est crucial d'éliminer ces fleurs du mal avant que la Sylve des Douze ne soit complètement embrumée par ce nuage mortel.\n\nPrenez garde à vos mouvements pour ne pas vous approcher du poison violent du pollen, et attirez l'ennemi dans un endroit suffisamment sûr pour combattre!",8770,1750,2280,110,0,0,0,0,0,0,false,false
6,1004742,"Attaquez l'ennemi en petits groupes!","Les guetteurs Ventrerouge réagiront au moindre signe de menace et appelleront des renforts s'ils se sentent en infériorité numérique. Essayez de vaincre ces hors-la-loi en petits groupes pour éviter de vous faire submerger par un trop grand nombre d'attaques en même temps.","Les Ventrerouge ont dans leurs rangs des psalmodieurs qui soigneront les blessures de leurs compagnons. \nCommencez par les éliminer pour que l'opération se termine au plus vite.","Un groupe de célèbres hors-la-loi connus sous le nom de Ventrerouge cherche à établir un nouveau quartier général près des Mille Gueules de Toto-Rak, et s'est établi dans les environs. Il faut frapper avant qu'ils n'arrivent à leurs fins et ne se constituent un nouveau Guêpier. Leur chef risque d'appeler des renforts lorsqu'il sera attaqué.\n\nCommencez par scruter les mouvements de l'ensemble des Ventrerouge, puis attaquez-les tant qu'ils sont en petits groupes en surveillant les soigneurs. La prudence est de mise; gardez à l'esprit que des renforts peuvent surgir à tout moment!",10150,2030,2500,120,0,0,0,0,0,0,false,false
7,1004742,"Réduisez Briaxio l'Illusoire au silence!","Les altérations d'état infligées par les monstres peuvent être soignées à l'aide d'objets ou du sort Guérison.","Diviser votre équipe en deux unités peut s'avérer utile : une unité pour éliminer le redoutable Briaxio et une autre pour se charger des monstres envoûtés.","Des Sylphes hostiles, qui préféreraient voir la Sylve des Douze en proie aux flammes plutôt que de faire la paix avec les habitants de Gridania, se sont mis à utiliser des tours interdits pour charmer des monstres de la forêt et leur faire commettre des actes impies.\n\nBrièvement renforcées par la magie, ces créatures peuvent désormais affaiblir leurs victimes à l'aide de terribles poisons et d'attaques à distance. Si vous désirez libérer les créatures de la forêt de l'influence des Sylphes, vous devrez vaincre leur chef, Briaxio l'Illusoire.",10280,2060,2800,140,0,0,0,0,0,0,false,false
8,1004742,"Détruisez les barricades et chassez les Gobelins !","Les bombes des Gobelins n'explosent pas immédiatement en touchant le sol. Si l'une d'elles atterrit près de vous, éloignez-vous rapidement pour ne pas vous faire prendre dans l'explosion.","Les barricades des Gobelins peuvent être détruites par de simples attaques. Elles sont également sensibles aux explosions des bombes. Tirez-en parti pour réduire à zéro leurs points de vie et les faire voler en éclats!","Un groupe de Gobelins sans foi ni loi s'est emparé de l'Oubli de la Mère et bloque l'accès à certaines des parties les plus reculées de la forêt et aux hauteurs de la Sylve des Douze. Désormais, tous ceux qui ont l'audace ou la malchance d'en approcher se font canarder de bombes à retardement lancées par-dessus leurs barricades de fortune.\n\nÀ vous de savoir utiliser les bombes à retardement de l'ennemi à votre avantage pour détruire ces barrières. Anéantissez les Gobelins, éliminez leur chef, et regagnez le contrôle de la zone afin que chacun puisse de nouveau traverser le passage sans craindre pour sa vie.",10710,2140,2920,140,0,0,0,0,0,0,false,false
9,1004746,"Vainquez Tamlyn en faisant attention aux bulles!","De nouveaux ennemis viendront portés par des bulles des profondeurs. Faites exploser les bulles bleues et renvoyez les créatures d'où elles viennent avant qu'elles n'aient la chance d'émerger.","Les bulles violettes sont acides et libèrent dans les airs des toxines corrosives. \nÉvitez de les toucher à tout prix.","Une morbole géante surnommée Tamlyn la toxique par les autochtones s'est installée à la Cascade des idiots. Cet enchevêtrement massif de sarments répugnants empoisonne l'eau à la source de la rivière de Nym qui coule ensuite dans la mer de Rhotano, au large de Limsa Lominsa. Il faut l'éliminer avant que toutes les réserves d'eau potable de la Cité ne soient contaminées par cette pollution des eaux.\n\nPour ce faire, il vous faudra pénétrer dans une zone envahie de bulles mortelles qui libèrent des vapeurs toxiques, ainsi que d'autres redoutables monstres des profondeurs. Suivez bien les instructions et faites attention aux bulles!",17780,3560,3480,180,0,0,0,0,0,0,false,false
