Index,0 [0x0][0x0],1 [0x6][0x4],2 [0x3][0xe],3 [0x3][0xf],4 [0x6][0x8],5 [0x19][0x10],6 [0x5][0xc]
0,"",0,0,0,0,true,0
1,"大きく育つ海藻。その名は1マルム(約1600m)もの長さのケルプが打ち上げられた、との言い伝えによる",4776,4,0,128,true,0
2,"針がなくても釣れる、と言われるほど食欲旺盛。目の前に動く物があれば、なんでもハサミで捕らえようとする",4925,2,2,148,true,0
3,"繁殖期になると、頭や腹、尾びれなどが色鮮やかに変色。この婚姻色の美しさゆえに、観賞魚として人気が高い",4926,3,2,134,true,0
4,"多くの大型魚のエサとして、食物連鎖を支える。漁師にとっては、釣り餌の材料として、馴染み深い存在",4869,3,0,134,true,0
5,"キキルンの船乗りが、船倉で腐ったこの魚を発見。食べたところ美味であった。これが塩蔵アンチョビの始まり",4870,3,0,134,true,0
6,"クルザスの民話によれば、昔は空を舞っていたが、傲慢さゆえに神々に罰せられ水底を這うようになったという",4927,4,2,148,true,0
7,"釣り上げたとき、稀に背びれと骨をこすらせて「ギギギギギ」と低い音を発する。釣られるのが悔しいらしい",4928,4,2,134,true,0
8,"指ほどの大きさの小さな海老。煮込み料理の具などに用いられるほか、釣り餌としても広く利用されている",4871,4,0,134,true,0
9,"陽光を浴びることがない環境を棲息地とするため、甲殻が白く退色している。特に脱皮直後は、ほぼ透明になる",4929,5,2,148,true,0
10,"岩のようにも見えるが、歴とした生物。磨き上げると白く美しい光沢を放つため、「海の宝石」とも呼ばれる",5460,5,0,134,true,0
11,"トラウト釣りの入門魚として人気の魚。だが、技を極めた漁師も、晩年はこの魚と向き合うことを好むという",4930,5,2,134,true,0
12,"ごく一般的なクラゲ。シャーレアンの博物学者により、九段階に変態しつつ成長することが解明されている",4872,6,0,134,true,0
13,"バイルブランド島において、陸封されたゴビーの一種。ゴビーは棲息域によって、多様な色合いのものがいる",4931,6,2,134,true,0
14,"その見た目から嫌う人も多いが、翠浪海に浮かぶマズラヤ島や近東のサベネア島では、乾き物にして食すという",4873,7,0,135,true,0
15,"港湾部の近くにも回遊してくるため、手軽に釣れる魚。海洋都市リムサ・ロミンサでは、特に親しまれている",4874,7,0,134,true,0
16,"非常に獰猛な肉食魚で、川や湖に入った子供や家畜が噛まれることもしばしば。蒸し焼きにすると美味",4932,7,2,148,true,0
17,"紅色のザリガニだが、幼生のときは青みがかった灰色をしている。成長するに従い、赤味が増すという",4933,8,2,137,true,0
18,"美味で知られる二枚貝。沿岸部の住人たちの間では、さまざまな家庭料理に用いられることで知られている",4875,8,0,135,true,0
19,"水底の砂をかきわけて、体を隠す習性を持つ。そのためラノシアでは、臆病者を「スナモグリ野郎」と呼ぶ",4934,8,2,134,true,0
20,"レモン色の体に、淡い縞模様の入った美しい魚。金色を好むウルダハの富裕層の間で、観賞魚として人気が高い",4876,9,0,134,true,0
21,"ヌルヌルとした細長い魚。農耕民であるララフェル族は好んで食べるが、一般的には泥臭いと考えられている",4935,9,3,152,true,0
22,"山神オシュオンに踏まれて死んだ川魚を、女神リムレーンが哀れみ平らな海魚として甦らせたという伝説がある",4877,10,0,135,true,0
23,"雑食性で良型の個体が簡単に釣れるため、漁師に人気がある。塩をかけて炙っただけで美味しい点も人気の秘密",4936,10,2,148,true,0
24,"とても小さな魚だが、クルザス地方では貴重な食材とされている。釣り上げたその場で調理して食べる人も",4937,35,2,155,true,0
25,"光のない環境により眼が退化したが、天敵がいないため問題が無い。水流の変化を感じ取りエサを捕食する",4938,31,3,135,true,0
26,"殻が固く加工しにくいうえ、身が少ないため食用には不向き。エサを横取りすることもあるため漁師に嫌われる",4878,12,0,135,true,0
27,"ヒレを器用に使って泥を這う奇妙な魚。飛び出した眼は、浅い水溜まりから外敵を見つけるためのものらしい",4939,13,3,140,true,0
28,"フライルアーで釣り上げることができる魚。塩焼きはもちろん、フライやムニエルなど幅広く食用に利用される",4940,15,2,155,true,0
29,"死んだ魚や藻類を食べるため、「川の掃除屋」とも呼ばれる。この蟹が死滅すると、川が淀むと伝えられる",4941,15,2,152,true,0
30,"体表に鮮やかな模様がある魚。その模様が、オサード大陸原産の野獣「虎」に似ているためタイガーと呼ばれる",4879,15,0,135,true,0
31,"闘争本能が強いため、同種を同じ水槽に入れると、どちらか一方が死ぬまで闘い続ける。飼育するなら単独で",4942,16,3,148,true,0
32,"板金兜のような殻が特徴的。蟹の仲間にも思えるが、博物学者アテルーネの説によればマイトに近い種らしい",4880,16,0,135,true,0
33,"エオルゼアでは一般的な小型のバス。棲息域が等しいダークバスとの間で、熾烈な生存競争にさらされている",4943,17,3,140,true,0
34,"どんぐりの名を持つ巻貝。丁寧にあく抜きをすれば食用になるが、手間を惜しむと泥臭く非常に不味い",4944,17,2,140,true,0
35,"特にロズリト湾産が美味で有名。採れたてのものにサンレモンの汁を搾ると、それだけで格別な味わいとなる",4881,17,0,135,true,0
36,"普段の動きは鈍く、のっそりして見える。だが、獲物を狙う捕食行動のときだけは、驚くほど俊敏に動く",4945,18,2,153,true,0
37,"その名の通り、ラノシアの河川ではよく見かける存在。小魚を補食するため、ミノーでよく釣ることができる",4946,18,2,134,true,0
38,"大型の魚から逃げるため、ヒレを広げて滑空する。その姿は、女神リムレーンが投じたダガーに喩えられる",4882,18,1,138,true,0
39,"グリダニアでは、かつて戦乱期に籠城戦の食料とするため、堀である翡翠湖に放流されたという言い伝えが残る",4947,19,3,132,true,0
40,"南洋の暖かい海を原産とするあでやかな魚。時折、海流に流されることがあるらしく、エオルゼアでも釣れる",4883,19,1,134,true,0
41,"人為的な交配の繰り返しによって、銅色の輝きを得た観賞魚。東方から持ち込まれたものが、放流され広まった",4948,20,3,140,true,0
42,"川で生まれ、海で育ち、再び川に戻り産卵して死を迎える。それゆえ命の循環を象徴するとも考えられている",4949,20,2,139,true,0
43,"驚くと巣穴から飛び上がる。この習性を知る海鳥は、巣穴に小石を落とし、驚いて現れた貝を捕食するという",4884,20,0,135,true,0
44,"泥まみれになって、捕食者の目をくらますため、かつては「泥から生まれるゴーレムの一種」と考えられていた",4950,21,2,141,true,0
45,"触手をうねらせ、舞うように泳ぐ。この動きについては、求愛行動説と老廃物除去説があり、論争が続いている",4885,21,1,135,true,0
46,"真上から見たときにもっとも美しいように品種改良された観賞魚。だが、人工交配を続けないと色はあせてゆく",4951,21,2,148,true,0
47,"鮮血のような、真っ赤な甲殻が特徴。太陽の女神アーゼマが流した血によって生まれたという伝説があるほど",4952,22,2,140,true,0
48,"翡翠のような深い色合いのイール。体表の色は、食性の違いや棲息域の水質によっても、微妙に変化するらしい",4953,22,2,139,true,0
49,"沈黙毒を有する危険な魚。ある家庭で誤って食卓に出された結果、家族間の会話が途絶え、その一家は離散した",4886,22,0,137,true,0
