Index,0 [0x3][0x0],1 [0x3][0x1],2 [0x3][0x2],3 [0x3][0x3],4 [0x19][0x4],5 [0x1a][0x4]
0,255,255,255,255,true,true
1,1,1,1,1,true,true
2,1,1,1,1,true,true
3,1,1,1,1,true,true
4,1,1,1,1,true,true
5,1,1,1,1,true,true
6,1,1,1,1,true,true
7,1,1,1,1,true,true
8,1,1,1,1,true,true
9,1,1,1,1,true,true
10,1,1,1,1,true,true
11,1,1,1,1,true,true
12,1,1,1,1,true,true
13,1,1,1,1,true,true
14,1,1,1,1,true,true
15,1,1,1,1,true,true
16,1,1,1,1,true,true
17,1,1,1,1,true,true
18,1,1,1,1,true,true
19,1,1,1,1,true,true
20,1,1,1,1,true,true
21,1,2,3,4,true,true
22,2,4,6,8,true,true
23,1,1,2,3,true,true
24,1,1,1,1,true,true
25,1,1,1,1,true,true
26,1,1,1,1,true,true
27,1,1,1,1,true,true
28,1,1,1,1,true,true
29,1,1,1,1,true,true
30,3,3,3,3,true,true
31,1,1,1,1,true,true
32,1,1,1,1,true,true
33,1,1,1,1,true,true
34,1,1,1,1,true,true
35,1,1,1,1,true,true
36,0,1,1,1,false,false
37,1,1,1,1,true,true
38,1,1,2,3,true,true
39,1,1,1,1,true,true
40,1,1,1,1,true,true
41,1,1,1,1,true,true
42,1,1,1,1,true,true
43,1,1,1,1,true,true
44,1,1,1,1,true,true
45,1,1,1,1,true,true
46,1,1,1,1,true,true
47,10,10,10,10,true,true
48,0,0,0,0,true,true
49,0,0,0,0,true,true
