Index,0 [0x0][0x0],1 [0x6][0x8],2 [0x6][0xc],3 [0x6][0x10],4 [0x6][0x14],5 [0x6][0x18],6 [0x6][0x1c],7 [0x6][0x20],8 [0x6][0x24],9 [0x3][0x32],10 [0x3][0x33],11 [0x19][0x35],12 [0x1a][0x35],13 [0x1b][0x35],14 [0x1c][0x35],15 [0x3][0x34],16 [0x6][0x28],17 [0x5][0x2c],18 [0x5][0x2e],19 [0x5][0x30],20 [0x7][0x4]
0,"",0,0,0,0,0,0,0,0,0,0,false,false,false,false,0,0,0,0,0,0
1,"おどろく",689,0,0,0,674,674,0,0,1,0,false,true,false,false,74,402,64001,100,200,0
2,"不満を表す",690,0,0,639,639,639,0,0,1,0,false,true,false,false,69,403,64002,101,201,0
3,"怒る",691,0,0,664,664,664,0,0,1,0,false,true,false,false,63,404,64003,102,202,0
4,"照れる",693,0,0,0,0,0,0,0,1,0,false,true,false,false,26,405,64004,103,203,0
5,"お辞儀する",694,0,0,0,0,0,0,0,1,0,false,true,false,false,1,406,64005,104,204,0
6,"応援する",695,0,0,0,675,675,0,0,1,0,false,true,false,false,44,407,64006,105,205,0
7,"拍手する",696,0,0,656,645,676,0,0,1,0,false,true,false,false,42,408,64007,106,206,0
8,"手まねきする",697,0,0,0,0,0,0,0,1,0,false,true,false,false,91,409,64008,107,207,0
9,"なぐさめる",698,0,0,0,677,677,0,0,1,0,false,true,false,false,27,410,64009,108,208,0
10,"泣く",699,0,0,0,678,678,0,0,1,0,false,true,false,false,62,411,64010,109,209,0
11,"踊る",700,0,0,0,0,0,0,0,1,0,false,true,false,false,31,412,64011,110,210,0
12,"問い詰める",702,0,0,0,0,0,0,0,1,0,false,true,false,false,75,413,64012,111,211,0
13,"居眠りする",703,0,0,657,646,679,0,0,1,0,false,true,false,false,97,414,64013,112,212,0
14,"悔しがる",704,0,0,0,0,0,0,0,1,0,false,true,false,false,64,415,64014,113,213,0
15,"さようなら",705,0,0,637,680,680,0,0,1,0,false,true,false,false,3,416,64015,114,214,0
16,"手を振る",706,0,0,663,652,681,0,0,1,0,false,true,false,false,4,417,64016,115,215,0
17,"呆れる",707,0,0,660,649,682,0,0,1,0,false,true,false,false,70,418,64017,116,216,0
18,"喜ぶ",708,0,0,0,683,683,0,0,1,0,false,true,false,false,22,419,64018,117,217,0
19,"ひざまずく",710,0,0,0,0,0,0,0,1,0,false,true,false,false,5,420,64019,118,218,0
20,"笑う",711,0,0,662,651,685,0,0,1,0,false,true,false,false,20,421,64020,119,219,0
21,"大笑いする",712,0,0,638,635,686,0,0,1,0,false,true,false,false,21,422,64021,120,220,0
22,"見わたす",713,0,0,665,665,665,0,0,1,0,false,true,false,false,101,423,64022,121,221,0
23,"アピール",715,0,0,0,745,745,0,0,1,0,false,true,false,false,103,424,64023,122,222,0
24,"首を横に振る",716,0,0,666,666,666,0,0,1,0,false,true,false,false,60,425,64024,123,223,0
25,"否定する",717,0,0,667,746,746,0,0,1,0,false,true,false,false,61,426,64025,124,224,0
26,"慌てる",719,0,0,0,0,0,0,0,1,0,false,true,false,false,65,427,64026,125,225,0
27,"指さす",720,0,0,0,687,687,0,0,1,0,false,true,false,false,98,428,64027,126,226,0
28,"つつく",721,0,0,0,748,748,0,3185,1,0,false,true,false,false,99,429,64028,127,227,0
