Index,0 [0x0][0x0],1 [0x2][0x10],2 [0x0][0x4],3 [0x2][0x11],4 [0x2][0x12],5 [0x2][0x13],6 [0x2][0x14],7 [0x2][0x15],8 [0x0][0x8],9 [0x0][0xc],10 [0x5][0x24],11 [0x5][0x26],12 [0x3][0x28],13 [0x7][0x18],14 [0x3][0x29],15 [0x6][0x1c],16 [0x6][0x20]
2000000,"[en]",0,"",0,0,1,0,0,"","",0,0,1,0,0,83,85
2000001,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000002,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000003,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000004,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000005,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000006,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000007,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000008,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000009,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000010,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000011,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000012,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000013,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000014,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000015,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000016,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000017,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000018,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000019,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000020,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000021,"wooden hairpin",0,"wooden hairpins",0,0,1,0,0,"A simple wooden hairpin treasured by young Aunillie of the Acorn Orchard.","Wooden Hairpin",22623,1,1,0,3,83,85
2000022,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000023,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000024,"recruit's toolbox",0,"recruit's toolboxes",0,0,1,0,0,"A sturdy box filled with a set of pristine carpentry tools.","Recruit's Toolbox",21002,1,1,65563,3,83,85
2000025,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000026,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000027,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000028,"Azeyma rose",0,"Azeyma roses",0,1,1,0,0,"A single red Azeyma rose entrusted to you by Ethelred.","Azeyma Rose",25919,1,1,65562,3,83,85
2000029,"iron snaffle",0,"iron snaffles",0,1,1,0,0,"A small metal bit used in a set of chocobo reins. There appear to be several deep bite marks in the iron...","Iron Snaffle",21007,1,1,65568,3,83,85
2000030,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000031,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000032,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000033,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000034,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000035,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000036,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000037,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000038,"fire candy",0,"fire candies",0,0,1,0,0,"A spherical candy confected to shine like a fire crystal.","Fire Candy",22624,1,1,66704,3,83,85
2000039,"wind candy",0,"wind candies",0,0,1,0,0,"A spherical candy confected to shine like a wind crystal.","Wind Candy",22625,1,1,66704,3,83,85
2000040,"earth candy",0,"earth candies",0,1,1,0,0,"A spherical candy confected to shine like an earth crystal.","Earth Candy",22626,1,1,66704,3,83,85
2000041,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,5,66705,3,83,85
2000042,"warding lantern",0,"warding lantern",0,0,1,0,0,"A festive lantern carved from a pumpkin, used to ward off evil spirits during All Saints' Wake.","Warding Lantern",24153,1,1,66706,5,83,85
2000043,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,1,66706,3,83,85
2000044,"spooky sparkler",0,"spooky sparkler",0,0,1,0,0,"A handheld firework that unleashes a dazzling display of sparks.","Spooky Sparkler",22647,1,1,66706,3,83,85
2000045,"fire candy",0,"fire candies",0,0,1,0,0,"A spherical candy confected to shine like a fire crystal.","Fire Candy",22624,1,1,66700,3,83,85
2000046,"wind candy",0,"wind candies",0,0,1,0,0,"A spherical candy confected to shine like a wind crystal.","Wind Candy",22625,1,1,66700,3,83,85
2000047,"earth candy",0,"earth candies",0,1,1,0,0,"A spherical candy confected to shine like an earth crystal.","Earth Candy",22626,1,1,66700,3,83,85
2000048,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,5,66701,3,83,85
2000049,"warding lantern",0,"warding lantern",0,0,1,0,0,"A festive lantern carved from a pumpkin, used to ward off evil spirits during All Saints' Wake.","Warding Lantern",24153,1,1,66702,5,83,85
2000050,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,1,66702,3,83,85
2000051,"spooky sparkler",0,"spooky sparkler",0,0,1,0,0,"A handheld firework that unleashes a dazzling display of sparks.","Spooky Sparkler",22646,1,1,66702,3,83,85
2000052,"fire candy",0,"fire candies",0,0,1,0,0,"A spherical candy confected to shine like a fire crystal.","Fire Candy",22624,1,1,66708,3,83,85
2000053,"wind candy",0,"wind candies",0,0,1,0,0,"A spherical candy confected to shine like a wind crystal.","Wind Candy",22625,1,1,66708,3,83,85
2000054,"earth candy",0,"earth candies",0,1,1,0,0,"A spherical candy confected to shine like an earth crystal.","Earth Candy",22626,1,1,66708,3,83,85
2000055,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,5,66709,3,83,85
2000056,"warding lantern",0,"warding lantern",0,0,1,0,0,"A festive lantern carved from a pumpkin, used to ward off evil spirits during All Saints' Wake.","Warding Lantern",24153,1,1,66710,5,83,85
2000057,"bomb digit",0,"bomb digits",0,0,1,0,0,"The disembodied finger of a voidsent bomb.","Bomb Digit",30201,1,1,66710,3,83,85
2000058,"spooky sparkler",0,"spooky sparkler",0,0,1,0,0,"A handheld firework that unleashes a dazzling display of sparks.","Spooky Sparkler",22645,1,1,66710,3,83,85
2000059,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000060,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000061,"pot of amber unguent",0,"pots of amber unguent",0,0,1,0,0,"A sharply scented liquid entrusted to you by Master Gabineaux of Gabineaux's Bower.","Amber Unguent",20661,1,3,65663,3,83,85
