Index,0 [0x0][0x0],1 [0x6][0x4],2 [0x3][0x8],3 [0x3][0x9],4 [0x2][0xa]
0,"",0,0,0,0
1,"Arme principale",60102,0,0,0
2,"Outil principal de synthèse",60113,0,0,0
3,"Outil principal de récolte",60120,0,0,0
4,"Armure",60126,0,0,0
5,"Accessoire",60135,0,0,0
6,"Consommable",60136,0,0,0
7,"Matériau",60137,0,0,0
8,"Autre",60159,0,0,0
9,"Arme de pugiliste",60101,1,1,2
10,"Arme de gladiateur",60102,1,0,1
11,"Arme de maraudeur",60103,1,2,3
12,"Arme d'archer",60105,1,4,5
13,"Arme d'hast",60104,1,3,4
14,"Arme d'occultiste",60108,1,9,7
15,"Arme d'élémentaliste",60107,1,8,6
16,"Grimoire",60109,1,10,26
17,"Bouclier",60110,2,0,0
18,"Arme de jet",60111,0,0,0
19,"Outil de menuisier",60112,1,12,8
20,"Outil de forgeron",60113,1,13,9
21,"Outil d'armurier",60114,1,14,10
22,"Outil d'orfèvre",60115,1,15,11
23,"Outil de tanneur",60116,1,16,12
24,"Outil de couturier",60117,1,17,13
25,"Outil d'alchimiste",60118,1,18,14
26,"Outil de cuisinier",60119,1,19,15
27,"Outil de mineur",60120,1,20,16
28,"Outil de botaniste",60121,1,21,17
29,"Outil de pêcheur",60122,1,22,18
30,"Appât de pêche",60123,1,23,18
31,"Tête",60124,2,1,0
32,"Maillot",60125,0,0,0
33,"Torse",60126,2,2,0
34,"Sous-vêtement",60127,0,0,0
35,"Jambes",60128,2,3,0
36,"Mains",60129,2,4,0
37,"Pieds",60130,2,5,0
38,"Ceinture",60131,2,6,0
39,"Collier",60132,2,8,0
40,"Boucle d'oreille",60133,2,9,0
41,"Bracelet",60134,2,10,0
42,"Bague",60135,2,11,0
43,"Médicament",60136,3,0,0
44,"Ingrédient",60137,3,1,0
45,"Plat ou boisson",60146,3,2,0
46,"Produit de la pêche",60138,3,3,0
47,"Pierre",60139,3,4,0
48,"Métal",60140,3,5,0
49,"Bois",60141,3,6,0
50,"Tissu",60142,3,7,0
51,"Cuir",60143,3,8,0
52,"Os",60144,3,9,0
53,"Réactif",60145,3,10,0
54,"Teinture",60147,3,11,0
55,"Composant",60148,3,12,0
56,"Meuble",60164,4,3,0
57,"Matéria",60150,3,13,0
58,"Cristal",60151,3,14,0
59,"Catalyseur",60152,3,15,0
60,"Divers",60153,3,16,0
61,"Cristal de job",60157,0,0,0
62,"Flèche",60153,0,0,0
63,"Objet de quête",60158,0,0,0
64,"Autre",60159,0,0,0
65,"Élément extérieur",60160,4,0,0
66,"Élément intérieur",60161,4,1,0
67,"Meuble de jardin",60168,4,2,0
68,"Siège ou lit",60165,4,4,0
69,"Table",60162,4,5,0
70,"Mobilier de table",60163,4,6,0
71,"Mobilier mural",60166,4,7,0
72,"Tapis",60167,4,8,0
73,"Arme de surineur",60106,1,5,29
74,"Divers (événements)",60154,3,17,0
75,"Mascotte",60155,3,18,0
76,"Arme de chevalier noir",60170,1,6,32
77,"Arme de machiniste",60172,1,7,31
78,"Arme d'astromancien",60171,1,11,33
79,"Élément d'aéronef",60169,3,19,0
80,"",0,0,0,0
81,"",0,0,0,0
82,"",0,0,0,0
83,"",0,0,0,0
84,"",0,0,0,0
85,"",0,0,0,0
86,"",0,0,0,0
87,"",0,0,0,0
88,"",0,0,0,0
89,"",0,0,0,0
90,"",0,0,0,0
91,"",0,0,0,0
92,"",0,0,0,0
93,"",0,0,0,0
94,"",0,0,0,0
95,"",0,0,0,0
96,"",0,0,0,0
97,"",0,0,0,0
98,"",0,0,0,0
99,"",0,0,0,0
100,"",0,0,0,0
