Index,0 [0x7][0x4],1 [0x3][0xc],2 [0x7][0x8],3 [0x0][0x0],4 [0x19][0xd],5 [0x1a][0xd]
0,0,2,5728,"",false,true
1,14999504,2,5729,"Snow White",false,true
2,11315362,2,5730,"Ash Grey",false,true
3,9013124,2,5731,"Goobbue Grey",false,true
4,6645093,2,5732,"Slate Grey",false,true
5,4736834,2,5733,"Charcoal Grey",false,true
6,2828579,2,5734,"Soot Black",false,true
7,15114134,4,5735,"Rose Pink",false,true
8,8612201,4,5736,"Lilac Purple",false,true
9,5969705,4,5737,"Rolanberry Red",false,true
10,7871002,4,5738,"Dalamud Red",false,true
11,6431239,4,5739,"Rust Red",false,true
12,4527377,4,5740,"Wine Red",false,true
13,13397086,4,5741,"Coral Pink",false,true
14,9517863,4,5742,"Blood Red",false,true
15,14985866,4,5743,"Salmon Pink",false,true
16,12016685,5,5744,"Sunset Orange",false,true
17,8206598,5,5745,"Mesa Red",false,true
18,6966071,5,5746,"Bark Brown",false,true
19,7224612,5,5747,"Chocolate Brown",false,true
20,5188895,5,5748,"Russet Brown",false,true
21,3154203,5,5749,"Kobold Brown",false,true
22,13209942,5,5750,"Cork Brown",false,true
23,10055231,5,5751,"Qiqirn Brown",false,true
24,8084525,5,5752,"Opo-opo Brown",false,true
25,10651484,5,5753,"Aldgoat Brown",false,true
26,12940324,5,5754,"Pumpkin Orange",false,true
27,9328667,5,5755,"Acorn Brown",false,true
28,6570518,5,5756,"Orchard Brown",false,true
29,4008205,5,5757,"Chestnut Brown",false,true
30,12166281,5,5758,"Gobbiebag Brown",false,true
31,9601388,5,5759,"Shale Brown",false,true
32,6378053,5,5760,"Mole Brown",false,true
33,4141865,5,5761,"Loam Brown",false,true
34,15455136,6,5762,"Bone White",false,true
35,12034928,6,5763,"Ul Brown",false,true
36,14398551,6,5764,"Desert Yellow",false,true
37,16434731,6,5765,"Honey Yellow",false,true
38,14982708,6,5766,"Millioncorn Yellow",false,true
39,12355588,6,5767,"Coeurl Yellow",false,true
40,15914864,6,5768,"Cream Yellow",false,true
41,10847280,6,5769,"Halatali Yellow",false,true
42,4207377,6,5770,"Raisin Brown",false,true
43,5788208,7,5771,"Mud Green",false,true
44,12303242,7,5772,"Sylph Green",false,true
45,11251796,7,5773,"Lime Green",false,true
46,7369510,7,5774,"Moss Green",false,true
47,9149539,7,5775,"Meadow Green",false,true
48,4936242,7,5776,"Olive Green",false,true
49,3290657,7,5777,"Marsh Green",false,true
50,10204003,7,5778,"Apple Green",false,true
51,6652481,7,5779,"Cactuar Green",false,true
52,2640684,7,5780,"Hunter Green",false,true
53,4219705,7,5781,"Ochu Green",false,true
54,6255960,7,5782,"Adamantoise Green",false,true
55,3886396,7,5783,"Nophica Green",false,true
56,1976865,7,5784,"Deepwood Green",false,true
57,9878969,7,5785,"Celeste Green",false,true
58,4420210,7,5786,"Turquoise Green",false,true
59,2049606,7,5787,"Morbol Green",false,true
60,11715790,8,5788,"Ice Blue",false,true
61,8630482,8,5789,"Sky Blue",false,true
62,6586784,8,5790,"Seafog Blue",false,true
63,3893382,8,5791,"Peacock Blue",false,true
64,1850708,8,5792,"Rhotano Blue",false,true
65,9345964,8,5793,"Corpse Blue",false,true
66,5199718,8,5794,"Ceruleum Blue",false,true
67,3094609,8,5795,"Woad Blue",false,true
68,1711911,8,5796,"Ink Blue",false,true
69,5996480,8,5797,"Raptor Blue",false,true
70,3102857,8,5798,"Othard Blue",false,true
71,2310514,8,5799,"Storm Blue",false,true
72,1124676,8,5800,"Void Blue",false,true
73,2568295,8,5801,"Royal Blue",false,true
74,1579319,8,5802,"Midnight Blue",false,true
75,3618631,8,5803,"Shadow Blue",false,true
76,3222871,8,5804,"Abyssal Blue",false,true
77,8880046,9,5805,"Lavender Purple",false,true
78,5326176,9,5806,"Gloom Purple",false,true
79,3288123,9,5807,"Currant Purple",false,true
80,12033724,9,5808,"Iris Purple",false,true
81,3877437,9,5809,"Grape Purple",false,true
82,16699125,9,5810,"Lotus Pink",false,true
83,14457802,9,5811,"Colibri Pink",false,true
84,7950956,9,5812,"Plum Purple",false,true
85,6697038,9,5813,"Regal Purple",false,true
86,0,0,0,"",false,true
87,0,0,0,"",false,true
88,0,0,0,"",false,true
89,0,0,0,"",false,true
90,0,0,0,"",false,true
91,0,0,0,"",false,true
92,0,0,0,"",false,true
93,0,0,0,"",false,true
94,0,0,0,"",false,true
95,0,0,0,"",false,true
96,0,0,0,"",false,true
97,0,0,0,"",false,true
98,0,0,0,"",false,true
99,0,0,0,"",false,true
100,0,0,0,"",false,true
101,16382196,10,8732,"Pure White",false,true
102,1973790,10,8733,"Jet Black",false,true
103,16632006,10,8734,"Pastel Pink",false,true
104,3283225,0,8735,"Dark Red",false,true
105,2629916,0,8736,"Dark Brown",false,true
106,12242858,10,8737,"Pastel Green",false,true
107,1387564,0,8738,"Dark Green",false,true
108,9872601,10,8739,"Pastel Blue",false,true
109,1187629,0,8740,"Dark Blue",false,true
110,12301786,10,8741,"Pastel Purple",false,true
111,2301990,0,8742,"Dark Purple",false,true
112,10987431,10,8743,"Metallic Silver",true,false
113,15590973,10,8744,"Metallic Gold",true,false
114,11935051,10,8745,"Metallic Red",true,false
115,14978095,0,8746,"Metallic Orange",true,false
116,16046662,0,8747,"Metallic Yellow",true,false
117,2271063,10,8748,"Metallic Green",true,false
118,6214886,0,8749,"Metallic Sky Blue",true,false
119,5264089,10,8750,"Metallic Blue",true,false
120,10708674,0,8751,"Metallic Purple",true,false
