Index,0 [0x3][0x190],1 [0x6][0x0],2 [0x6][0x4],3 [0x6][0x8],4 [0x6][0xc],5 [0x6][0x10],6 [0x6][0x14],7 [0x6][0x18],8 [0x6][0x1c],9 [0x6][0x20],10 [0x6][0x24],11 [0x6][0x28],12 [0x6][0x2c],13 [0x6][0x30],14 [0x6][0x34],15 [0x6][0x38],16 [0x6][0x3c],17 [0x6][0x40],18 [0x6][0x44],19 [0x6][0x48],20 [0x6][0x4c],21 [0x6][0x50],22 [0x6][0x54],23 [0x6][0x58],24 [0x6][0x5c],25 [0x6][0x60],26 [0x6][0x64],27 [0x6][0x68],28 [0x6][0x6c],29 [0x6][0x70],30 [0x6][0x74],31 [0x6][0x78],32 [0x6][0x7c],33 [0x6][0x80],34 [0x6][0x84],35 [0x6][0x88],36 [0x6][0x8c],37 [0x6][0x90],38 [0x6][0x94],39 [0x6][0x98],40 [0x6][0x9c],41 [0x6][0xa0],42 [0x6][0xa4],43 [0x6][0xa8],44 [0x6][0xac],45 [0x6][0xb0],46 [0x6][0xb4],47 [0x6][0xb8],48 [0x6][0xbc],49 [0x6][0xc0],50 [0x6][0xc4],51 [0x6][0xc8],52 [0x6][0xcc],53 [0x6][0xd0],54 [0x6][0xd4],55 [0x6][0xd8],56 [0x6][0xdc],57 [0x6][0xe0],58 [0x6][0xe4],59 [0x6][0xe8],60 [0x6][0xec],61 [0x6][0xf0],62 [0x6][0xf4],63 [0x6][0xf8],64 [0x6][0xfc],65 [0x6][0x100],66 [0x6][0x104],67 [0x6][0x108],68 [0x6][0x10c],69 [0x6][0x110],70 [0x6][0x114],71 [0x6][0x118],72 [0x6][0x11c],73 [0x6][0x120],74 [0x6][0x124],75 [0x6][0x128],76 [0x6][0x12c],77 [0x6][0x130],78 [0x6][0x134],79 [0x6][0x138],80 [0x6][0x13c],81 [0x6][0x140],82 [0x6][0x144],83 [0x6][0x148],84 [0x6][0x14c],85 [0x6][0x150],86 [0x6][0x154],87 [0x6][0x158],88 [0x6][0x15c],89 [0x6][0x160],90 [0x6][0x164],91 [0x6][0x168],92 [0x6][0x16c],93 [0x6][0x170],94 [0x6][0x174],95 [0x6][0x178],96 [0x6][0x17c],97 [0x6][0x180],98 [0x6][0x184],99 [0x6][0x188],100 [0x6][0x18c]
0,9,75,1,2,3,4,5,6,73,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,7,71,44,61,67,63,68,217,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,1,74,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,6,58,48,55,51,70,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,2,49,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
5,7,7,8,9,11,12,76,297,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
6,9,41,219,293,56,43,57,77,37,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,5,52,47,46,45,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,4,50,72,39,62,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,27,53,65,64,40,13,14,15,16,18,42,60,59,292,294,266,268,277,278,279,280,281,267,387,320,285,298,290,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
