Index,0 [0x7][0x0],1 [0x7][0x4],2 [0x7][0x8],3 [0x7][0xc],4 [0x7][0x10]
0,0,0,0,0,0
1,420,420,6,8,8
2,688,688,12,16,16
3,1220,1220,18,23,23
4,1892,1892,23,31,31
5,2514,2514,29,39,39
6,3308,3308,35,46,46
7,3706,3706,41,54,54
8,3734,3734,46,62,62
9,4274,4274,52,69,69
10,5038,5038,58,77,77
11,5880,5880,64,85,85
12,6610,6610,69,92,92
13,7242,7242,75,100,100
14,7372,7372,81,108,108
15,8808,8808,87,115,115
16,9482,9482,92,123,123
17,10102,10102,98,131,131
18,10666,10666,104,138,138
19,11174,11174,110,146,146
20,12988,12988,115,154,154
21,13878,13878,121,161,161
22,14726,14726,127,169,169
23,15514,15514,133,177,177
24,16282,16282,138,184,184
25,18692,18692,144,192,192
26,20668,20668,150,200,200
27,22534,22534,156,207,207
28,24310,24310,161,215,215
29,26018,26018,167,223,223
30,28508,28508,173,230,230
31,29766,29766,179,238,238
32,31000,31000,184,246,246
33,32186,32186,190,253,253
34,33372,33372,196,261,261
35,37336,37336,202,269,269
36,38986,38986,207,276,276
37,40558,40558,213,284,284
38,42130,42130,219,292,292
39,43650,43650,225,299,299
40,48588,48588,230,307,307
41,49716,49716,236,315,315
42,50816,50816,242,322,322
43,51916,51916,248,330,330
44,52988,52988,253,338,338
45,57864,57864,259,345,345
46,60612,60612,265,353,353
47,63300,63300,271,361,361
48,65956,65956,276,368,368
49,68554,68554,282,376,376
50,103680,103680,288,575,575
51,127008,127008,294,587,587
52,152064,152064,299,598,598
53,186624,186624,305,610,610
54,224640,224640,311,621,621
55,266112,266112,317,633,633
56,311040,311040,322,644,644
57,359424,359424,328,656,656
58,411264,411264,334,667,667
59,466560,466560,340,679,679
60,513216,513216,345,690,690
61,0,0,351,0,0
62,0,0,357,0,0
63,0,0,363,0,0
64,0,0,368,0,0
65,0,0,374,0,0
66,0,0,380,0,0
67,0,0,386,0,0
68,0,0,391,0,0
69,0,0,397,0,0
70,0,0,403,0,0
71,0,0,409,0,0
72,0,0,414,0,0
73,0,0,420,0,0
74,0,0,426,0,0
75,0,0,432,0,0
76,0,0,437,0,0
77,0,0,443,0,0
78,0,0,449,0,0
79,0,0,455,0,0
80,0,0,460,0,0
81,0,0,466,0,0
82,0,0,472,0,0
83,0,0,478,0,0
84,0,0,483,0,0
85,0,0,489,0,0
86,0,0,495,0,0
87,0,0,501,0,0
88,0,0,506,0,0
89,0,0,512,0,0
90,0,0,518,0,0
91,0,0,524,0,0
92,0,0,529,0,0
93,0,0,535,0,0
94,0,0,541,0,0
95,0,0,547,0,0
96,0,0,552,0,0
97,0,0,558,0,0
98,0,0,564,0,0
99,0,0,570,0,0
100,0,0,575,0,0
101,0,0,581,0,0
102,0,0,587,0,0
103,0,0,593,0,0
104,0,0,598,0,0
105,0,0,604,0,0
106,0,0,610,0,0
107,0,0,616,0,0
108,0,0,621,0,0
109,0,0,627,0,0
110,0,0,633,0,0
111,0,0,639,0,0
112,0,0,644,0,0
113,0,0,650,0,0
114,0,0,656,0,0
115,0,0,662,0,0
116,0,0,667,0,0
117,0,0,673,0,0
118,0,0,679,0,0
119,0,0,685,0,0
120,0,0,690,0,0
121,0,0,696,0,0
122,0,0,702,0,0
123,0,0,708,0,0
124,0,0,713,0,0
125,0,0,719,0,0
126,0,0,725,0,0
127,0,0,731,0,0
128,0,0,736,0,0
129,0,0,742,0,0
130,0,0,748,0,0
131,0,0,754,0,0
132,0,0,759,0,0
133,0,0,765,0,0
134,0,0,771,0,0
135,0,0,777,0,0
136,0,0,782,0,0
137,0,0,788,0,0
138,0,0,794,0,0
139,0,0,800,0,0
140,0,0,805,0,0
141,0,0,811,0,0
142,0,0,817,0,0
143,0,0,823,0,0
144,0,0,828,0,0
145,0,0,834,0,0
146,0,0,840,0,0
147,0,0,846,0,0
148,0,0,851,0,0
149,0,0,857,0,0
150,0,0,863,0,0
151,0,0,869,0,0
152,0,0,874,0,0
153,0,0,880,0,0
154,0,0,886,0,0
155,0,0,892,0,0
156,0,0,897,0,0
157,0,0,903,0,0
158,0,0,909,0,0
159,0,0,915,0,0
160,0,0,920,0,0
161,0,0,926,0,0
162,0,0,932,0,0
163,0,0,938,0,0
164,0,0,943,0,0
165,0,0,949,0,0
166,0,0,955,0,0
167,0,0,961,0,0
168,0,0,966,0,0
169,0,0,972,0,0
170,0,0,978,0,0
171,0,0,984,0,0
172,0,0,989,0,0
173,0,0,995,0,0
174,0,0,1001,0,0
175,0,0,1007,0,0
176,0,0,1012,0,0
177,0,0,1018,0,0
178,0,0,1024,0,0
179,0,0,1030,0,0
180,0,0,1035,0,0
181,0,0,1041,0,0
182,0,0,1047,0,0
183,0,0,1053,0,0
184,0,0,1058,0,0
185,0,0,1064,0,0
186,0,0,1070,0,0
187,0,0,1076,0,0
188,0,0,1081,0,0
189,0,0,1087,0,0
190,0,0,1093,0,0
191,0,0,1099,0,0
192,0,0,1104,0,0
193,0,0,1110,0,0
194,0,0,1116,0,0
195,0,0,1122,0,0
196,0,0,1127,0,0
197,0,0,1133,0,0
198,0,0,1139,0,0
199,0,0,1145,0,0
200,0,0,1150,0,0
