Index,0 [0x5][0x0],1 [0x5][0x2],2 [0x5][0x4],3 [0x5][0x6],4 [0x5][0x8]
1000,0,0,0,0,0
1001,1,1,1,0,0
1002,1,1,16,0,0
1003,6,7,13,0,0
1004,1,1,13,0,0
1005,8,1,13,0,0
1006,9,9,13,0,0
1007,10,1,13,167,0
1008,11,1,13,0,0
1009,12,12,13,0,0
1010,24,1,13,0,0
1011,55,55,13,0,0
1012,57,1,13,0,0
1013,58,1,13,0,0
1014,59,59,13,0,0
1015,15,15,16,0,0
1016,42,42,16,0,0
1017,41,41,116,0,0
1018,122,122,116,0,0
1019,15,15,37,0,0
1020,25,26,33,0,0
1021,1,1,33,0,0
1022,27,1,33,0,0
1023,28,1,33,168,0
1024,29,1,33,0,0
1025,30,1,33,0,0
1026,31,31,33,0,0
1027,32,1,33,0,0
1028,55,55,33,0,0
1029,57,1,33,0,0
1030,58,1,33,0,0
1031,59,59,33,0,0
1032,35,35,16,0,0
1033,43,43,116,0,0
1034,123,123,116,0,0
1035,44,45,52,0,0
1036,1,1,52,0,0
1037,46,1,52,0,0
1038,47,1,52,169,0
1039,48,1,52,0,0
1040,49,49,52,0,0
1041,50,1,52,0,0
1042,51,1,52,0,0
1043,55,55,52,0,0
1044,57,57,52,0,0
1045,58,58,52,0,0
1046,59,59,52,0,0
1047,53,53,16,0,0
1048,54,54,16,0,0
1049,124,124,116,0,0
1050,125,125,116,0,0
1051,12,1,13,0,0
1052,63,63,13,0,0
1053,64,64,33,0,0
1054,65,65,52,0,0
1055,110,110,33,0,0
1056,111,111,33,0,0
1057,66,66,52,0,0
1058,87,88,99,0,0
1059,1,1,33,0,0
1060,1,1,52,0,0
1061,1,1,13,0,0
1062,1,1,144,0,0
1063,1,1,145,0,0
1064,118,118,33,0,0
1065,118,118,52,0,0
1066,118,118,13,0,0
1067,119,119,33,0,0
1068,51,1,33,0,0
1069,126,126,116,0,0
1070,127,127,116,0,0
1071,128,128,116,0,0
1072,1,1,144,0,0
1073,1,1,145,0,0
1074,60,1,145,0,0
1075,141,1,144,0,0
1076,134,134,134,0,0
1077,135,135,135,0,0
1078,136,136,136,0,0
1079,137,137,137,0,0
1080,138,138,138,0,0
1081,85,85,33,0,0
1082,165,165,165,0,0
1083,186,187,33,0,0
1084,142,142,144,0,0
1085,55,55,144,0,0
1086,59,59,144,0,0
1087,55,55,145,0,0
1088,59,59,145,0,0
1089,148,148,148,0,0
1090,143,143,144,0,0
1091,170,170,145,0,0
1092,130,130,130,0,0
1093,99,99,99,0,0
1094,183,184,145,0,0
1095,85,85,52,0,0
1096,83,83,52,0,0
1097,85,85,85,0,0
1098,83,83,33,0,0
1099,85,85,33,0,0
1100,25,174,33,0,0
1101,6,174,13,0,0
1102,44,174,52,0,0
1103,175,175,33,0,0
1104,175,175,13,0,0
1105,175,175,52,0,0
1106,85,85,33,0,0
1107,85,85,13,0,0
1108,85,85,52,0,0
1109,186,187,52,0,0
1110,186,187,13,0,0
1111,173,173,173,0,0
1112,188,188,13,0,0
1113,189,189,52,0,0
1114,66,66,145,0,0
1115,185,185,185,0,0
1116,118,118,145,0,0
1117,196,196,33,0,0
1118,196,196,13,0,0
1119,196,196,52,0,0
1120,197,197,197,0,0
1121,194,194,33,0,0
1122,195,195,33,0,0
1123,210,210,210,0,0
1124,213,213,33,0,0
1125,213,213,13,0,0
1126,213,213,52,0,0
1127,214,214,33,0,0
1128,214,214,13,0,0
1129,214,214,52,0,0
1130,215,215,13,0,0
1131,226,226,33,0,0
1132,226,226,13,0,0
1133,226,226,52,0,0
1134,174,174,174,0,0
1135,174,174,174,0,0
1136,174,174,174,0,0
1137,44,45,174,0,0
1138,229,229,33,0,0
1139,176,176,33,0,0
1140,176,176,13,0,0
1141,176,176,52,0,0
1142,4,4,4,0,0
1143,250,250,250,0,0
1144,94,94,145,0,0
1145,87,87,33,0,0
1146,87,87,13,0,0
1147,87,87,52,0,0
1148,275,276,281,0,0
1149,277,278,281,0,0
1150,279,280,281,0,0
1151,282,283,284,0,0
1152,285,286,287,0,0
1153,288,289,290,0,0
1154,291,292,293,0,0
1155,294,294,294,0,0
1156,273,273,281,0,0
1157,273,273,284,0,0
1158,274,274,284,0,0
1159,274,274,287,0,0
1160,274,274,290,0,0
1161,273,273,293,0,0
1162,274,274,293,0,0
1163,274,274,295,0,0
1164,66,66,281,0,0
1165,244,244,295,0,0
1166,320,320,281,0,0
1167,296,297,287,0,0
1168,298,298,287,0,0
1169,313,313,290,0,0
1170,270,270,284,0,0
1171,211,211,281,0,0
1172,305,305,305,0,0
1173,306,306,306,0,0
1174,307,307,307,0,0
1175,0,0,0,0,0
1176,0,0,0,0,0
1177,0,0,0,0,0
1178,0,0,0,0,0
1179,0,0,0,0,0
1180,0,0,0,0,0
