Index,0 [0x6][0x0],1 [0x6][0x4],2 [0x3][0x8],3 [0x3][0x9]
0,0,0,0,72
1,8844,8860,1,72
2,8845,8861,1,72
3,8846,8862,1,72
4,8847,8863,1,72
5,8848,8864,1,72
6,8849,8865,1,72
7,8850,8866,1,72
8,8851,8867,1,72
9,8852,8868,1,72
10,8853,8869,1,72
11,8854,8870,1,72
12,8855,8871,1,72
13,8856,8872,1,72
14,8857,8873,1,72
15,8858,8874,1,72
16,8859,8875,1,72
17,9653,9685,2,72
18,9654,9686,2,72
19,9655,9687,2,72
20,9656,9688,2,72
21,9657,9689,2,72
22,9658,9690,2,72
23,9659,9691,2,72
24,9660,9692,2,72
25,9661,9693,2,72
26,9662,9694,2,72
27,9663,9695,2,72
28,9664,9696,2,72
29,9665,9697,2,72
30,9666,9698,2,72
31,9667,9699,2,72
32,9668,9700,2,72
33,9669,9701,3,72
34,9670,9702,3,72
35,9671,9703,3,72
36,9672,9704,3,72
37,9673,9705,3,72
38,9674,9706,3,72
39,9675,9707,3,72
40,9676,9708,3,72
41,9677,9709,3,72
42,9678,9710,3,72
43,9679,9711,3,72
44,9680,9712,3,72
45,9681,9713,3,72
46,9682,9714,3,72
47,9683,9715,3,72
48,9684,9716,3,72
49,12214,12217,1,72
50,12215,12218,2,72
51,12216,12219,3,72
