Index,0 [0x0][0x0]
0,""
1,"Taux de récolte + <value>%"
2,"Taux de récolte x <value>"
3,"Taux de récolte <value>%"
4,"Objets de haut niveau + <value>%"
5,"Objets de haut niveau x <value>"
6,"Objets de haut niveau <value>%"
7,"Objets de niveau égal ou inférieur + <value>%"
8,"Objets de niveau égal ou inférieur x <value>"
9,"Objets de niveau égal ou inférieur <value>%"
10,"Taux de HQ + <value>%"
11,"Taux de HQ x <value>"
12,"Taux de HQ <value>%"
13,"Quantité + <value>"
14,"Quantité x <value>"
15,"Quantité <value>"
16,"Nombre de tentatives + <value>"
17,"Découverte d'objets cachés x <value>%"
