Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x2c],3 [0x5][0x2e],4 [0x5][0x30],5 [0x2][0x35],6 [0x3][0x32],7 [0x3][0x33],8 [0x7][0x8],9 [0x19][0x36],10 [0x3][0x34],11 [0x6][0xc],12 [0x6][0x10],13 [0x6][0x14],14 [0x6][0x18],15 [0x6][0x1c],16 [0x6][0x20],17 [0x6][0x24],18 [0x6][0x28]
100000,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100001,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1501,8,9,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
100002,"Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 70 %",240,247,1502,8,9,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100003,"Wiederherstellung","30 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1507,8,9,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100004,"Solide Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 125 %\nErfolgswahrscheinlichkeit: 80 %",240,247,1516,8,9,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100005,"Wiederherstellung II","60 Punkte der Belastbarkeit des Materials werden wiederhergestellt.",242,249,1520,8,9,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100006,"Zeichen des Winds","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 % (bei windbasiertem Rezept 200 %)\nErfolgswahrscheinlichkeit: 90 %",239,246,1509,8,33,37,0,false,6,100006,100006,100006,100006,100006,100006,100006,100006
100007,"Solide Bearbeitung","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1515,8,9,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100008,"Höhere Veredelung","Die Qualität wird erhöht, dafür sinkt die Belastbarkeit.\nEffizienz: 150 %\nErfolgswahrscheinlichkeit: 90 %",240,247,1517,8,9,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100009,"Byregots Benediktion","Die Qualität wird erhöht.\nEffizienz: 100 % (+ pro Status „Innere Ruhe“\nweitere 20 %, wobei „Innere Ruhe“ durch dieses Kommando beendet wird)\nErfolgswahrscheinlichkeit: 90 %",240,247,1521,8,33,50,0,false,24,100009,100009,100009,100009,100009,100009,100009,100009
100010,"Beobachten","Wartet für einen Arbeitsschritt ab.",242,249,1518,8,9,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100011,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100012,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100013,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100014,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100015,"Bearbeiten","Die Arbeit schreitet fort, dafür sinkt die Belastbarkeit.\nEffizienz: 100 %\nErfolgswahrscheinlichkeit: 90 %",239,246,1551,9,10,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
