Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x19][0x8]
0,"","",false
1,"the Insatiable","the Insatiable",false
2,"the True","the True",false
3,"Coeurlfist","Coeurlfist",true
4,"Ironeater","Ironeater",true
5,"of the Vengeful Lance","of the Vengeful Lance",false
6,"the Godsbow","the Godsbow",false
7,"the White","the White",false
8,"Starcaller","Starcaller",true
9,"Exterminator","Exterminator",true
10,"Notorious Monster Hunter","Notorious Monster Hunter",true
11,"Honest Adventurer","Honest Adventurer",true
12,"Scavenger","Scavenger",true
13,"Master Fighter","Master Fighter",true
14,"Master Sorcerer","Master Sorcerer",true
15,"Master Crafter","Master Crafter",true
16,"Master Gatherer","Master Gatherer",true
17,"of the Golden Saw","of the Golden Saw",false
18,"of the Golden Anvil","of the Golden Anvil",false
19,"of the Golden Hammer","of the Golden Hammer",false
20,"of the Golden Leaf","of the Golden Leaf",false
21,"of the Golden Hide","of the Golden Hide",false
22,"of the Golden Needle","of the Golden Needle",false
23,"of the Golden Lead","of the Golden Lead",false
24,"of the Golden Ladle","of the Golden Ladle",false
25,"La Noscea Digger","La Noscea Digger",true
26,"Shroud Digger","Shroud Digger",true
27,"Thanalan Digger","Thanalan Digger",true
28,"La Noscea Crusher","La Noscea Crusher",true
29,"Shroud Crusher","Shroud Crusher",true
30,"Thanalan Crusher","Thanalan Crusher",true
31,"La Noscea Logger","La Noscea Logger",true
32,"Shroud Logger","Shroud Logger",true
33,"Thanalan Logger","Thanalan Logger",true
34,"La Noscea Harvester","La Noscea Harvester",true
35,"Shroud Harvester","Shroud Harvester",true
36,"Thanalan Harvester","Thanalan Harvester",true
37,"La Noscea Angler","La Noscea Angler",true
38,"Shroud Angler","Shroud Angler",true
39,"Thanalan Angler","Thanalan Angler",true
40,"La Noscea Harpooner","La Noscea Harpooner",true
41,"Shroud Harpooner","Shroud Harpooner",true
42,"Thanalan Harpooner","Thanalan Harpooner",true
43,"Carrier of the Cauldron","Carrier of the Cauldron",true
44,"the Materia Master","the Materia Master",false
45,"Expert Fighter","Expert Fighter",true
46,"Expert Sorcerer","Expert Sorcerer",true
47,"Expert Crafter","Expert Crafter",true
48,"Expert Gatherer","Expert Gatherer",true
49,"the Helping Hand","the Helping Hand",false
50,"Veteran Mercenary","Veteran Mercenary",true
51,"Master Craftsman","Master Craftswoman",true
52,"Peacemaker","Peacemaker",true
53,"the Last Resort","the Last Resort",false
54,"Sword of La Noscea","Sword of La Noscea",true
55,"Sword of the Shroud","Sword of the Shroud",true
56,"Sword of Thanalan","Sword of Thanalan",true
57,"Sword of Eorzea","Sword of Eorzea",true
58,"Shield of La Noscea","Shield of La Noscea",true
59,"Shield of the Shroud","Shield of the Shroud",true
60,"Shield of Thanalan","Shield of Thanalan",true
61,"Shield of Eorzea","Shield of Eorzea",true
62,"Brother of the Broken Blade","Sister of the Broken Blade",true
63,"Shield of the Warden","Shield of the Warden",true
64,"Eye of the Hand","Eye of the Hand",true
65,"Hammer of Justice","Hammer of Justice",true
66,"the Tristar","the Tristar",false
67,"Inquisitor","Inquisitor",true
68,"Divine Crusher","Divine Crusher",true
69,"Stonesplitter","Stonesplitter",true
70,"A Kobold's Worst Nightmare","A Kobold's Worst Nightmare",false
71,"An Ixal's Worst Nightmare","An Ixal's Worst Nightmare",false
72,"An Amalj'aa's Worst Nightmare","An Amalj'aa's Worst Nightmare",false
73,"the Guardian of Aleport","the Guardian of Aleport",false
74,"the Guardian of Hyrstmill","the Guardian of Hyrstmill",false
75,"the Guardian of the Golden Bazaar","the Guardian of the Golden Bazaar",false
76,"the Wind of Aleport","the Wind of Aleport",false
77,"the Wind of Hyrstmill","the Wind of Hyrstmill",false
78,"the Wind of the Golden Bazaar","the Wind of the Golden Bazaar",false
79,"the Hand of Aleport","the Hand of Aleport",false
80,"the Hand of Hyrstmill","the Hand of Hyrstmill",false
81,"the Hand of the Golden Bazaar","the Hand of the Golden Bazaar",false
82,"Wild Thing","Wild Thing",true
83,"the Winter Dragon","the Winter Dragon",false
84,"Messenger of Love","Messenger of Love",true
85,"Royal Seneschal","Princess for a Day",true
86,"Egg Hunter","Egg Hunter",true
87,"ABU Honorary Member","ABU Honorary Member",true
88,"Crystal Bearer","Crystal Bearer",true
89,"Lominsan Hero","Lominsan Hero",true
90,"Gridanian Hero","Gridanian Hero",true
91,"Ul'dahn Hero","Ul'dahn Hero",true
92,"Lominsan Veteran","Lominsan Veteran",true
93,"Gridanian Veteran","Gridanian Veteran",true
94,"Ul'dahn Veteran","Ul'dahn Veteran",true
95,"Lominsan Carrier","Lominsan Carrier",true
96,"Gridanian Carrier","Gridanian Carrier",true
97,"Ul'dahn Carrier","Ul'dahn Carrier",true
98,"Lominsan Builder","Lominsan Builder",true
99,"Gridanian Builder","Gridanian Builder",true
100,"Ul'dahn Builder","Ul'dahn Builder",true
101,"the Featherfoot","the Featherfoot",false
102,"Caravan Driver","Caravan Driver",true
103,"Speedster","Speedster",false
104,"Chocobo Cavalier","Chocobo Cavalier",true
105,"Oschon's Saint","Oschon's Saint",true
106,"the Oeilvert","the Oeilvert",false
107,"Strategist","Strategist",false
108,"the Reaper","the Reaper",false
109,"Dungeon Explorer","Dungeon Explorer",true
110,"the Fates","the Fates",false
111,"ABU Mercenary","ABU Mercenary",true
112,"Lominsan Puppy","Lominsan Puppy",true
113,"Lominsan Howler","Lominsan Howler",true
114,"Lominsan Growler","Lominsan Growler",true
115,"Lominsan Hound","Lominsan Hound",true
116,"Lominsan Stalker","Lominsan Stalker",true
117,"Lominsan Chaser","Lominsan Chaser",true
118,"","",false
119,"","",false
120,"","",false
121,"","",false
122,"Gridanian Puppy","Gridanian Puppy",true
123,"Gridanian Howler","Gridanian Howler",true
124,"Gridanian Growler","Gridanian Growler",true
125,"Gridanian Hound","Gridanian Hound",true
126,"Gridanian Stalker","Gridanian Stalker",true
127,"Gridanian Chaser","Gridanian Chaser",true
128,"","",false
129,"","",false
130,"","",false
131,"","",false
132,"Ul'dahn Puppy","Ul'dahn Puppy",true
133,"Ul'dahn Howler","Ul'dahn Howler",true
134,"Ul'dahn Growler","Ul'dahn Growler",true
135,"Ul'dahn Hound","Ul'dahn Hound",true
136,"Ul'dahn Stalker","Ul'dahn Stalker",true
137,"Ul'dahn Chaser","Ul'dahn Chaser",true
138,"","",false
139,"","",false
140,"","",false
141,"","",false
142,"Ravenous Wolf","Ravenous Wolf",true
143,"Alpha Wolf","Alpha Wolf",true
144,"Heart of the Party","Heart of the Party",true
145,"Ashen Warrior","Ashen Warrior",true
146,"Sylph-Friend","Sylph-Friend",true
147,"Treasure Hunter","Treasure Hunter",true
148,"789th Order Champion","789th Order Champion",true
149,"Novv Clutchmate","Novv Clutchmate",true
150,"the Ambitious Angler","the Ambitious Angler",false
151,"White Knight","White Knight",true
152,"Bloody Warrior","Bloody Warrior",true
153,"of the Stalwart Shield","of the Stalwart Shield",false
154,"of the Stalwart Axe","of the Stalwart Axe",false
155,"Frontline Forerunner","Frontline Forerunner",true
156,"Lominsan Forerunner","Lominsan Forerunner",true
157,"Ul‘dahn Forerunner","Ul‘dahn Forerunner",true
158,"Gridanian Forerunner","Gridanian Forerunner",true
159,"Drone Sniper","Drone Sniper",true
160,"Heliodrome Hero","Heliodrome Hero",true
161,"Mob Hunter","Mob Hunter",true
162,"Mob Seeker","Mob Seeker",true
163,"Mob Tracker","Mob Tracker",true
164,"Bounty Hunter","Bounty Hunter",true
165,"Soldier of Fortune","Soldier of Fortune",true
166,"Captain of the Hunt","Captain of the Hunt",true
167,"Rafflesia Reaper","Rafflesia Reaper",true
168,"Melusine Mauler","Melusine Mauler",true
169,"the Avatar","the Avatar",false
170,"the Conqueror","the Conqueror",false
171,"the Disassembler","the Disassembler",false
172,"","",false
173,"Coffer Bearer","Coffer Bearer",true
