Index,0 [0x6][0x8],1 [0x6][0xc],2 [0x7][0x0],3 [0x7][0x4],4 [0x6][0x10]
0,0,0,1,0,0
1,0,0,1,0,0
2,1619,1,1,1060,2
3,1691,1,1,1060,2
4,1761,1,1,1060,2
5,1830,1,1,1060,2
6,1903,1,1,1060,2
7,2008,1,1,1060,2
8,2114,1,1,1060,2
9,2154,1,1,1060,2
10,9191,1,1,1060,2
11,1630,4,1,1770,2
12,1703,4,1,1770,2
13,1773,4,1,1770,2
14,1842,4,1,1770,2
15,1912,4,1,1770,2
16,2018,4,1,1770,2
17,2074,4,1,1770,2
18,2163,4,1,1770,2
19,9200,4,1,1770,2
20,10420,4,1,1770,2
21,10482,4,1,1770,2
22,10544,4,1,1770,2
23,1646,6,1,2970,2
24,1714,6,1,2970,2
25,1784,6,1,2970,2
26,1853,6,1,2970,2
27,1923,6,1,2970,2
28,2029,6,1,2970,2
29,2127,6,1,2970,2
30,2172,6,1,2970,2
31,9207,6,1,2970,2
32,10423,6,1,2970,2
33,10485,6,1,2970,2
34,10547,6,1,2970,2
35,1654,7,1,3530,2
36,1721,7,1,3530,2
37,1791,7,1,3530,2
38,1790,7,1,3530,2
39,1859,7,1,3530,2
40,1860,7,1,3530,2
41,1929,7,1,3530,2
42,2034,7,1,3530,2
43,2085,7,1,3530,2
44,2086,7,1,3530,2
45,2179,7,1,3530,2
46,9212,7,1,3530,2
47,10426,7,1,3530,2
48,10488,7,1,3530,2
49,10550,7,1,3530,2
50,1726,8,1,4200,2
51,1794,8,1,4200,2
52,1865,8,1,4200,2
53,1935,8,1,4200,2
54,2037,8,1,4200,2
55,2091,8,1,4200,2
56,2182,8,1,4200,2
57,9217,8,1,4200,2
58,10429,8,1,4200,2
59,10491,8,1,4200,2
60,10553,8,1,4200,2
61,1668,9,1,7040,2
62,1738,9,1,7040,2
63,1808,9,1,7040,2
64,1877,9,1,7040,2
65,1947,9,1,7040,2
66,1990,9,1,7040,2
67,2100,9,1,7040,2
68,2197,9,1,7040,2
69,2198,9,1,7040,2
70,9222,9,1,7040,2
71,10432,9,1,7040,2
72,10494,9,1,7040,2
73,10556,9,1,7040,2
74,2716,1,1,680,3
75,3048,1,1,1040,3
76,3566,1,1,660,3
77,3797,1,1,730,3
78,3073,2,1,1390,3
79,3072,2,1,1390,3
80,3815,2,1,970,3
81,3814,2,1,970,3
82,3816,2,1,970,3
83,3994,2,1,560,3
84,4437,2,1,540,3
85,2253,3,1,1520,3
86,3084,3,1,1470,3
87,3082,3,1,1470,3
88,3085,3,1,1470,3
89,3083,3,1,1470,3
90,3592,3,1,1050,3
91,3359,3,1,1080,3
92,3360,3,1,1080,3
93,4319,3,1,720,3
94,3593,3,1,1050,3
95,3591,3,1,1050,3
96,2761,4,1,1280,3
97,3113,4,1,1960,3
98,3114,4,1,1960,3
99,3112,4,1,1960,3
100,3375,4,1,1360,3
101,4123,4,1,1210,3
102,3393,5,1,1620,3
103,3392,5,1,1620,3
104,3391,5,1,1620,3
105,4027,5,1,1110,3
106,4229,5,1,1190,3
107,2266,6,1,2540,3
108,3633,6,1,1960,3
109,3635,6,1,1960,3
110,3634,6,1,1960,3
111,4128,6,1,1710,3
112,2275,7,1,3380,3
113,3156,7,1,3280,3
114,3155,7,1,3280,3
115,3154,7,1,3280,3
116,3876,7,1,2710,3
117,3877,7,1,2710,3
118,3875,7,1,2710,3
119,4355,7,1,1710,3
120,2283,8,1,4020,3
121,2284,8,1,4020,3
122,2843,8,1,2860,3
123,2842,8,1,2860,3
124,2845,8,1,2860,3
125,2844,8,1,2860,3
126,3437,8,1,3040,3
127,3436,8,1,3040,3
128,3438,8,1,3040,3
129,4252,8,1,2500,3
130,4490,8,1,1900,3
131,4491,8,1,1900,3
132,4495,8,1,2010,3
133,2917,9,1,4800,3
134,3246,9,1,7340,3
135,3703,9,1,4650,3
136,3924,9,1,5100,3
137,5594,1,5,60,1
138,5595,1,5,170,1
139,5596,1,5,350,1
140,4564,1,1,120,1
141,4566,1,1,290,1
142,7796,1,5,1000,1
143,6017,1,1,2000,1
144,5881,1,1,250,1
145,4568,2,1,1010,1
146,4567,2,1,1710,1
147,4632,3,1,1440,1
148,4633,3,1,1440,1
149,5597,4,5,690,1
150,5598,4,5,1150,1
151,10386,9,5,1725,1
152,6020,5,1,4000,1
153,4561,5,1,2850,1
154,6021,6,1,6000,1
155,4634,7,1,2300,1
156,4635,7,1,2300,1
157,4636,8,1,2730,1
158,6022,8,1,8000,1
159,6141,8,1,500,1
160,7060,8,1,1000,1
161,7059,8,1,1500,1
162,6526,8,1,5050,1
163,6553,8,1,6900,1
164,6538,8,1,8300,1
165,6556,8,1,6700,1
166,6545,8,1,9070,1
167,6662,8,1,1100,1
168,6656,8,1,4900,1
169,6470,8,1,6800,1
170,6151,9,10,200,1
171,6153,9,10,200,1
172,6154,9,10,200,1
173,5530,9,1,200,1
174,5531,9,1,200,1
175,5502,9,1,200,1
176,5501,9,1,200,1
177,5261,9,1,200,1
178,5119,9,1,200,1
179,5274,9,1,200,1
180,5532,9,1,200,1
181,7596,9,1,1500,1
182,7597,9,1,1500,1
183,7598,9,1,1500,1
184,7599,9,1,1500,1
185,7600,9,1,1500,1
186,7601,9,1,1500,1
187,7806,9,1,450,1
188,7602,9,10,300,1
189,7603,9,10,300,1
190,7604,9,10,300,1
191,7605,9,10,300,1
192,9367,9,1,2250,1
193,9368,9,1,2250,1
194,9370,9,1,2250,1
