Index,0 [0x3][0x10],1 [0x3][0x11],2 [0x6][0xc],3 [0x3][0x12],4 [0x0][0x0],5 [0x0][0x4],6 [0x0][0x8]
0,0,0,0,0,"","",""
1,0,0,150011,0,"","",""
2,0,0,150012,0,"","",""
3,0,0,0,0,"","",""
4,0,0,0,0,"","",""
5,1,1,150021,1,"Non-player characters (NPCs) offering quests can be recognized by the <color #FF7B1A>exclamation marks</color> above their heads. Right-click the mark to bring up the quest window.","Non-player characters (NPCs) offering quests can be recognized by the <color #FF7B1A>exclamation marks</color> above their heads. Right-click the mark to bring up the quest window.","Non-player characters (NPCs) offering quests can be recognized by the <color #FF7B1A>exclamation marks</color> above their heads. Right-click the mark to bring up the quest window."
6,1,1,150022,1,"Non-player characters (NPCs) offering quests can be recognized by the <color #FF7B1A>exclamation marks</color> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <color #FF7B1A>confirm</color> button.","Non-player characters (NPCs) offering quests can be recognized by the <color #FF7B1A>exclamation marks</color> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <color #FF7B1A>confirm</color> button.","Non-player characters (NPCs) offering quests can be recognized by the <color #FF7B1A>exclamation marks</color> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <color #FF7B1A>confirm</color> button."
7,0,0,0,0,"","",""
8,0,0,0,0,"","",""
9,0,0,0,0,"","",""
10,1,1,150121,0,"Once you've initiated a quest, a prompt will appear detailing its objectives and rewards. Click on the <color #FF7B1A>Accept</color> button in the lower left to add the quest to your list of current duties.","",""
11,1,1,150121,0,"Once you've initiated a quest, a prompt will appear detailing its objectives and rewards. Press the <color #FF7B1A>Accept</color> button in the lower left to add the quest to your list of current duties.","",""
12,0,0,0,0,"","",""
13,0,0,0,0,"","",""
14,0,0,0,0,"","",""
15,1,1,150811,1,"Complete a quest by right-clicking the NPC with a <color #FF7B1A>check mark</color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by right-clicking the NPC with a <color #FF7B1A>check mark</color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by right-clicking the NPC with a <color #FF7B1A>check mark</color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points."
16,1,1,150812,1,"Complete a quest by speaking to the NPC with a <color #FF7B1A>check mark</color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by speaking to the NPC with a <color #FF7B1A>check mark</color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by speaking to the NPC with a <color #FF7B1A>check mark</color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points."
17,0,0,0,0,"","",""
18,0,0,0,0,"","",""
19,0,0,0,0,"","",""
20,1,0,150141,0,"The <color #FF7B1A>main menu</color> grants quick and easy access to most of the game's main features. For example, selecting Character under <color #FF7B1A>Character</color> opens a window containing your character's various attributes and currently equipped gear. Selecting Journal under <color #FF7B1A>Duty</color> displays a list of current and completed quests and levequests.","",""
21,1,0,150142,0,"If you wish to customize the game's various settings, including <color #FF7B1A>key binding</color>, <color #FF7B1A>HUD layout</color>, and <color #FF7B1A>system configuration</color>, they all can be accessed via <color #FF7B1A>System</color>.\n\nSelect <color #FF7B1A>Active Help</color> to redisplay these tutorial messages.","",""
22,1,0,150143,0,"Game progress is saved automatically, so there are no in-game save or load functions. However, to prevent data from being lost or corrupted, it is strongly recommended that you end each playing session by selecting <color #FF7B1A>Log Out</color> or <color #FF7B1A>Exit Game</color> from the System menu.","",""
23,0,0,0,0,"","",""
24,0,0,0,0,"","",""
25,1,0,150131,0,"The spell <color #FF7B1A>Return</color> can be used to instantly travel back to the aetheryte set as your <color #FF7B1A>home point</color>. Casting the spell does not require any <color #FF7B1A>MP</color> and can be accessed by selecting Return under <color #FF7B1A>Travel</color> from the <color #FF7B1A>main menu</color>. The sole limitation of the spell is that it can only be cast once every <color #FF7B1A>15 minutes</color> (Earth time).","",""
26,1,0,150132,0,"Only one home point may be set at any time. To make an aetheryte your new home point, right-click on the crystal to bring up the aetheryte menu.","",""
27,1,0,150131,0,"The spell <color #FF7B1A>Return</color> can be used to instantly travel back to the aetheryte set as your <color #FF7B1A>home point</color>. Casting the spell does not require any <color #FF7B1A>MP</color> and can be accessed by selecting <color #FF7B1A>Return</color> under <color #FF7B1A>Travel</color> from the <color #FF7B1A>main menu</color>. The sole limitation of the spell is that it can only be cast once every <color #FF7B1A>15 minutes</color> (Earth time).","",""
28,1,0,150133,0,"Only one home point may be set at any time. To make an aetheryte your new home point, target and select the crystal to bring up the aetheryte menu.","",""
29,0,0,0,0,"","",""
