Index,0 [0x7][0xc],1 [0x0][0x8],2 [0x0][0x0],3 [0x0][0x4]
100,1,"@","【言葉】","コトバ."
101,1,"","定型文辞書を使ってください。","テイケイブンジショヲツカッテクダサイ。"
102,1,"","日本語","ニホンゴ"
103,1,"","英語","エイゴ"
104,1,"","フランス語","フランスゴ"
105,1,"","ドイツ語","ドイツゴ"
106,1,"","日本語は話せますか？","ニホンゴハハナセマスカ?"
107,1,"","英語は話せますか？","エイゴハハナセマスカ?"
108,1,"","フランス語は話せますか？","フランスゴハハナセマスカ?"
109,1,"","ドイツ語は話せますか？","ドイツゴハハナセマスカ?"
110,1,"","私は英語が話せません。","ワタシハエイゴガハナセマセン。"
111,1,"","私は日本語が話せません。","ワタシハニホンゴガハナセマセン。"
112,1,"","私はフランス語が話せません。","ワタシハフランスゴガハナセマセン。"
113,1,"","私はドイツ語が話せません。","ワタシハドイツゴガハナセマセン。"
114,1,"","聞いてください。","キイテクダサイ。"
115,1,"","聞こえていますか？","キコエテイマスカ?"
116,1,"","少し話せます。","スコシハナセマス。"
117,1,"","少しなら理解できます。","スコシナラリカイデキマス。"
118,1,"","簡単な単語で話してください。","カンタンナタンゴデハナシテクダサイ。"
119,1,"","省略形ではなくフルスペルでお願いします。","ショウリャクケイデハナクフルスペルデオネガイシマス。"
120,1,"","返事するのでちょっと待ってください。","ヘンジスルノデチョットマッテクダサイ。"
121,1,"","母国語は何ですか？","ボコクゴハナンデスカ?"
200,2,"@","【あいさつ】","アイサツ."
201,2,"","はじめまして。","ハジメマシテ。"
202,2,"","おはよう。","オハヨウ。"
203,2,"","こんにちは。","コンニチハ。"
204,2,"","こんばんは。","コンバンハ。"
205,2,"","おやすみなさい。","オヤスミナサイ。"
206,2,"","さようなら。","サヨウナラ。"
207,2,"","今日は楽しかったです。","キョウハタノシカッタデス。"
208,2,"","また会いましょう！","マタアイマショウ!"
209,2,"","また遊びましょう。","マタアソビマショウ。"
210,2,"","ただいま。","タダイマ。"
211,2,"","おかえり。","オカエリ。"
212,2,"","おめでとう！","オメデトウ!"
213,2,"","よくやった！","ヨクヤッタ!"
214,2,"","がんばって！","ガンバッテ!"
215,2,"","やったー！","ヤッター!"
216,2,"","ありがとう。","アリガトウ。"
217,2,"","どういたしまして。","ドウイタシマシテ。"
218,2,"","気を付けてください。","キヲツケテクダサイ。"
219,2,"","ごめんなさい。","ゴメンナサイ。"
220,2,"","許してください。","ユルシテクダサイ。"
221,2,"","残念です。","ザンネンデス。"
