Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8]
0,"Hotbar 1","Hotbar1","hot1"
1,"Hotbar 2","Hotbar2","hot2"
2,"Hotbar 3","Hotbar3","hot3"
3,"Hotbar 4","Hotbar4","hot4"
4,"Hotbar 5","Hotbar5","hot5"
5,"Hotbar 6","Hotbar6","hot6"
6,"Hotbar 7","Hotbar7","hot7"
7,"Hotbar 8","Hotbar8","hot8"
8,"Hotbar 9","Hotbar9","hot9"
9,"Hotbar 10","Hotbar10","hot10"
10,"Pet Hotbar","PetHotbar","phot"
11,"Cross Hotbar","CrossHotbar","chot"
12,"Progress Bar","ProgressBar","pbar"
13,"Target Bar","TargetBar","tbar"
14,"Focus Target Bar","FocusTarget","ftarget"
15,"Party List","PartyList","plist"
16,"Enemy List","EnemyList","elist"
17,"Parameter Bar","ParamBar","param"
18,"Notices","Notices","notice"
19,"Minimap","Minimap","mmap"
20,"Main Menu","MainMenu","mmenu"
21,"Server Info","ServerInfo","server"
22,"Gil","Gil","gil"
23,"Inventory Grid","InventoryGrid","igrid"
24,"Duty List","DutyList","dlist"
25,"Item Help","ItemHelp","ihelp"
26,"Action Help","ActionHelp","ahelp"
27,"Limit Gauge","LimitGauge","lgauge"
28,"Experience Bar","ExpBar","ebar"
29,"Status Effects","StatusEffects","sfx"
30,"Alliance List 1","AllianceList1","alist1"
31,"Alliance List 2","AllianceList2","alist2"
32,"Duty List","DutyList","dlist"
33,"Timers","Timers","timers"
34,"Combo Bar","ComboBar","cbar"
35,"Subtarget","Subtarget","starget"
36,"<nil>","",""
37,"Active Help","ActiveHelp","help"
38,"","",""
39,"","",""
40,"","",""
