Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x3][0xc],3 [0x3][0xd],4 [0x3][0xe],5 [0x6][0x8]
0,"","",0,0,0,0
1,"ルーレット","ルールをランダムで決定する。",0,0,0,0
2,"オールオープン","お互いに全ての手札を公開してプレイする。",3,0,0,1000
3,"スリーオープン","お互いにランダムに選ばれた手札3枚を公開してプレイする。",2,0,0,1166
4,"セイム","配置するカードの2辺以上が、隣接カードと同じ数値であれば隣接カードを支配できる。",0,0,0,666
5,"サドンデス","対戦結果がドローの場合、それぞれが支配したカードでデッキを構成して再戦する。",0,0,0,1333
6,"プラス","配置するカードの2辺以上と、隣接カードの数値の和が等しい場合、隣接カードを支配できる。",0,0,0,666
7,"ランダムハンド","お互いに、カードリストに登録済みの全カードからランダムに選ばれた5枚のカードで対戦する。",0,0,0,1000
8,"オーダー","お互いに、デッキにセットした順番でカードを使いプレイする。",9,0,0,1666
9,"カオス","お互いに、ランダムに決められた順番でカードを使いプレイする。",8,0,0,1433
10,"リバース","カードの強さが逆転する。",0,0,0,1000
11,"エースキラー","Aを1で支配できる。リバース適用時は1をAで支配できる。",0,0,0,666
12,"タイプアセンド","タイプを有するカードが、場に置かれた同タイプのカードの枚数分強くなる。",13,0,0,1000
13,"タイプディセンド","タイプを有するカードが、場に置かれた同タイプのカードの枚数分弱くなる。",12,0,0,1000
14,"スワップ","お互いのデッキからランダムで選ばれた1枚を、相手と交換してプレイする。",0,0,0,1666
