Index,0 [0x19][0x9],1 [0x3][0x8],2 [0x0][0x0],3 [0x7][0x4]
0,false,0,"",0
1,false,0,"プロデューサー",61531
2,false,0,"ゲームマスター",61524
3,false,0,"ゲームマスター",61532
4,false,0,"ゲームマスター",61533
5,false,0,"通信途絶状態",61503
6,true,1,"仮登録（フレンドリスト）",61501
7,true,2,"仮登録（リンクシェル）",61501
8,true,3,"仮登録（フリーカンパニー）",61501
9,true,4,"存在しない",61502
10,true,5,"オフライン",61504
11,true,6,"取り込み中（Busy）",61509
12,true,7,"コンテンツ中（PvP）",61510
13,true,8,"カード対戦中",61539
14,true,9,"イベント中",61508
15,true,11,"チョコボポーター騎乗中",61534
16,true,12,"離席",61511
17,true,13,"修理希望",61512
18,true,14,"修理請負い",61513
19,true,15,"マテリア装着請負中",61514
20,true,16,"パーティ希望",61515
21,true,17,"傭兵希望",61516
22,true,18,"コンテンツファインダー参加申請中",61517
23,true,19,"パーティ募集中",61536
24,true,26,"ビギナー",61523
25,true,20,"アライアンスリーダー",61518
26,true,21,"パーティリーダー（アライアンス）",61519
27,true,22,"パーティメンバー（アライアンス）",61520
28,true,23,"パーティリーダー",61521
29,true,24,"パーティメンバー",61522
30,true,25,"コンテンツ中（クロスワールド）",61535
31,false,0,"コンテンツ中（同じコンテンツ）",61506
32,false,0,"コンテンツ中（同じコンテンツの他グループ）",61507
33,true,10,"コンテンツ中",61510
34,true,28,"試遊プレイヤー",61525
35,false,0,"フリーカンパニー",0
36,false,0,"グランドカンパニー",0
37,true,27,"オンライン",61505
