Index,0 [0x0][0x0],1 [0x3][0x4],2 [0x3][0x5],3 [0x3][0x6],4 [0x3][0x7],5 [0x2][0x8]
0,"",0,0,0,0,-1
1,"Die Freie Gesellschaft wurde gegründet.",0,0,0,1,0
2,"Der Rang der Freien Gesellschaft ist auf <value> gestiegen!",0,0,1,1,0
3,"Das Verhältnis zum Mahlstrom hat sich zu „<ref:FCReputation>“ verbessert!",1,0,1,1,5
4,"Das Verhältnis zur Bruderschaft der Morgenviper hat sich zu „<ref:FCReputation>“ verbessert!",1,0,1,1,6
5,"Das Verhältnis zur Legion der Unsterblichen hat sich zu „<ref:FCReputation>“ verbessert!",1,0,1,1,7
6,"Du hast Befugnisse über den Bereich „<ref:FCRights>“ erhalten!",0,0,1,1,0
7,"<2b?:0xff, 0x46, 0x2> <if:bist/ist> der Gesellschaft beigetreten.",4,0,0,2,1
8,"<2b?:0xff, 0x46, 0x2> <if:bist/ist> der Gesellschaft beigetreten.",4,0,0,2,1
9,"<2b?:0xff, 0x46, 0x2> <if:bist/ist> aus der Gesellschaft ausgetreten.",4,0,0,2,2
10,"<2b?:0xff, 0x46, 0x2> <if:bist/ist> aus der Gesellschaft geworfen worden.",4,0,0,2,2
11,"<if:Dein Rang wurde/Der Rang von <if:<switch:>/<if:<?0x32>>> wurde> zu „<if:<ref:ObjStr>>“ geändert.",4,5,0,2,3
12,"<if:Dein Rang wurde/Der Rang von <if:<switch:>/<if:<?0x32>>> wurde> zu „<if:<ref:ObjStr>>“ geändert.",4,5,0,2,3
13,"<if:Dein Rang wurde/Der Rang von <if:<switch:>/<if:<?0x32>>> wurde> zu „<if:<ref:ObjStr>>“ geändert.",4,5,0,2,3
14,"Die Gesellschaft ist nun mit dem Mahlstrom affiliiert.",0,1,0,1,5
15,"Die Gesellschaft ist nun mit der Bruderschaft der Morgenviper affiliiert.",0,1,0,1,6
16,"Die Gesellschaft ist nun mit der Legion der Unsterblichen affiliiert.",0,1,0,1,7
