Index,0 [0x6][0xc],1 [0x3][0x24],2 [0x5][0x20],3 [0x5][0x22],4 [0x6][0x10],5 [0x6][0x14],6 [0x6][0x18],7 [0x0][0x0],8 [0x0][0x4],9 [0x0][0x8],10 [0x6][0x1c],11 [0x19][0x25]
2162688,4876856,22,800,1159,27,81501,81001,"Barrakuda-Pier","Zu Füßen dieses Händlers liegen drei Kriegsschiffe. Mit ihren leuchtend roten Segeln verkörpern sie die geballte Kampfkraft der Meeresmetropole.","So stolze Schiffe wie die Triumph, Flaggschiff der Kriegsflotte des Mahlstroms und Stolz von Limsa Lominsa, liegen hier vor Anker. Nicht für jedermann zugänglich, aber umso malerischer.",81451,true
2162689,4876859,22,1800,459,27,81502,81002,"Die Astalicia","Frei wie ein Freibeuter! Mit einem kräftigen Schluck gestärkt ist auch der ungebärdigste Kontrahent auf See nur ein kleines Blättchen im Ozean - doch Hochmut kommt vor dem Fall. Vielleicht schon am nächsten Morgen.","Die Galeone der berüchtigten „Henkershorde“. Obgleich als Handelsschiff von Übersee getarnt, ist es ein offenes Geheimnis, dass dies Hyllfyrs Hauptquartier und Treffpunkt von Piraten aller Lager ist. ",81451,true
2162690,4876905,58,500,759,30,81503,81003,"Monument in der Klagegrotte","Das tägliche Ritual des Fischers vor der ersten Ausfahrt im kühlen Dämmerlicht der Höhle - ein stilles Gedenken an die verunglückten Kameraden, die begleitet vom Widerhall der Wassertropfen in das Requiem der Seeleute einzustimmen scheinen.","Ich bin die Welle, die mich auf dem Rücken trägt, ich bin der Wind, der Gischt auf alle Wellen schlägt. Ich bin die tausend Sterne hoch am Firmament, das Morgenrot, dem Meer geboren, bis es mich im Tod umfängt.",81451,true
2162691,4876907,22,1200,1659,30,81504,81004,"Himmelszug","Das Verladen der Waren ist Knochenarbeit. In einer kleinen Pause lässt der Arbeiter gerne die Gedanken schweifen - in die Ferne, vorbei an den Lastenballons im blauen Himmel, bis an den Horizont und weiter, immer weiter.","Der durch die Siebte Katastrophe aufgebrochene „Abstieg“ teilt La Noscea quer von Norden nach Süden. Ohne den Lastenheber des Himmelszugs wäre die gigantische Felswand für schwere Lasten kaum zu überwinden.",81451,true
2162692,4876912,22,800,1159,30,81505,81005,"La Thagran-Landstraße","Ein Wachsoldat in einem kurzen Moment der Muße. Gerade wenn der graue Himmel aufs Gemüt drückt, soll man sich hohe Ziele für den Tag stecken. Der Blick auf die alte Straße ruft die enorme Leistung der Pioniere in Erinnerung, die diese Route einst erschlossen.","Diese Fernstraße vom zentralen ins östliche La Noscea ist nach dem früheren Seefahrer Guy La Thagran benannt, der in der Siedlerzeit gemeinsam mit seinem Kameraden Jean De Nevelle Vylbrand erforschte und vermaß.",81451,true
2162693,4876920,22,1800,459,31,81508,81008,"Salzstrand","Ein Fischer hat unter dem Schutz Oschons, des Wanderers, noch immer seine Leine ausgeworfen. Zu seinen Füßen erstreckt sich die bizarre Salzwüste, die an die große Tragödie vor fünf Jahren gemahnt.","Dalamud-Fragmente durchtrennten hier beim Einschlag große Äther-Adern, wodurch denaturierte Kristalle entstanden, die mit dem Meerwasser reagierten und mannigfaltige Salzformationen entstehen ließen.",81451,true
2162694,4876921,22,500,759,31,81509,81009,"Felder der Gockelburg","Der frühe Morgen ist des Feldarbeiters Mittag. Von oberhalb des Tores die geheimnisvoll verschleierten Felder zu überblicken, erfrischt den Geist und die Glieder wie nichts anderes.","Die Gockelburg ist ein Versuchsbauernhof, der sich der Veredelung von Feldfrüchten und der Dodo- und Schafzucht verschrieben hat. Der Name stammt von den Hahnenkämpfen, die wie Ritterturniere aufgezogen wurden.",81451,true
2162695,4876926,22,500,759,33,81513,81013,"Leuchtturm Braubake","Azurblauer Himmel, tiefblaues Meer: Das ist die majestätische Kulisse, die sich dem Wärter darbietet, sobald die Arbeit getan und das Leuchtfeuer gelöscht ist. Sind die Schiffe sicher vorüber, gibt es nichts Schöneres als ein Bier vor diesem atemberaubenden Ausblick.","Braubake - der Name deutet die Zugehörigkeit zu Bierhafen an - wurde nach dem Einsturz des Tölpelturms errichtet. Von hoch oben blickt man auf die Wellenbrecher, die die Küste vor Flutwellen schützen.",81451,true
2162696,4868036,22,1200,1659,51,81552,81052,"Gerbergilde","Von diesem hohen Beobachtungsposten aus hatte der Gerber als Kind das Tun in der Werkstatt bestens im Blick. Besonders stimmungsvoll fand er es hier, wenn sich draußen der Himmel mit Wolken zuzog.","Die gridanischen Gerber verarbeiten mit hoher Kunstfertigkeit die Materialien, die der Wald ihnen bietet, und verkaufen ihre Waren im Atelier Fen-Yll. Für die beliebtesten Stücke gibt es Wartelisten, so groß ist der Andrang.",81452,true
2162697,4876928,22,1800,459,51,81553,81053,"Apkallu-Fälle","Manchmal, wenn er eigentlich im Bett sein müsste, stiehlt sich der Dreikäsehoch aus dem Haus, rennt den geheimen Weg entlang und betrachtet den Wasserfall von oben, wo kein Erwachsener sich je hinaufbegeben würde.","Der beschauliche Wasserfall hat seinen Namen von den ersten Siedlern, die hier Apkallu-Vögel züchteten. Der Ort ist dafür bekannt, dass der Weise Louisoix sich gerne zum Nachdenken hierher zurückzog.",81452,true
2162698,4877070,52,1200,1659,54,81555,81055,"Gut Zwieselgrund","Die Züchterin, mit der ich mich unterhielt, macht es richtig: Wenn die Sonne auf den Mogry-Ballon scheint, setzt sie sich an diesen einladenden Ort und genießt ihre Mittagspause.","In dem überregional bekannten Gestüt „Mogry-Stolz“ zieht ein aus Ishgard stammender Züchter zuverlässige Arbeits-Chocobos groß. Markenzeichen des Guts ist der auffällige Mogry-Ballon.",81452,true
2162699,4877071,58,800,1159,55,81560,81060,"Dom der Einkehr","Wenn sich das strahlende Sonnenlicht im Wasser spiegelt, weiß die Gärtnerin, warum sie diesen Beruf gewählt hat: Nirgends fühlt sie sich wohler als in ihrem Blumengarten. Dafür dankt sie den Göttern.","Nach dem Zeitalter des langen Eises baute die von Hunger geplagte Bevölkerung diesen Dom, um die Zwölf um Beistand zu bitten. Auch nach der Siebten Katastrophe beten die Gläubigen hier zu ihren Göttern.",81452,true
2162700,4877072,22,1800,459,55,81561,81061,"Sylphen-Zuflucht","Hoch oben auf der Wipfelplattform fühlt sich der Forscher fast wie eine fliegende Sylphe. Besonders hübsch ist es hier am Abend, wenn die Lichter der Hütten den Wald erhellen.","Hier ließen sich die Sylphen nieder, die sich der Beschwörung des Primae Ramuh widersetzen. Mit ihrer Magie verwandeln sie die Pflanzen des Waldes zu sehenswerten hängenden Behausungen.",81452,true
2162701,4877073,31,500,759,39,81601,81101,"Herrscherpromenade","Nach ihrer anstrengenden Nachtschicht stellen die Palastwachen sich auf eine der drei silbernen Platten, grüßen ihre Ablösung mit einem Salut, erhaschen über sich noch einen Blick auf den morgenroten Himmel und eilen dann zu ihren Zimmern in der Herberge.","Der Zugang zu Ul'dahs Regierungsviertel wird von der Palastwache streng bewacht. Einst warteten die treuen Anhänger des Sultanats hier geduldig auf Audienz, heute flaniert der Geldadel über die Promenade.",81453,true
2162702,4877074,22,1200,1659,39,81602,81102,"Platz der Sultana","Wer den geizigen Ul'dahnern als Straßenkünstler ein paar Gil entlocken möchte, muss auffallen. Auf dem Podest vor der östlichen Laterne an diesem kühlen Platz haben Publikum und Künstler sich immer gut im Blick.","Die kühlen Mauern und der Springbrunnen dieses Treppenaufgangs im Herzen Ul'dahs laden besonders in der Mittagshitze zum Verweilen ein. Zur Blütezeit des Sultanats wurden hier höfische Tänze aufgeführt.",81453,true
2162703,4877077,22,1800,459,42,81603,81103,"Ul'dah","Von der Spitze des Baugerüsts an Nophicas Brunnen bietet sich Abenteurern ein imposanter Anblick. Inmitten der Wüste glänzt die Perle der Wüste mit den Sternen am Nachthimmel um die Wette.","Das ul'dhische Handelszentrum ist konzentrisch um die kuppelförmige Zitadelle angelegt. Die hohen Mauern und Türme der Stadt, die von Myriaden bunter Fenster und Mosaike geziert werden, sind malmenweit zu sehen und flößen Ehrfurcht ein.",81453,true
2162704,4877078,22,800,1159,43,81606,81106,"Sil'dih-Ruinen","Als eine Abenteurerin einst in dichtem Nebel vom Wege abkam und einen Steilhang hinunterrutschte, fand sie sich unerwartet vor den Ruinen der verlorenen Stadt wieder. Vor Schreck wäre ihr fast das Herz in die Hose gerutscht.","Vor 400 Jahren wurde die Sultansstadt Sil'dih im „Krieg der Schwestern“ von Ul'dah vernichtet und fast vollständig vom Sand verschluckt. Das heutige Ul'dah steht teilweise auf ihren Ruinen.",81453,true
2162705,4877079,9,1700,1759,44,81609,81109,"Versteinerte Goobbue","Der Regen, der den trockenen Wüstenboden benetzt, lässt bunte Blumen sprießen. Fast scheint es, als wollten sie der versteinerten Gestalt, die hier ihre letzte Ruhestätte gefunden hat, Trost spenden.","Der Geist eines sil'dhischen Sultans oder doch garleisches Kriegsgerät? Um den einsamen Giganten ranken sich viele Mythen. Vermutlich floh die Goobbue während einer Katastrophe aus Coerthas und starb nach dem langen Marsch durch den Finsterwald erschöpft in Thanalan.",81453,true
2162706,4877081,22,800,1159,44,81610,81110,"Die Unsichtbare Stadt","Nach siegreichem Kampf ließ ein Abenteurer sich auf den Trümmern einer Stadt nieder. Als er aufblickte, ragte unter dem wolkenverhangenen Himmel ihr Gesicht hervor und war nicht länger unsichtbar.","Die Wucht des Aufpralls von Dalamud-Bruchstücken auf den Feuerwall legte auch diese prächtige Ruine frei. Forschern zufolge könnte es sich bei ihr um das Grab von Lalafuto I. handeln, einem belah'dischen Sultan.",81453,true
2162707,4877082,58,500,759,44,81611,81111,"Hohenbrück","Händler auf dem Weg von Thanalan zum Finsterwald rasten gerne an dieser Brücke. Der Blick auf die gewaltigen Könige im roten Licht der Morgensonne ist die Übernachtung in der Tat mehr als wert.","Eine gewaltige Steinbrücke verbindet Thanalan mit dem Finsterwald. Die Orchideenkompanie der Messingklingen wacht über den Handelsplatz, der auch Basis für die Erforschung der Unsichtbaren Stadt ist.",81453,true
2162708,4877083,22,1200,1659,30,81506,81006,"Flüsterklamm","Geheimtipp unter den Feldarbeitern: Nicht etwa eine Taverne, sondern hier sei der beste Ort, um sich - allein oder in geselliger Runde - eine Erfrischung zu gönnen. Die Dunstschleier schirmen die Hitze selbst an heißen Sommertagen ab.","Vom in O'Ghomoro entspringenden Nym ins karge Gestein eingeschnitten entstand diese Schlucht mit ihren zahlreichen Wasserfällen, nachdem die Katastrophe den Fluss in neue Bahnen gezwungen hatte. Eine kühle Zuflucht vor der glühenden Sommerhitze.",81451,false
2162709,4877084,22,500,759,30,81507,81007,"Sommerfurt-Höfe","Wie man ehemalige Piraten von ehrbaren Arbeitern unterscheidet? Ein Honigwein, und alle Manieren sind vergessen! Da sollte man die Lage lieber von Anfang an aus sicherer Höhe beobachten: von der Lampe aus.","Im Zuge der Besiedlungspolitik Merlwybs erschlossen und nun von ehemaligen Piraten und erfahrenen Bauern (zumeist) in Eintracht bestellt. Prächtige La Noscea-Orangen zeugen von der Fruchtbarkeit des Bodens.",81451,false
