Index,0 [0x3][0x10],1 [0x3][0x11],2 [0x6][0xc],3 [0x3][0x12],4 [0x0][0x0],5 [0x0][0x4],6 [0x0][0x8]
0,0,0,0,0,"","",""
1,0,0,150011,0,"","",""
2,0,0,150012,0,"","",""
3,0,0,0,0,"","",""
4,0,0,0,0,"","",""
5,1,1,150021,1,"NPCs, die Aufträge anbieten, erkennt man an den <color #FF7B1A>Ausrufezeichen</color> über ihren Köpfen. Mache einen Rechtsklick auf das Zeichen, um das Auftragsfenster zu öffnen.","NPCs, die Aufträge anbieten, erkennt man an den <color #FF7B1A>Ausrufezeichen</color> über ihren Köpfen. Mache einen Rechtsklick auf das Zeichen, um das Auftragsfenster zu öffnen.","NPCs, die Aufträge anbieten, erkennt man an den <color #FF7B1A>Ausrufezeichen</color> über ihren Köpfen. Mache einen Rechtsklick auf das Zeichen, um das Auftragsfenster zu öffnen."
6,1,1,150022,1,"NPCs, die Aufträge anbieten, erkennt man an den <color #FF7B1A>Ausrufezeichen</color> über ihren Köpfen. Um das Auftragsfenster zu öffnen, sprich mit dem NPC, indem du ihn zunächst anvisierst und dann die Taste zum <color #FF7B1A>Bestätigen</color> drückst.","NPCs, die Aufträge anbieten, erkennt man an den <color #FF7B1A>Ausrufezeichen</color> über ihren Köpfen. Um das Auftragsfenster zu öffnen, sprich mit dem NPC, indem du ihn zunächst anvisierst und dann die Taste zum <color #FF7B1A>Bestätigen</color> drückst.","NPCs, die Aufträge anbieten, erkennt man an den <color #FF7B1A>Ausrufezeichen</color> über ihren Köpfen. Um das Auftragsfenster zu öffnen, sprich mit dem NPC, indem du ihn zunächst anvisierst und dann die Taste zum <color #FF7B1A>Bestätigen</color> drückst."
7,0,0,0,0,"","",""
8,0,0,0,0,"","",""
9,0,0,0,0,"","",""
10,1,1,150121,0,"Wenn du im Begriff bist, einen Auftrag zu beginnen, erscheint ein Fenster mit einer kurzen Einleitung und der Vergütung, die du erwarten darfst. Mit <color #FF7B1A>Annehmen</color> fügst du den Auftrag deiner Aufgabenliste am rechten Bildschirmrand hinzu.","",""
11,1,1,150121,0,"Wenn du im Begriff bist, einen Auftrag zu beginnen, erscheint ein Fenster mit einer kurzen Einleitung und der Vergütung, die du erwarten darfst. Mit <color #FF7B1A>Annehmen</color> fügst du den Auftrag deiner Aufgabenliste am rechten Bildschirmrand hinzu.","",""
12,0,0,0,0,"","",""
13,0,0,0,0,"","",""
14,0,0,0,0,"","",""
15,1,1,150811,1,"Schließe einen Auftrag durch einen Rechtsklick auf einen NPC mit einem <color #FF7B1A>Häkchen</color> über dem Kopf ab. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen.","Schließe einen Auftrag durch einen Rechtsklick auf einen NPC mit einem <color #FF7B1A>Häkchen</color> über dem Kopf ab. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen.","Schließe einen Auftrag durch einen Rechtsklick auf einen NPC mit einem <color #FF7B1A>Häkchen</color> über dem Kopf ab. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen."
16,1,1,150812,1,"Schließe einen Auftrag ab, indem du mit einem NPC mit einem <color #FF7B1A>Häkchen</color> über dem Kopf sprichst. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen.","Schließe einen Auftrag ab, indem du mit einem NPC mit einem <color #FF7B1A>Häkchen</color> über dem Kopf sprichst. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen.","Schließe einen Auftrag ab, indem du mit einem NPC mit einem <color #FF7B1A>Häkchen</color> über dem Kopf sprichst. Für das Abschließen eines Auftrags erhältst du Routine, Gil und andere Vergütungen."
17,0,0,0,0,"","",""
18,0,0,0,0,"","",""
19,0,0,0,0,"","",""
20,1,0,150141,0,"Das <color #FF7B1A>Hauptmenü</color> gewährt dir einen direkten Zugriff auf die wichtigsten Funktionen des Spiels. Wenn du <color #FF7B1A>Charakter</color> auswählst, öffnet sich ein Fenster mit den Attributen und der Ausrüstung deines Charakters. Über <color #FF7B1A>Archiv</color> gelangst du zu einer Liste mit Aufträgen und Freibriefen.","",""
21,1,0,150142,0,"Falls du die zahlreichen Einstellungen des Spiels einschließlich <color #FF7B1A>Tastenbelegung</color>, <color #FF7B1A>Layout</color> und <color #FF7B1A>Konfiguration</color> anpassen möchtest, kannst du über das <color #FF7B1A>Systemmenü</color> auf diese Optionen zugreifen.\nUm Tutorialtexte nochmals zu lesen, wähle im Systemmenü <color #FF7B1A>Tutorial-Hilfstexte</color> aus.","",""
