Index,0 [0x5][0x8],1 [0x3][0x12],2 [0x3][0x13],3 [0x3][0x14],4 [0x9][0x0],5 [0x5][0xa],6 [0x5][0xc],7 [0x5][0xe],8 [0x5][0x10],9 [0x3][0x15],10 [0x6][0x4],11 [0x3][0x16],12 [0x19][0x17],13 [0x1a][0x17],14 [0x1b][0x17]
0,0,4,0,0,1.0,0,0,0,0,0,0,0,true,true,true
1,0,4,0,0,1.0,0,2,366,0,0,0,0,true,true,true
2,0,4,0,0,1.0,96,0,0,0,0,851976,0,true,true,true
3,0,4,0,0,1.2,61,0,0,0,0,852023,0,true,true,true
4,0,4,0,0,1.3,62,0,0,0,0,852053,0,true,true,true
5,0,4,0,0,1.2,31,0,0,0,0,851987,0,true,true,true
6,0,4,0,0,1.2,32,0,0,0,0,851994,0,true,true,true
7,0,4,0,0,2.0,53,0,0,0,0,851997,0,true,true,true
8,0,4,0,0,2.0,54,0,0,0,0,852174,0,true,true,true
9,0,4,0,0,1.0,20,0,0,0,0,851984,0,true,true,true
10,0,4,0,0,1.5,21,0,0,0,0,851978,0,true,true,true
11,0,4,0,0,2.0,22,0,0,0,0,852199,0,true,true,true
12,0,4,0,0,1.5,39,0,0,0,0,851973,0,true,true,true
13,0,4,0,0,1.5,40,0,0,0,0,852137,0,true,true,true
14,0,4,0,0,0.9,46,0,0,0,0,851969,0,true,true,true
15,0,4,0,0,1.2,44,0,0,0,0,851995,0,true,true,true
16,0,4,0,0,1.2,45,0,0,0,0,851972,0,true,true,true
17,0,4,0,0,2.0,100,0,0,0,0,851971,0,true,true,true
18,0,4,0,0,1.0,0,81,462,0,0,851985,0,true,true,true
19,0,4,0,0,1.0,0,82,463,0,0,852075,0,true,true,true
20,0,4,0,0,1.5,17,0,416,0,0,851992,0,true,true,true
21,0,4,0,0,1.5,63,0,0,0,0,852040,0,true,true,true
22,0,4,0,0,2.0,48,0,0,0,0,851983,0,true,true,true
23,0,4,0,0,2.0,49,0,0,0,0,852024,0,true,true,true
24,0,4,0,0,1.0,104,0,0,0,0,852044,0,true,true,true
25,0,4,0,0,1.0,106,0,0,0,0,0,0,true,true,true
26,0,4,0,0,1.5,126,0,0,0,0,852030,0,true,true,true
27,0,4,0,0,1.5,127,0,0,0,0,852157,0,true,true,true
28,0,4,0,0,1.5,69,0,0,0,0,852074,0,true,true,true
29,0,4,0,0,1.5,125,0,422,0,0,852658,0,true,true,true
30,0,4,0,0,2.0,81,0,0,0,0,852147,0,true,true,true
31,0,4,0,0,1.0,71,0,418,0,0,0,0,true,true,true
32,0,4,0,0,0.5,35,0,0,0,0,851988,0,true,true,true
33,0,4,0,0,1.0,34,0,0,0,0,852026,0,true,true,true
34,0,4,0,0,1.0,94,0,0,0,0,0,0,true,true,true
35,0,4,0,0,1.5,89,0,656,0,0,0,0,true,true,true
36,0,4,0,0,2.0,56,0,0,0,0,0,0,true,true,true
37,0,4,0,0,2.0,25,0,0,0,0,851975,0,true,true,true
38,0,4,0,0,2.0,98,0,0,0,0,852021,0,true,true,true
39,0,4,0,0,2.0,50,0,0,0,0,851979,0,true,true,true
40,0,4,0,0,2.0,51,0,0,0,0,852108,0,true,true,true
41,0,4,0,0,1.0,59,0,0,0,0,852025,0,true,true,true
42,0,4,0,0,1.2,75,0,0,0,0,852032,0,true,true,true
43,0,4,0,0,2.0,36,0,0,0,0,851977,0,true,true,true
44,0,4,0,0,2.0,37,0,0,0,0,852022,0,true,true,true
45,0,4,0,0,1.0,79,0,0,0,0,851989,0,true,true,true
46,0,4,0,0,1.0,80,0,0,0,0,852155,0,true,true,true
47,0,4,0,0,1.5,28,0,0,0,0,851970,0,true,true,true
48,0,4,0,0,1.5,29,0,0,0,0,852140,0,true,true,true
49,0,4,0,0,2.0,57,0,0,0,0,851993,0,true,true,true
50,0,4,0,0,1.5,121,0,422,0,0,0,0,true,true,true
51,0,4,0,0,1.5,121,0,422,0,0,0,0,true,true,true
52,0,4,0,0,1.0,6,0,319,0,0,852000,0,true,true,true
53,0,4,0,0,1.0,97,0,0,0,0,852465,0,true,true,true
54,0,4,0,0,1.0,0,2,366,0,0,0,0,true,true,true
55,0,4,0,0,1.0,0,36,379,0,0,852104,0,true,true,true
56,0,4,0,0,1.0,0,36,379,0,0,0,0,true,true,true
57,0,4,0,0,1.0,60,0,0,0,0,851974,0,true,true,true
58,0,4,0,0,1.0,233,0,0,0,0,852195,0,true,true,true
59,0,4,0,0,1.0,385,0,0,0,0,852046,0,true,true,true
60,0,4,0,0,1.1,0,36,379,0,0,0,0,true,true,true
61,0,4,0,0,1.0,0,37,380,0,0,852107,0,true,true,true
62,0,4,0,0,1.0,0,38,381,0,0,852105,0,true,true,true
63,0,4,0,0,1.0,0,39,382,0,0,852156,0,true,true,true
64,0,4,0,0,1.0,0,41,384,0,0,852106,0,true,true,true
65,0,4,0,0,2.0,131,0,0,0,0,0,0,true,true,true
66,0,4,0,0,1.5,201,0,0,0,0,0,0,true,true,true
67,0,4,0,0,1.0,7,0,320,0,0,0,0,true,true,true
68,0,4,0,0,1.0,7,0,321,0,0,852937,0,true,true,true
69,0,4,0,0,1.0,7,0,322,0,0,0,0,true,true,true
70,0,4,0,0,1.0,7,0,323,0,0,0,0,true,true,true
71,0,4,0,0,1.0,7,0,324,0,0,0,0,true,true,true
72,0,4,0,0,1.0,7,0,325,0,0,852394,0,true,true,true
73,0,4,0,0,1.0,7,0,326,0,0,0,0,true,true,true
74,0,4,0,0,1.5,7,0,327,0,0,0,0,true,true,true
75,0,4,0,0,2.0,121,0,422,0,0,0,0,true,true,true
76,0,4,0,2,1.5,71,0,418,0,0,0,0,true,true,true
77,0,4,0,0,1.0,94,0,0,0,0,0,0,true,true,true
78,0,4,0,0,1.5,35,0,0,0,0,0,0,true,true,true
79,0,4,0,0,1.0,0,10,376,0,0,852338,0,true,true,true
80,0,4,0,0,1.0,0,11,377,0,0,852500,0,true,true,true
81,0,4,0,0,1.0,0,12,378,0,0,852038,0,true,true,true
82,0,4,0,0,1.1,0,13,373,0,0,0,0,true,true,true
83,0,4,0,0,1.1,0,14,373,0,0,0,0,true,true,true
84,0,4,0,0,1.0,0,16,366,0,0,852135,0,true,true,true
85,0,4,0,0,1.2,0,17,474,0,0,0,0,true,true,true
86,0,4,0,0,1.0,0,18,369,0,0,852355,0,true,true,true
87,0,4,0,0,1.0,0,19,370,0,0,852354,0,true,true,true
88,0,4,0,0,1.0,0,20,371,0,0,0,0,true,true,true
89,0,4,0,0,1.2,0,21,411,0,0,0,0,true,true,true
90,0,4,0,0,1.1,0,22,412,0,0,0,0,true,true,true
91,0,4,0,0,1.0,0,23,413,0,0,0,0,true,true,true
