Index,0 [0x0][0x0],1 [0x2][0x14],2 [0x0][0x4],3 [0x2][0x15],4 [0x2][0x16],5 [0x2][0x17],6 [0x2][0x18],7 [0x2][0x19],8 [0x0][0x8],9 [0x0][0xc],10 [0x0][0x10],11 [0x5][0x24],12 [0x3][0x30],13 [0x3][0x31],14 [0x3][0x32],15 [0x3][0x33],16 [0x3][0x34],17 [0x3][0x35],18 [0x3][0x36],19 [0x3][0x37],20 [0x3][0x38],21 [0x19][0x40],22 [0x1a][0x40],23 [0x1b][0x40],24 [0x1c][0x40],25 [0x5][0x26],26 [0x1d][0x40],27 [0x1e][0x40],28 [0x5][0x28],29 [0x5][0x2a],30 [0x1f][0x40],31 [0x3][0x39],32 [0x3][0x3a],33 [0x5][0x2c],34 [0x3][0x3b],35 [0x3][0x3c],36 [0x3][0x3d],37 [0x20][0x40],38 [0x19][0x41],39 [0x1a][0x41],40 [0x1b][0x41],41 [0x1c][0x41],42 [0x3][0x3e],43 [0x5][0x2e],44 [0x3][0x3f],45 [0x0][0x1c],46 [0x0][0x20]
0,"",0,"",0,0,1,0,0,"","","",0,100,0,0,0,0,0,0,8,0,false,false,false,false,0,false,true,0,0,false,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
1,"bombino",0,"bombini",0,0,1,0,0,"Vous appelez votre mascotte bombino, un bombo miniature créé par la fusion occulte d'énergies éthérées et ombrales. Garanti sans explosion ou remboursé.","Un bébé bombo mis au monde artificiellement par une technique d'alchimie de pointe. Cette entité de gaz venue du Néant engloutit avec délectation charbon, céruleum et cristaux de feu. Garanti sans explosion ou remboursé.","Tchik tchik tchik...",427,100,30,0,0,0,2,0,8,1,true,true,false,false,0,false,true,4503,3,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
2,"pantin P001",0,"pantins P001",0,0,1,0,0,"Vous appelez votre mascotte pantin P001, une marionnette mécanique fabriquée conjointement par les guildes des alchimistes et des orfèvres.","La guilde des orfèvres a sollicité l'aide de celle des alchimistes pour développer cet automate magique destiné au grand public. Le modèle P001 propose des fonctions de base et a été décliné en divers sous-modèles spécialisés.","Dzi-zz... Dz-zz-zi! Tout neuf, tout beau!",419,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4501,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
3,"bébé chocobo",0,"bébés chocobos",0,0,1,0,0,"Vous appelez votre mascotte bébé chocobo, un jeune chocobo qui vous prend pour sa mère.","Ce minuscule chocobo trottine à bonne allure. Encore tout jeune, il vous prend pour sa mère et vous suit partout. S'il conserve sa coquille sur lui après éclosion, c'est parce qu'il a voulu imiter votre armure.","Kwéééé!",423,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4502,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
4,"poupée Cait Sith",0,"poupées Cait Sith",0,0,1,1,0,"Vous appelez votre mascotte poupée Cait Sith, un pantin créé sur le modèle du célèbre félin. Sa queue lui permet de rester toujours en équilibre sur ses pattes arrières.","Le chat du folklore hyurois est représenté ici sous la forme d'un automate. Serendipity, maître de la guilde des orfèvres, a conçu cette poupée mécanique à l'intention des orphelins du Fléau, lui donnant un toucher de peluche."," ...    ",430,100,30,0,0,0,1,0,8,0,false,false,false,false,0,false,true,4504,201,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
5,"bébéhémoth",0,"bébéhémoths",0,0,1,0,0,"Vous appelez votre mascotte bébéhémoth. Étonnamment adorable, ce petit béhémoth grogne comme un marcassin. Il faut espérer que sa mère ne viendra pas le chercher...","Vendu par un marchand uldien comme progéniture de la célèbre créature, ce petit animal violet grogne comme un marcassin et possède une crinière noire et des cornes saillantes. Vous aimeriez voir à quoi ressemblent ses parents...","Gruic gruiiic!",428,100,30,0,0,0,2,0,8,5,true,true,false,true,0,false,true,4505,5,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
6,"pantin P003L",0,"pantins P003L",0,0,1,0,0,"Vous appelez votre mascotte pantin P003L, un automate conçu spécialement pour amuser les unités du Maelstrom lors de leurs moments perdus.","Un pantin officiel du Maelstrom. Programmé pour servir de porte-drapeau lors des parades officielles, il arbore la bannière de la compagnie avec zèle. Mais sa petite taille affecte fortement sa visibilité.","Longue vie à l'Amirale! Dzz!",420,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4506,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
7,"pantin P003G",0,"pantin s P003G",0,0,1,0,0,"Vous appelez votre mascotte pantin P003G, un automate conçu spécialement pour amuser les unités de l'Ordre des deux vipères lors de leurs moments perdus.","Un pantin officiel de l'Ordre des deux vipères. Programmé pour servir de porte-drapeau lors des parades officielles, il arbore la bannière de la compagnie avec zèle. Mais sa petite taille affecte fortement sa visibilité.","Longue vie à notre Oracle! Dzz!",421,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4507,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
8,"pantin P003U",0,"pantins P003U",0,0,1,0,0,"Vous appelez votre mascotte pantin P003U, un automate conçu spécialement pour amuser les unités des Immortels lors de leurs moments perdus.","Un pantin officiel des Immortels. Programmé pour servir de porte-drapeau lors des parades officielles, il arbore la bannière de la compagnie avec zèle. Mais sa petite taille affecte fortement sa visibilité.","Longue vie au Général! Dzz!",422,100,30,0,0,0,1,0,8,2,false,false,false,false,0,false,true,4508,200,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
9,"bébé chocobo du Maelstrom",0,"bébés chocobos du Maelstrom",0,0,1,0,0,"Vous appelez votre mascotte bébé chocobo du Maelstrom, un jeune chocobo qui trotte à bonne allure et semble dévoué à sa grande compagnie.","Ce poussin a juré fidélité au Maelstrom. C'est une unité de nettoyage de la compagnie qui l'a un beau jour trouvé près de l'écurie. Il est depuis devenu une sorte de mascotte, mais a demandé à rejoindre la légion des aventuriers.","Kwé kwé!",424,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4509,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
10,"bébé chocobo de l'Ordre",0,"bébés chocobos de l'Ordre",0,0,1,0,0,"Vous appelez votre mascotte bébé chocobo de l'Ordre, un jeune chocobo qui trotte à bonne allure et semble dévoué à sa grande compagnie.","Ce poussin a juré fidélité à l'Ordre. C'est une unité de nettoyage de la compagnie qui l'a un beau jour trouvé près de l'écurie. Il est depuis devenu une sorte de mascotte, mais a demandé à rejoindre la légion des aventuriers.","Kwé kwé!",425,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4510,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
11,"bébé chocobo des Immortels",0,"bébés chocobos des Immortels",0,0,1,0,0,"Vous appelez votre mascotte bébé chocobo des Immortels, un jeune chocobo qui trotte à bonne allure et semble dévoué à sa grande compagnie.","Ce poussin a juré fidélité aux Immortels. C'est une unité de nettoyage de la compagnie qui l'a un beau jour trouvé près de l'écurie. Il est depuis devenu une sorte de mascotte, mais a demandé à rejoindre la légion des aventuriers.","Kwé kwé!",426,100,30,0,30,0,2,0,8,3,true,true,false,true,0,false,true,4511,1,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
12,"bulbe de morbol",0,"bulbes de morbol",0,0,1,0,0,"Vous appelez votre mascotte bulbe de morbol. Un bulbe du monstre végétal dont l'odeur rappelle celle de vieilles bottes d'aventuriers aguerris.","Ce jeune morbol a été capturé dans le Val d'aurum. Son haleine rappelle l'odeur de vieilles bottes d'aventurier. Cette puanteur ayant pour effet de couper l'appétit, certains Uldiens aisés s'en servent pour combattre l'obésité.","Mwoam mwoam",429,100,30,0,0,0,2,0,8,6,true,true,false,false,0,false,true,4512,6,true,0,10,100,100,100,3,false,false,false,false,false,0,0,20,"",""
