Index,0 [0x0][0x0],1 [0x2][0x8],2 [0x0][0x4],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd]
0,"",0,"",0,0,1,0,0
1,"",0,"",0,0,0,0,0
2,"coursier des ruines",0,"coursiers des ruines",0,0,1,0,0
3,"antilope biche",0,"antilopes biche",0,1,1,1,0
4,"antilope cerf",0,"antilopes cerf",0,1,1,1,0
5,"opo-opo",0,"opo-opo",0,1,1,0,0
6,"lémur",0,"lémurs",0,0,1,0,0
7,"taon géant",0,"taons géants",0,0,1,0,0
8,"pou volant",0,"poux volants",0,0,1,0,0
9,"petit acarus",0,"petits acari",0,0,1,0,0
10,"acarus",0,"acari",0,1,1,0,0
11,"sarcopte",0,"sarcoptes",0,0,1,0,0
12,"vautour",0,"vautours",0,0,1,0,0
13,"busard",0,"busards",0,0,1,0,0
14,"goret sauvage",0,"gorets sauvages",0,0,1,0,0
15,"verrat sauvage",0,"verrats sauvages",0,0,1,0,0
16,"sanglier sauvage",0,"sangliers sauvages",0,0,1,0,0
17,"ballon",0,"ballons",0,0,1,0,0
18,"zombi",0,"zombis",0,0,1,0,0
19,"mage zombi",0,"mages zombis",0,0,1,0,0
20,"squelette maudit",0,"squelettes maudits",0,0,1,0,0
21,"imp",0,"imps",0,1,1,0,0
22,"roselette",0,"roselettes",0,0,1,1,0
23,"piège-pou",0,"piège-poux",0,0,1,0,0
24,"tréant",0,"tréants",0,0,1,0,0
25,"dryade",0,"dryades",0,0,1,1,0
26,"crapaud géant",0,"crapauds géants",0,0,1,0,0
27,"nix",0,"nix",0,0,1,0,0
28,"jeune coeurl",0,"jeunes coeurls",0,0,1,0,0
29,"dullahan",0,"dullahans",0,0,1,0,0
30,"golem d'argile",0,"golems d'argile",0,0,1,0,0
31,"flagelleur mental",0,"flagelleurs mentaux",0,0,1,0,0
32,"microtyugh",0,"microtyughs",0,0,1,0,0
33,"otyugh",0,"otyughs",0,1,1,0,0
34,"adamankhélone",0,"adamankhélones",0,1,1,1,0
35,"tomberry",0,"tomberrys",0,0,1,0,0
36,"hanneton",0,"hannetons",0,0,1,0,0
37,"écureuil",0,"écureuils",0,1,1,0,0
38,"chauve-souris noire",0,"chauves-souris noires",0,0,1,1,0
39,"limace arboricole",0,"limaces arboricoles",0,0,1,1,0
40,"arion de Sombrelinceul",0,"arions de Sombrelinceul",0,1,1,0,0
41,"nuée de syrphes",0,"nuées de syrphes",0,0,1,1,0
42,"yarzon",0,"yarzons",0,0,1,0,0
43,"chigoe",0,"chigoes",0,0,1,0,0
44,"djigga sautilleur",0,"djiggas sautilleurs",0,0,1,0,0
