Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x2][0x8],3 [0x2][0x9],4 [0x2][0xa],5 [0x2][0xb],6 [0x2][0xc],7 [0x2][0xd],8 [0x2][0xe],9 [0x2][0xf]
0,"","",0,0,0,0,0,0,0,0
1,"ミッドランダー ","ミッドランダー ",0,0,1,0,-1,1,-2,1
2,"ハイランダー","ハイランダー",0,0,3,2,0,-2,0,-3
3,"フォレスター","フォレスター",0,0,-1,-2,3,2,-3,1
4,"シェーダー","シェーダー",0,0,0,-1,0,3,0,-2
5,"プレーンフォーク","プレーンフォーク",0,0,-2,-2,2,1,0,1
6,"デューンフォーク","デューンフォーク",0,0,-3,-3,0,1,2,3
7,"サンシーカー","サンシーカー",0,0,1,0,2,-2,-1,0
8,"ムーンキーパー","ムーンキーパー",0,0,-2,-3,1,-1,3,2
9,"ゼーヴォルフ","ゼーヴォルフ",0,0,2,3,-2,-3,1,-1
10,"ローエンガルデ","ローエンガルデ",0,0,0,1,-3,0,2,0
11,"アウラ・レン","アウラ・レン",0,0,-3,-2,1,0,2,2
12,"アウラ・ゼラ","アウラ・ゼラ",0,0,3,1,0,0,-3,-1
