Index,0 [0x5][0x4],1 [0x5][0x6],2 [0x3][0x8],3 [0x19][0x9],4 [0x0][0x0]
0,0,0,0,false,""
1,57,1,0,false,"Vous invitez <if:vous/<if:<?0x33>/<if:<if:d'/de><value>/<if:<ref:Attributive><value>/<ref:Attributive><value>>>>> dans l'équipe."
2,57,1,0,false,"L'invitation dans l'équipe envoyée par <if:vous/<if:<?0x33>/<if:<if:d'/de><value>/<if:<ref:Attributive><value>/<ref:Attributive><value>>>>> est annulée."
3,57,33,0,false,"<2b?:0xff, 0x8c, 0x2> <if:invitez/vous invite> dans <if:votre/son> équipe."
4,57,1,0,false,"Vous quittez l'équipe."
5,57,1,0,false,"L'équipe est dissoute."
6,0,0,0,false,""
7,0,0,0,false,""
8,57,1,0,false,"<2b?:0xff, 0x8c, 0x2> est ajouté<if:<if:BNpcName/e/none>/<if:e/none>> à la liste noire."
9,57,1,0,false,"<2b?:0xff, 0x8c, 0x2> est retiré<if:<if:BNpcName/e/none>/<if:e/none>> de la liste noire."
10,57,33,0,false,"Vous envoyez une requête d'ami à <if:vous/<if:<?0x33>/<if:<if:d'/de><value>/<if:<ref:Attributive><value>/<ref:Attributive><value>>>>>."
11,57,33,0,false,"<2b?:0xff, 0x8c, 0x2> vous a envoyé une requête d'ami."
12,57,1,0,false,"<2b?:0xff, 0x8c, 0x2> est retiré<if:<if:BNpcName/e/none>/<if:e/none>> de la liste d'amis."
13,57,1,0,false,"Vous invitez <if:vous/<if:<?0x33>/<if:<if:d'/de><value>/<if:<ref:Attributive><value>/<ref:Attributive><value>>>>> dans la linkshell “<if:<ref:ObjStr>>”."
14,57,33,0,false,"<2b?:0xff, 0x8c, 0x2> vous invite dans la linkshell “<if:<ref:ObjStr>>”."
15,57,1,0,false,"<2b?:0xff, 0x8c, 0x2> est maintenant officier de la linkshell “<if:<ref:ObjStr>>”."
16,57,1,0,false,"<2b?:0xff, 0x8c, 0x2> est maintenant membre de la linkshell “<if:<ref:ObjStr>>”."
17,57,1,0,false,"Vous quittez la linkshell “<if:<ref:ObjStr>>”."
18,57,33,0,false,"La linkshell “<if:<ref:ObjStr>>” est dissoute."
