Index,0 [0x0][0x0],1 [0x4][0x4]
30001,"Field Exploration I",0
30002,"Field Exploration II",0
30003,"Field Exploration III",0
30004,"Field Exploration IV",0
30005,"Field Exploration V",0
30006,"Field Exploration VI",0
30007,"Field Exploration VII",0
30008,"Field Exploration VIII",0
30009,"Field Exploration IX",0
30010,"Field Exploration X",0
30011,"Field Exploration XI",50
30012,"Field Exploration XII",60
30013,"Field Exploration XIII",70
30014,"Highland Exploration I",0
30015,"Highland Exploration II",0
30016,"Highland Exploration III",0
30017,"Highland Exploration IV",0
30018,"Highland Exploration V",0
30019,"Highland Exploration VI",0
30020,"Highland Exploration VII",0
30021,"Highland Exploration VIII",0
30022,"Highland Exploration IX",0
30023,"Highland Exploration X",0
30024,"Highland Exploration XI",50
30025,"Highland Exploration XII",60
30026,"Highland Exploration XIII",70
30027,"Woodland Exploration I",0
30028,"Woodland Exploration II",0
30029,"Woodland Exploration III",0
30030,"Woodland Exploration IV",0
30031,"Woodland Exploration V",0
30032,"Woodland Exploration VI",0
30033,"Woodland Exploration VII",0
30034,"Woodland Exploration VIII",0
30035,"Woodland Exploration IX",0
30036,"Woodland Exploration X",0
30037,"Woodland Exploration XI",50
30038,"Woodland Exploration XII",60
30039,"Woodland Exploration XIII",70
30040,"Waterside Exploration I",0
30041,"Waterside Exploration II",0
30042,"Waterside Exploration III",0
30043,"Waterside Exploration IV",0
30044,"Waterside Exploration V",0
30045,"Waterside Exploration VI",0
30046,"Waterside Exploration VII",0
30047,"Waterside Exploration VIII",0
30048,"Waterside Exploration IX",0
30049,"Waterside Exploration X",0
30050,"Waterside Exploration XI",50
30051,"Waterside Exploration XII",60
30052,"Waterside Exploration XIII",70
30053,"Quick Exploration",0
30054,"Field Exploration XIV",80
30055,"Highland Exploration XIV",80
30056,"Woodland Exploration XIV",80
30057,"Waterside Exploration XIV",80
30058,"Field Exploration XV",90
30059,"Highland Exploration XV",90
30060,"Woodland Exploration XV",90
30061,"Waterside Exploration XV",90
30062,"Field Exploration XVI",100
30063,"Highland Exploration XVI",100
30064,"Woodland Exploration XVI",100
30065,"Waterside Exploration XVI",100
30066,"Field Exploration XVII",110
30067,"Highland Exploration XVII",110
30068,"Woodland Exploration XVII",110
30069,"Waterside Exploration XVII",110
30070,"Field Exploration XVIII",120
30071,"Highland Exploration XVIII",120
30072,"Woodland Exploration XVIII",120
30073,"Waterside Exploration XVIII",120
30074,"",0
30075,"",0
30076,"",0
30077,"",0
30078,"",0
30079,"",0
30080,"",0
30081,"",0
30082,"",0
30083,"",0
30084,"",0
30085,"",0
30086,"",0
30087,"",0
30088,"",0
30089,"",0
30090,"",0
30091,"",0
30092,"",0
30093,"",0
30094,"",0
30095,"",0
30096,"",0
30097,"",0
30098,"",0
30099,"",0
30100,"",0
