Index,0 [0x0][0x0],1 [0x2][0x10],2 [0x0][0x4],3 [0x2][0x11],4 [0x2][0x12],5 [0x2][0x13],6 [0x2][0x14],7 [0x2][0x15],8 [0x0][0x8],9 [0x0][0xc],10 [0x5][0x24],11 [0x5][0x26],12 [0x3][0x28],13 [0x7][0x18],14 [0x3][0x29],15 [0x6][0x1c],16 [0x6][0x20]
2000000,"",0,"",0,0,1,0,0,"","",0,0,1,0,0,83,85
2000001,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000002,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000003,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000004,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000005,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000006,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000007,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000008,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000009,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000010,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000011,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000012,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000013,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000014,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000015,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000016,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000017,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000018,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000019,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000020,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000021,"hölzern[a] Haarschmuck",4,"hölzern[a] Haarschmuckstücke",2,0,1,0,0,"Dies ist der liebste Haarschmuck von Aunillies, vom Spielplatz Eichelmatz.","Hölzerner Haarschmuck",22623,1,1,0,3,83,85
2000022,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000023,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000024,"nigelnagelneu[a] Werkzeugkiste",3,"nigelnagelneu[a] Werkzeugkisten",1,0,1,1,0,"Diese Werkzeugkiste hat ein Zimmerer-Neuling unachtsam liegengelassen.","Nigelnagelneue Werkzeugkiste",21002,1,1,65563,3,83,85
2000025,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000026,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000027,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000028,"Azeyma-Rose",3,"Azeyma-Rosen",1,0,1,1,0,"Diese wunderschöne Rose hast du von einem Gärtner erhalten.","Azeyma-Rose",25919,1,1,65562,3,83,85
2000029,"Metallbeschlag",4,"Metallbeschläge",2,0,1,0,0,"Diesen aus Metall gefertigten Beschlag hast du von Tatasosa erhalten.","Metallbeschlag",21007,1,1,65568,3,83,85
2000030,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000031,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000032,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000033,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000034,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000035,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000036,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000037,"",0,"",0,0,0,0,0,"","",0,0,0,0,0,0,0
2000038,"Feuerbonbon",4,"Feuerbonbons",1,0,1,2,0,"Eine lecker aussehende Süßigkeit in der Farbe eines Feuerkristalls. Brennt beim Lutschen nur ein ganz klein wenig auf der Zunge.","Feuerbonbon",22624,1,1,66704,3,83,85
2000039,"Windbonbon",4,"Windbonbons",1,0,1,2,0,"Eine lecker aussehende Süßigkeit in der Farbe eines Windkristalls. Sorgt für frischen Atem!","Windbonbon",22625,1,1,66704,3,83,85
