Index,0 [0x2][0xf],1 [0x3][0xc],2 [0x5][0x8],3 [0x3][0xd],4 [0x7][0x0],5 [0x7][0x4],6 [0x3][0xe],7 [0x5][0xa]
0,2,0,0,6,0,1002389,4,300
1,2,0,0,6,0,1003925,4,300
2,2,0,0,6,0,1000165,4,300
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0
25,1,0,66,0,0,0,0,300
26,4,1,13,0,0,8459,0,300
27,2,0,0,0,0,1011274,0,300
28,2,0,0,0,0,1005632,3,300
29,2,0,0,0,0,1005639,3,300
30,2,0,0,0,0,1005646,3,300
31,0,0,0,0,0,0,0,0
