Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x8],3 [0x3][0xc],4 [0x3][0xd],5 [0x3][0xe],6 [0x3][0xf],7 [0x19][0x14],8 [0x1a][0x14],9 [0x1b][0x14],10 [0x1c][0x14],11 [0x1d][0x14],12 [0x1e][0x14],13 [0x1f][0x14],14 [0x20][0x14],15 [0x3][0x10],16 [0x3][0x11],17 [0x19][0x15],18 [0x5][0xa],19 [0x1a][0x15],20 [0x1b][0x15],21 [0x3][0x12],22 [0x3][0x13]
0,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
1,"Pétrification","Une rigidité semblable à la pierre empêche toute action.",15001,0,2,6,122,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
2,"Étourdissement","Toute action est impossible.",15004,0,2,3,125,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
3,"Sommeil","Le sommeil empêche toute action.",15013,0,2,2,123,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,3
4,"Évanouissement","Une perte momentanée de conscience empêche toute action.",15003,0,2,8,0,true,false,true,false,false,false,false,false,100,0,false,0,false,false,0,0
5,"Amnésie","L'utilisation d'aptitudes est impossible.",15015,0,2,15,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
6,"Pacification","L'utilisation de techniques d'arme est impossible.",15017,0,2,14,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
7,"Silence","Le lancement de sorts est impossible.",15005,0,2,7,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
8,"Hâte","La vitesse des attaques automatiques est augmentée, et le temps de recharge des sorts et des techniques d'arme est réduit.",15008,0,1,16,0,false,false,false,false,false,false,false,false,1,0,false,0,false,false,0,0
9,"Lenteur","La vitesse des attaques automatiques est réduite, et le temps de recharge des sorts et des techniques d'arme est allongé.",15009,0,2,13,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
10,"Lenteur","Les mouvements sont gênés par une contriction.",15545,0,2,13,0,false,false,false,false,false,false,true,true,50,0,false,0,false,false,0,0
11,"Confusion","La folie fait attaquer les alliés à la place des ennemis.",15603,0,2,17,0,false,false,false,true,false,true,false,false,100,0,false,0,false,false,0,0
12,"Lévitation","Le corps flotte à quelques ilms du sol, défiant la loi de la gravité.",15037,0,1,16,128,false,false,false,false,false,false,true,true,1,0,false,0,false,false,0,0
13,"Entrave","Tout déplacement est impossible.",15003,0,2,12,124,true,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
14,"Pesanteur","La vitesse de déplacement est réduite.",15002,0,2,4,126,false,false,false,false,false,false,false,false,100,1,false,0,false,false,0,0
15,"Cécité","Un voile d'obscurité diminue la précision.",15012,0,2,10,0,false,false,false,false,false,false,false,false,50,0,false,0,false,false,0,0
16,"","",0,0,0,0,0,false,false,false,false,false,false,false,false,0,0,false,0,false,false,0,0
17,"Paralysie","Une paralysie empêche parfois d'effectuer des actions.",15006,0,2,5,0,false,false,false,false,false,false,false,false,100,0,false,0,false,false,0,0
18,"Poison","Des dégâts périodiques de poison sont subis.",15007,0,2,1,0,false,false,false,false,false,false,false,false,10,0,false,0,false,false,0,0
19,"Poison violent","Des dégâts périodiques de poison sont subis.",15517,0,2,1,0,false,false,false,false,false,false,true,true,10,0,false,0,false,false,0,0
