Index,0 [0x0][0x0],1 [0x2][0x10],2 [0x0][0x4],3 [0x2][0x11],4 [0x2][0x12],5 [0x2][0x13],6 [0x2][0x14],7 [0x2][0x15],8 [0x0][0x8],9 [0x0][0xc]
0,"",0,"",0,0,0,0,0,"",""
1,"Sturmmariner 3. Klasse",4,"Sturmmariner 3. Klasse",2,0,1,0,0,"Sturmmariner","Sturmmariner 3. Klasse"
2,"Sturmmariner 2. Klasse",4,"Sturmmariner 2. Klasse",2,0,1,0,0,"Sturmmariner","Sturmmariner 2. Klasse"
3,"Sturmmariner 1. Klasse",4,"Sturmmariner 1. Klasse",2,0,1,0,0,"Sturmmariner","Sturmmariner 1. Klasse"
4,"Großsturmmariner",4,"Großsturmmariner",2,0,1,0,0,"Großsturmmariner","Großsturmmariner"
5,"Sturmmaat 3. Klasse",4,"Sturmmaate 3. Klasse",2,0,1,0,0,"Sturmmaat","Sturmmaat 3. Klasse"
6,"Sturmmaat 2. Klasse",4,"Sturmmaate 2. Klasse",2,0,1,0,0,"Sturmmaat","Sturmmaat 2. Klasse"
7,"Sturmmaat 1. Klasse",4,"Sturmmaate 1. Klasse",2,0,1,0,0,"Sturmmaat","Sturmmaat 1. Klasse"
8,"Großsturmmaat",4,"Großsturmmaate",2,0,1,0,0,"Großsturmmaat","Großsturmmaat"
9,"Zweiter Sturmbootsmann",4,"Zweite Sturmbootsmänner",2,0,1,0,0,"Sturmbootsmann","Zweiter Sturmbootsmann"
10,"Erster Sturmbootsmann",4,"Erste Sturmbootsmänner",2,0,1,0,0,"Sturmbootsmann","Erster Sturmbootsmann"
11,"Großsturmbootsmann",4,"Großsturmbootsmänner",2,0,1,0,0,"Großsturmbootsmann","Großsturmbootsmann"
12,"Zweiter Sturmkapitänleutnant",4,"Zweite Sturmkapitänleutnants",1,0,1,0,0,"Sturmkapitänleutnant","Zweiter Sturmkapitänleutnant"
13,"Erster Sturmkapitänleutnant",4,"Erste Sturmkapitänleutnants",1,0,1,0,0,"Sturmkapitänleutnant","Erster Sturmkapitänleutnant"
14,"Großsturmkapitänleutnant",4,"Großsturmkapitänleutnants",1,0,1,0,0,"Großsturmkapitänleutnant","Großsturmkapitänleutnant"
15,"Galeerenkapitän",4,"Galeerenkapitäne",2,0,1,0,0,"Galeerenkapitän","Galeerenkapitän"
16,"Galeassenkapitän",4,"Galeassenkapitäne",2,0,1,0,0,"Galeassenkapitän","Galeassenkapitän"
17,"Galeonenkapitän",4,"Galeonenkapitäne",2,0,1,0,0,"Galeonenkapitän","Galeonenkapitän"
18,"Konteradmiral",4,"Konteradmirale",2,0,1,0,0,"Konteradmiral","Konteradmiral"
19,"Admiral",4,"Admirale",2,0,1,0,0,"Admiral","Admiral"
