Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x5][0x2c],3 [0x5][0x2e],4 [0x5][0x30],5 [0x2][0x35],6 [0x3][0x32],7 [0x3][0x33],8 [0x7][0x8],9 [0x19][0x36],10 [0x3][0x34],11 [0x6][0xc],12 [0x6][0x10],13 [0x6][0x14],14 [0x6][0x18],15 [0x6][0x1c],16 [0x6][0x20],17 [0x6][0x24],18 [0x6][0x28]
100000,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100001,"Basic Synthesis","Increases progress.\n<color?>Efficiency:</color> 100%  <color?>Success Rate:</color> 90%",239,246,1501,8,9,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
100002,"Basic Touch","Increases quality.\n<color?>Efficiency:</color> 100%  <color?>Success Rate:</color> 70%",240,247,1502,8,9,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100003,"Master's Mend","Restores item durability by 30.",242,249,1507,8,9,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100004,"Standard Touch","Increases quality.\n<color?>Efficiency:</color> 125%  <color?>Success Rate:</color> 80%",240,247,1516,8,9,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100005,"Master's Mend II","Restores item durability by 60.",242,249,1520,8,9,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100006,"Brand of Wind","Increases progress. Progress doubles when recipe affinity is wind.\n<color?>Efficiency:</color> 100% (200%)  <color?>Success Rate:</color> 90%",239,246,1509,8,33,37,0,false,6,100006,100006,100006,100006,100006,100006,100006,100006
100007,"Standard Synthesis","Increases progress.\n<color?>Efficiency:</color> 150%  <color?>Success Rate:</color> 90%",239,246,1515,8,9,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100008,"Advanced Touch","Increases quality.\n<color?>Efficiency:</color> 150%  <color?>Success Rate:</color> 90%",240,247,1517,8,9,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100009,"Byregot's Blessing","Increases quality. Inner Quiet effect ends upon use.\n<color?>Efficiency:</color> 100% plus 20% for each bonus to control granted by <color #FF7B1A>Inner Quiet</color>\n<color?>Success Rate:</color> 90%",240,247,1521,8,33,50,0,false,24,100009,100009,100009,100009,100009,100009,100009,100009
100010,"Observe","Do nothing for one step.",242,249,1518,8,9,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100011,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100012,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100013,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100014,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100015,"Basic Synthesis","Increases progress.\n<color?>Efficiency:</color> 100%  <color?>Success Rate:</color> 90%",239,246,1551,9,10,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
100016,"Basic Touch","Increases quality.\n<color?>Efficiency:</color> 100%  <color?>Success Rate:</color> 70%",240,247,1552,9,10,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100017,"Master's Mend","Restores item durability by 30.",242,249,1557,9,10,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100018,"Standard Touch","Increases quality.\n<color?>Efficiency:</color> 125%  <color?>Success Rate:</color> 80%",240,247,1566,9,10,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100019,"Master's Mend II","Restores item durability by 60.",242,249,1570,9,10,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100020,"Brand of Fire","Increases progress. Progress doubles when recipe affinity is fire.\n<color?>Efficiency:</color> 100% (200%)  <color?>Success Rate:</color> 90%",239,246,1559,9,33,37,0,false,6,100020,100020,100020,100020,100020,100020,100020,100020
100021,"Standard Synthesis","Increases progress.\n<color?>Efficiency:</color> 150%  <color?>Success Rate:</color> 90%",239,246,1565,9,10,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100022,"Advanced Touch","Increases quality.\n<color?>Efficiency:</color> 150%  <color?>Success Rate:</color> 90%",240,247,1567,9,10,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100023,"Observe","Do nothing for one step.",242,249,1568,9,10,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100024,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100025,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100026,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100027,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100028,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100029,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100030,"Basic Synthesis","Increases progress.\n<color?>Efficiency:</color> 100%  <color?>Success Rate:</color> 90%",239,246,1601,10,11,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
100031,"Basic Touch","Increases quality.\n<color?>Efficiency:</color> 100%  <color?>Success Rate:</color> 70%",240,247,1602,10,11,5,0,false,18,100002,100016,100031,100076,100046,100061,100091,100106
100032,"Master's Mend","Restores item durability by 30.",242,249,1607,10,11,7,0,false,92,100003,100017,100032,100077,100047,100062,100092,100107
100033,"Rapid Synthesis","Increases progress.\n<color?>Efficiency:</color> 250%  <color?>Success Rate:</color> 50%",241,248,1619,10,33,15,0,false,0,100033,100033,100033,100033,100033,100033,100033,100033
100034,"Standard Touch","Increases quality.\n<color?>Efficiency:</color> 125%  <color?>Success Rate:</color> 80%",240,247,1616,10,11,18,0,false,32,100004,100018,100034,100078,100048,100064,100093,100109
100035,"Master's Mend II","Restores item durability by 60.",242,249,1621,10,11,25,0,false,160,100005,100019,100035,100079,100049,100065,100094,100110
100036,"Brand of Ice","Increases progress. Progress doubles when recipe affinity is ice.\n<color?>Efficiency:</color> 100% (200%)  <color?>Success Rate:</color> 90%",239,246,1609,10,33,37,0,false,6,100036,100036,100036,100036,100036,100036,100036,100036
100037,"Standard Synthesis","Increases progress.\n<color?>Efficiency:</color> 150%  <color?>Success Rate:</color> 90%",239,246,1615,10,11,31,0,false,15,100007,100021,100037,100080,100051,100067,100096,100111
100038,"Advanced Touch","Increases quality.\n<color?>Efficiency:</color> 150%  <color?>Success Rate:</color> 90%",240,247,1617,10,11,43,0,false,48,100008,100022,100038,100081,100052,100068,100097,100112
100039,"Piece by Piece","Increases remaining progress by 1/3.\n<color?>Success Rate:</color> 90%",239,246,1622,10,33,50,0,false,15,100039,100039,100039,100039,100039,100039,100039,100039
100040,"Observe","Do nothing for one step.",242,249,1618,10,11,13,0,false,14,100010,100023,100040,100082,100053,100070,100099,100113
100041,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100042,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100043,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100044,"","",0,0,1,-1,0,1,0,false,0,0,0,0,0,0,0,0,0
100045,"Basic Synthesis","Increases progress.\n<color?>Efficiency:</color> 100%  <color?>Success Rate:</color> 90%",239,246,1701,12,13,1,0,false,0,100001,100015,100030,100075,100045,100060,100090,100105
