Index,0 [0x1][0x0],1 [0x1][0x1],2 [0x1][0x2],3 [0x1][0x3],4 [0x1][0x4],5 [0x1][0x5],6 [0x1][0x6],7 [0x1][0x7],8 [0x1][0x8],9 [0x1][0x9],10 [0x1][0xa],11 [0x1][0xb],12 [0x1][0xc],13 [0x1][0xd],14 [0x1][0xe],15 [0x1][0xf],16 [0x1][0x10],17 [0x1][0x11],18 [0x1][0x12],19 [0x1][0x13],20 [0x1][0x14],21 [0x1][0x15],22 [0x1][0x16],23 [0x1][0x17],24 [0x1][0x18],25 [0x1][0x19],26 [0x1][0x1a],27 [0x1][0x1b],28 [0x1][0x1c],29 [0x1][0x1d],30 [0x1][0x1e],31 [0x1][0x1f],32 [0x1][0x20],33 [0x1][0x21],34 [0x1][0x22],35 [0x1][0x23],36 [0x1][0x24],37 [0x1][0x25],38 [0x1][0x26],39 [0x1][0x27],40 [0x1][0x28],41 [0x1][0x29],42 [0x1][0x2a],43 [0x1][0x2b],44 [0x1][0x2c],45 [0x1][0x2d],46 [0x1][0x2e],47 [0x1][0x2f],48 [0x1][0x30],49 [0x1][0x31],50 [0x1][0x32],51 [0x1][0x33],52 [0x1][0x34],53 [0x1][0x35],54 [0x1][0x36],55 [0x1][0x37],56 [0x1][0x38],57 [0x1][0x39],58 [0x1][0x3a],59 [0x1][0x3b],60 [0x1][0x3c],61 [0x1][0x3d],62 [0x1][0x3e],63 [0x1][0x3f],64 [0x1][0x40],65 [0x1][0x41],66 [0x1][0x42],67 [0x1][0x43],68 [0x1][0x44],69 [0x1][0x45],70 [0x1][0x46],71 [0x1][0x47],72 [0x1][0x48],73 [0x1][0x49],74 [0x1][0x4a],75 [0x1][0x4b],76 [0x1][0x4c],77 [0x1][0x4d],78 [0x1][0x4e],79 [0x1][0x4f]
0,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
1,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
2,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,true,true,true,true,true,true,false,false,true,true,true,false,true,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
3,true,true,false,true,false,false,true,false,false,false,false,true,false,true,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true
4,true,true,false,true,true,false,false,false,false,false,true,false,true,false,true,true,true,true,false,false,false,false,false,true,true,true,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,true,true,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
5,true,true,false,true,false,true,false,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true
6,true,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true
7,true,true,false,true,false,false,false,true,false,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true
8,true,true,false,true,false,false,false,false,true,false,false,false,false,false,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true
9,true,true,false,true,false,false,false,false,false,true,false,false,false,false,false,true,true,true,true,false,true,false,true,false,true,true,true,true,true,false,false,false,false,false,false,false,false,false,true,true,true,false,true,false,false,false,false,true,true,false,false,true,false,false,true,false,false,true,true,true,false,true,false,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
10,true,true,false,true,true,false,false,false,false,false,true,false,false,false,false,true,true,true,false,false,false,false,false,true,true,true,true,false,true,true,true,false,false,false,false,false,false,true,false,false,false,true,true,false,false,false,false,true,true,true,true,true,false,false,false,false,true,true,true,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true,true,true,true,true,true
11,true,true,false,true,false,false,true,false,false,false,false,true,false,true,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,false,true,false,true,true,false,false,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,true
12,true,true,false,true,false,false,false,false,false,false,false,true,true,false,false,true,true,true,true,false,true,false,false,true,true,true,true,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
13,true,true,false,true,false,false,false,false,false,false,false,true,false,true,false,true,true,true,true,false,true,false,false,false,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false,false,false,false,false,true,true,true,true,true,true,true,true,true
14,true,true,false,true,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,false,true,false,false,true,true,true,true,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,true,false,false,true,true,true,true,true,true,true,true,true,true
15,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
16,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
