#,Unknown0,ColorNum,FCRight
0,1,1,0
1,2,1,0
2,3,1,0
3,100,8,0
4,101,8,0
5,102,8,0
6,300,8,0
7,302,8,0
8,303,8,0
9,305,8,0
10,110,8,0
11,111,8,0
12,107,8,0
13,108,8,0
14,105,8,0
15,116,8,0
16,117,8,0
17,118,8,0
18,112,8,0
19,113,8,0
20,114,8,0
21,115,8,0
22,200,8,0
23,201,8,0
24,202,8,0
25,203,8,0
26,204,8,0
27,209,8,0
28,206,8,0
29,207,8,0
30,208,8,0
31,210,8,0
32,211,8,0
33,212,8,0
34,213,8,0
35,214,8,0
36,215,8,0
37,216,8,0
38,217,8,0
39,218,8,0
40,219,8,0
41,220,8,0
42,500,8,0
43,405,8,0
44,406,8,0
45,408,8,0
46,407,8,0
47,501,8,0
48,409,8,0
49,412,8,0
50,410,8,0
51,411,8,0
52,413,8,0
53,509,8,0
54,508,8,0
55,506,8,0
56,507,8,0
57,505,8,0
58,510,8,0
59,401,8,0
60,402,8,0
61,403,8,0
62,404,8,0
63,504,8,0
64,400,8,0
65,502,8,0
66,503,8,0
67,104,8,0
68,103,8,0
69,304,8,0
70,301,8,0
71,109,8,0
72,106,8,0
73,119,8,0
74,2003,8,6
75,2001,8,6
76,2008,8,6
77,2005,8,6
78,2006,8,6
79,2100,8,6
80,2101,8,6
81,2102,8,6
82,2103,8,6
83,2104,8,6
84,2106,8,6
85,2107,8,6
86,2108,8,6
87,2109,8,6
88,2502,8,6
89,2400,8,6
90,2405,8,6
91,2303,8,6
92,2508,8,6
93,2300,8,6
94,2301,8,6
95,2500,8,6
96,2501,8,6
97,2504,8,6
98,2505,8,6
99,2200,8,6
100,2201,8,6
101,2000,8,6
102,2002,8,6
103,2004,8,6
104,2009,8,6
105,2010,8,6
106,2007,8,6
107,2401,8,6
108,2402,8,6
109,2403,8,6
110,2404,8,6
111,2406,8,6
112,2509,8,6
113,2507,8,6
114,2506,8,6
115,2304,8,6
116,2306,8,6
117,2305,8,6
118,2307,8,6
119,2302,8,6
120,2503,8,6
121,205,8,0
122,2105,8,6
123,2110,8,6
124,2112,8,6
125,2111,8,6
126,0,1,0
127,2113,8,6
128,2114,8,6
129,2115,8,6
130,2116,8,6
131,2117,8,6
132,2118,8,6
133,2119,8,6
134,0,1,0
135,2510,8,6
136,2511,8,6
137,2512,8,6
138,2513,8,6
139,2514,8,6
140,2515,8,6
141,2516,8,6
142,2517,8,6
143,2518,8,6
144,2519,8,6
145,2308,8,6
146,2202,8,6
147,2011,8,6
148,2012,8,6
149,2013,8,6
150,2014,8,6
151,2015,8,6
152,2016,8,6
153,2017,8,6
154,2018,8,6
155,2019,8,6
156,2020,8,6
157,2021,8,6
158,2022,8,6
159,2023,8,6
160,2024,8,6
161,2025,8,6
162,2203,8,6
163,2204,8,6
164,2026,8,6
165,2027,8,6
166,2028,8,6
167,2029,8,6
168,2030,8,6
169,511,8,6
170,2031,8,6
171,2032,8,6
172,2033,8,6
173,2034,8,6
174,2035,8,6
175,2036,8,6
176,2037,8,6
177,2038,8,6
178,2039,8,6
179,2040,8,6
180,2041,8,6
181,2042,8,6
182,2043,8,6
183,2044,8,6
184,2045,8,6
185,2120,8,6
186,2121,8,6
