#,Radius,Height,VFXScale,FloatHeight,FloatDown,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,FloatUp,Unknown8,LoopFlySE,MotionBlendType
0,0.5,1,1,3,3,240,600,66,300,66,300,0,0,0,0,0,False
1,1.2,1,1,3,3,200,500,66,143,66,143,0,0,0,0,1,False
2,0.3,0.7,0.5,3,3,120,370,66,167,66,135,0,0,0,0,1,False
3,0.3,0.75,0.5,3,3,200,400,66,67,66,83,0,0,0,0,1,False
4,0.7,0.8,0.8,3,3,150,450,66,111,66,93,0,0,0,0,1,False
5,1.6,1.5,1.3,3,3,200,500,66,200,66,200,0,0,0,0,1,False
6,0.4,0.7,0.3,3,3,100,400,66,200,66,125,0,0,0,0,1,False
7,0.6,0.8,1,8,3,250,550,100,100,100,100,110,150,0,1,1,False
8,2,1.8,1.5,3,3,200,600,66,111,66,93,0,0,0,1,1,False
9,0.4,0.8,0.8,3,3,200,450,66,100,66,111,0,0,0,0,1,False
10,0.4,0.7,0.5,3,3,200,400,66,200,66,250,0,0,0,0,1,False
11,0.6,0.9,1,8,3,200,500,100,100,100,100,20,60,0,1,1,True
12,0.6,1,1,8,3,200,600,100,100,100,100,120,150,0,1,1,True
13,0.3,0.6,0.2,3,3,150,400,66,67,66,100,0,0,0,0,1,False
14,0.4,0.7,1,8,3,200,450,100,100,100,100,130,170,0,1,1,True
15,1.3,1.3,1,3,3,200,500,66,100,66,100,0,0,0,0,1,False
16,0.3,0.7,1,8,3,250,550,100,100,100,100,120,150,0,1,1,False
17,2.1,1.5,2,3,3,250,800,66,100,66,78,0,0,0,1,1,False
18,1.3,1.8,1.5,3,3,200,500,66,100,66,100,0,0,0,0,2,True
19,1.3,1,0.5,3,3,500,500,66,100,66,100,0,0,0,0,1,False
20,0.2,0.7,1,2,3,200,500,100,100,100,100,150,190,0,1,1,True
21,1.1,1.8,1.5,3,3,200,600,66,100,66,83,0,0,0,0,2,False
22,0.5,0.7,0.6,3,3,200,500,66,100,66,100,0,0,0,0,1,False
23,5,4,4,3,3,200,500,66,300,66,143,0,0,80,1,2,False
24,1.4,1.4,1.5,3,3,200,800,66,125,66,78,0,0,0,0,1,False
25,0.2,0.6,1,8,3,200,500,100,100,100,100,130,170,0,1,1,True
