#,ChapterName,ChapterPart,Transient,Quest,Unknown0,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,UITab,Category,Unknown1
0,,,,0,0,0,0,0,0,0,0
1,A Realm Reborn - Kapitel 1,Kapitel 1,"Eorzea, der Kontinent, von dem es heißt, dass er von den Göttern geliebt wird. Hier beginnt die Reise einer einzelnen Heldin. Vom Urkristall als Kriegerin des Lichts berufen, zieht sie hinaus, um das weite Land zu erkunden. Lüstet es sie nach Macht oder nach Ruhm? Oder ist es einfach nur die Sehnsucht nach dem Abenteuer? Mit der Zeit wird es sich zeigen, was ihr Herz wirklich bewegt.",66060,0,114766,114166,114466,1,30,1
2,A Realm Reborn - Kapitel 2,Kapitel 2,"Nachdem die Kriegerin des Lichts eine Weile durch die Welt Eorzeas gereist ist und dabei die drei Stadt­staaten besucht hat, wird ihr langsam bewusst, dass das Land vor gewaltigen Heraus­forde­rungen steht. Auf ihren Reisen begegnet sie dem Mitglied einer geheimen Vereinigung, dem „Bund der Morgenröte“. Sie scheinen die Antwort auf einige der dringendsten Fragen zu haben: Was ist diese mysteriöse „Kraft des Transzendierens“? Und was hat es mit diesem Phantom auf sich, dem sie begegnet ist?",66060,0,114767,114167,114467,1,30,2
3,A Realm Reborn - Kapitel 3,Kapitel 3,"Der Primae Ifrit war eine Bedrohung für die Sicherheit ganz Eorzeas, die nun Dank der Abenteurerin gebannt ist. Wie es sich herausstellt, walten hinter dem Auftauchen dieses Ungeheuers üble Kräfte, in Gestalt der Boten der Finsternis: den Ascians. Und es ist die Bestimmung der Kriegerin des Lichts, ihre Pläne zu durchkreuzen. Das Ziel ist klar: der Ascian Lahabrea muss gestoppt werden.",66060,0,114768,114168,114468,1,30,3
4,A Realm Reborn - Kapitel 4,Kapitel 4,"Mit der Unterstützung des Heeres der Helden konnte der Primae Titan bezwungen werden. Y'shtola verspürte während des heftigen Kampfes die Präsenz einer verborgenen Entität. Und in der Tat, das Garleische Kaiserreich scheint im Bunde mit den Ascians zu stehen. Gemeinsam mit der Kriegerin des Lichts geht es zurück ins Hauptquartier des Bundes, um einen Plan auszuarbeiten, doch es kommt anders ...",66060,0,114769,114169,114469,1,30,4
5,7. Ära des Lichts - Kapitel 1,7. Ära - Kapitel 1,"Die Exegeten haben die erbitterte Schlacht um das Castrum Meridianum für sich entschieden. Die Welt kann nun endgültig die finstere Zeit der Siebten Katastrophe hinter sich lassen und einer besseren Zukunft entgegenblicken. Auch für den Bund der Morgenröte, der Eorzea vor einem dunklen Schicksal bewahrte, bedeutet dies ein großer Schritt zur Erfüllung seiner Ziele. Doch schon tut sich eine neue Bedrohung auf, die das Können der Exegeten auf die Probe stellen wird.",66996,0,114770,114170,114470,1,30,5
6,7. Ära des Lichts - Kapitel 2,7. Ära - Kapitel 2,"Auch wenn nun die Siebte Ära des Lichts angebrochen ist, Eorzea ächzt im Angesicht der zahllosen Bedrohungen, die sich auftun. Die Wilden Stämme und die Primae, das Verschwinden der Insel Val, allen Ortes das unendliche Leid der Entwurzelten und nun auch noch Häretiker in Coerthas. Die von Alphinaud ins Leben gerufenen „Kristallstreiter“ können allein nicht all der Probleme, die sich in Eorzea auftun, Herr werden. ",65964,0,114771,114171,114471,1,30,6
7,Heavensward - Kapitel 1,Kapitel 1,"Übler Verrat aus den Schatten von Ul'dah hat die Exegeten getrennt und die Kriegerin des Lichts gezwungen, Zuflucht im kalten Norden von Eorzea zu suchen. Lord Haurchefant gewährt der Heldin Zuflucht, doch wie viel Sicherheit kann ein Staat bieten, der sich in einem tausendjährigen Krieg mit unsterblichen Drachen befindet?",67205,0,114701,114101,114401,1,1,1
8,Heavensward - Kapitel 2,Kapitel 2,"Tief im Reich der Drachen stehen die Helden Angesicht zu Angesicht mit dem Großen Drachen Hraesvelgr, der ihnen die schockierenden Hintergründe des Drachenkriegs offenbart: Es war ein Verrat der Sterblichen, welcher den Frieden zwischen Ishgard und den Drachen zunichte machte. Zusammen mit dem Azur-Drachenreiter macht die Kriegerin des Lichts Jagd auf den unversöhnlichen Drachen Nidhogg.",67205,0,114702,114102,114402,1,1,2
9,Heavensward - Kapitel 3,Kapitel 3,"Auf dem schwebenden Kontinent Azys Lla bringen die Helden den kriegstreiberischen Papst zu Fall und unterbrechen den Kreislauf des Hasses zwischen Ishgard und den Drachen. Der Kirchenstaat aber findet keine Ruhe, denn zu groß ist der Schock über die Wahrheit, zu plötzlich die Erkenntnis der eigenen Schuld.",67783,0,114703,114103,114403,1,1,3
10,Heavensward - Kapitel 4,Kapitel 4,"Nach eintausend Jahren des Blutvergießens und der Trauer beendet die Kriegerin des Lichts den Drachenkrieg mit einer Heldentat: Nidhogg und sein Hass sind besiegt. Ishgards Annalen sind um eine Legende reicher, doch die Geschichte des Kirchenstaats ist noch nicht zu Ende erzählt.",67895,0,114704,114104,114404,1,1,4
11,Stormblood - Kapitel 1,Kapitel 1,"Die Männer und Frauen der eorzäischen Allianz ziehen in den Kampf, um das von dem Garleischen Kaiserreich versklavte Ala Mhigo zu befreien. Der Wind des Aufstands regt sich auch im Fernen Osten, wo mutige Widerstandskämpfer neue Hoffnung für ihr gefallenes Königreich Doma schöpfen.",68089,0,114705,114105,114405,1,2,1
12,Stormblood - Kapitel 2,Kapitel 2,"Jenseits der Rubinsee betreten die Helden das Land Yanxia, das Yotsuyu, die erbarmungslose Statthalterin von Doma, für Garlemald beansprucht. Um Doma endlich zur Freiheit zu verhelfen, ziehen die Helden in die endlosen Weiten der Azim-Steppe, auf der Suche nach dem rechtmäßigen Erben auf den Königstitel.",68089,0,114706,114106,114406,1,2,2
13,Stormblood - Kapitel 3,Kapitel 3,"Ala Mhigo ist befreit und die Zeit des garleischen Jochs vorüber. Nun liegt es an seinen Bewohnern, sich mit den Schatten der Ver­gangen­heit zur versöhnen. Welche Fallen erwarten Lyse beim Wieder­aufbau ihres Landes? Welche Schrecken plagen Fordola in ihrer Zelle? Und welche Zukunft wird Raubahn für sich wählen, jetzt da sich der Traum, den er für seine Heimat hegte, erfüllt hat?",68612,0,114707,114107,114407,1,2,3
14,Stormblood - Kapitel 4,Kapitel 4,"Ist Zenos von den Toten auferstanden? War er nie tot? Alles deutet auf weitere Machenschaften der Ascians hin, als der Prinz des garleischen Kaiserhauses in Garlemald auftaucht. Ein Bote trifft im Sonnenstein ein und bringt Neuigkeiten, welche die Exegeten auf eine neue abenteuerliche Reise schicken.",68721,0,114708,114108,114408,1,2,4
15,Shadowbringers - Kapitel 1,Kapitel 1,"Das Garleische Kaiserreich hat seine Provinzen verloren, aber nicht seinen Eroberungswillen. Alle Zeichen stehen auf Krieg, doch die Kriegerin des Lichts ist gezwungen, das Schlachtfeld zu verlassen. Während ihre Gefährten in einem rätselhaften Schlummer daliegen, folgt die Heldin einem Ruf durch Raum und Zeit in eine andere Welt: den ersten Splitter.",69190,0,114709,114109,114409,1,3,1
16,Shadowbringers - Kapitel 2,Kapitel 2,"Die Kriegerin der Dunkelheit und ihre Freunde haben dem Großen Wald Rak'tika die Nacht zurückgebracht, doch der Rest von Norvrandt leidet weiterhin unter dem ewigen Licht und den Sünden­ver­tilgern. Die Helden stellen sich einer Heraus­forde­rung nach der anderen, immer gefolgt von dem Ascian Emet-Selch, der ihnen schockierende Wahrheiten offenbart. Sind seine Worte nur Teil seines undurchsichtigen Spiels?",69190,0,114710,114110,114410,1,3,2
17,Die Verschlungenen Schatten von Bahamut,Bahamut,"Es war das Projekt Meteor, mit dem Legatus Nael van Darnus Bruchstücke des unseligen Mondes Dalamud tief in eorzäischen Boden stürzen ließ. Sie formten ein unterirdisches Labyrinth, in dem die Wahrheit über die Siebte Katastrophe darauf wartet, von todesmutigen Abenteurern entdeckt zu werden.",65580,0,114711,114111,114411,3,4,1
18,Kristallturm,Kristallturm,"Mehr, als dass er in Urzeiten von den Allagern errichtet wurde, ist in den alten Schriften nicht über diesen gewaltigen Turm verzeichnet. Während der Siebten Katastrophe erhob sich das Bauwerk glitzernd aus dem Erdreich von Mor Dhona, doch wird es die in ihm schlummernden Geheimnisse einer neuen Generation von Helden preisgeben?",66031,0,114712,114112,114412,3,5,1
