#,Name,PreviousComboAction,ClassJob
0,0,0,-1
1,36918,16460,19
2,36919,16460,19
3,25748,16459,19
4,25749,16459,19
5,25750,16459,19
6,36922,36921,19
7,16463,3550,21
8,16465,3549,21
9,36924,7389,21
10,36925,25753,21
11,36928,7392,32
12,36929,7392,32
13,36930,7392,32
14,36931,7391,32
15,16147,16146,37
16,16150,16146,37
17,16156,16155,37
18,16157,16155,37
19,16158,16155,37
20,25759,16155,37
21,36936,16155,37
22,36938,16164,37
23,36939,16164,37
24,3545,25764,20
25,25882,25764,20
26,25765,25764,20
27,3543,25764,20
28,25768,25764,20
29,25769,25764,20
30,36948,25764,20
31,36952,0,22
32,16479,75,22
33,25770,86,22
34,2272,2260,-1
35,2265,2260,30
36,2266,2260,30
37,2267,2260,30
38,2268,2260,30
39,2269,2260,30
40,2270,2260,30
41,2271,2260,30
42,16491,2260,30
43,16492,2260,30
44,0,0,-1
45,25776,0,30
46,36960,7402,30
47,36959,7401,30
48,36961,7403,30
49,7489,7867,34
50,7488,7867,34
51,7487,7867,34
52,16485,16483,34
53,16486,16483,34
54,25782,16483,34
55,36965,7867,34
56,36966,7867,34
57,36967,16483,34
58,36968,16483,34
59,24390,24389,39
60,24391,24389,39
61,24403,24401,39
62,24403,24402,-1
63,24395,24382,39
64,24396,24383,39
65,24397,24384,39
66,24388,24387,39
67,24399,24389,39
68,24400,24392,39
69,36969,24393,39
70,36970,24382,39
71,36971,24383,39
72,36972,24384,39
73,36973,24398,39
74,7404,3559,23
75,25784,16496,23
76,7416,7415,31
77,16766,2878,31
78,16504,0,31
79,17206,0,31
80,16503,0,31
81,25787,0,31
82,36981,25788,31
83,15999,0,38
84,16000,0,38
85,16001,0,38
86,16002,0,38
87,16003,15997,38
88,16191,15997,-1
89,16192,15997,-1
90,16004,15998,38
91,16193,15998,-1
92,16194,15998,-1
93,16195,15998,-1
94,16196,15998,-1
95,25789,16014,38
96,25790,15998,38
97,36984,15997,38
98,36985,16005,38
99,25797,141,25
100,25820,3579,27
101,25821,16511,27
102,3582,25822,27
103,7428,0,27
104,7449,7429,27
105,25823,25883,27
106,25824,25883,27
107,25825,25883,27
108,16514,3579,27
109,16515,16511,27
110,25831,25800,27
111,16517,0,27
112,25830,25822,27
113,16519,0,27
114,16516,7429,27
115,16518,0,27
116,25832,25884,27
117,25833,25884,27
118,25834,25884,27
119,25835,25822,27
120,25885,25835,27
121,25836,25822,27
122,25837,25822,27
123,36994,3579,27
124,36995,16511,27
125,36992,25800,27
126,36996,25822,27
127,36993,0,27
128,36998,7429,27
129,36999,0,27
130,7527,7504,35
131,7528,7512,35
132,7529,7516,35
133,7530,7513,35
134,37002,7530,35
135,37003,7530,35
136,7525,7505,35
137,7526,7507,35
138,16528,16529,35
139,16530,7524,35
140,25858,16530,35
141,37006,0,35
142,0,0,-1
143,37015,185,28
144,37016,186,28
145,37037,3586,-1
146,37018,37017,33
147,37023,37019,33
148,37024,37020,33
149,37025,37021,33
150,37026,37019,33
151,37027,37020,33
152,37028,37021,33
153,8324,7439,-1
154,16558,16557,-1
155,7444,37022,33
156,7445,37022,33
157,24291,24284,40
158,24292,24286,40
159,24293,24283,40
160,24308,24306,40
161,24314,24312,40
162,37032,24315,40
163,37034,24292,40
164,34608,34606,41
165,34609,34607,41
166,34610,34606,41
167,34611,34606,41
168,34612,34607,41
169,34613,34607,41
170,34616,34614,41
171,34617,34615,41
172,34618,34614,41
173,34619,34615,41
174,34634,35920,41
175,34635,35920,41
176,34636,35921,41
177,34637,35922,41
178,34638,35921,41
179,34639,35922,41
180,34627,34606,41
181,34628,34607,41
182,34629,34621,41
183,34630,34622,41
184,34644,35921,41
185,34645,35922,41
186,34631,34626,41
187,34640,35920,41
188,34641,35920,41
189,34642,35920,41
190,34643,35920,41
191,34651,34650,42
192,34652,34650,42
193,34664,34689,42
194,34665,34689,42
195,34670,35347,42
196,34671,35347,42
197,34657,34656,42
198,34658,34656,42
199,34668,34690,42
200,34674,35348,42
201,34654,34653,42
202,34655,34653,42
203,34660,34659,42
204,34661,34659,42
205,34669,34691,42
206,34675,35349,42
207,34679,34678,42
208,34680,34678,42
209,34666,34689,42
210,34667,34689,42
211,34672,35347,42
212,34673,35347,42
213,34677,34676,42
214,0,0,0
215,0,0,0
216,0,0,0
217,0,0,0
218,0,0,0
219,0,0,0
220,0,0,0
221,0,0,0
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
