#,Name,Description,Icon,Action,UnlockLink,Unknown0,Recast,UIPriority,Unknown2,Unknown1
0,,,0,0,0,0,0,0,False,False
1,Auto-Attacke,"Du führst automatisch Angriffe auf das anvisierte Ziel aus, wobei das Intervall zwischen den Angriffen von deiner Waffe abhängt.",101,0,0,1,0,7,False,False
2,Springen,Du springst und kannst auf diese Weise niedrige Hindernisse überwinden.,102,0,0,1,0,11,False,False
3,Limitrausch,"Du verbrauchst den gesamten Limitrausch-Balken, um für die ganze Gruppe eine mächtige Fertigkeit zu entfesseln. Die Fertigkeit wird von der Rolle dessen bestimmt, der sie startet.
Verteidiger: Schadensminderung für die Gruppe (Radius: 50y).
Nahkämpfer: Attacke auf Einzelziel.
Physischer Fernkämpfer: Attacke auf alle Gegner in gerader Linie (bis 30y Entfernung).
Magischer Fernkämpfer: Flächenangriff um anvisierten Ort auf dem Boden (Radius: 8y/10y/15y).
Heiler: Wiederherstellung von LP der Gruppe, Wiederbeleben ab Stufe 3 (Radius: 50y). Das Ziel erleidet den Status Schwäche dabei nur, wenn es ihn schon vorher hatte. Die volle Wirkungsdauer beginnt erneut.",103,0,0,1,0,4,False,False
4,Sprint,"Du erhöhst die eigene Be­we­gungs­ge­schwin­dig­keit.
Dauer im Kampf: 10 Sekunden
Dauer außerhalb des Kampfes: 20 Sekunden
※ Kann nicht in PvP-Kämpfen eingesetzt werden.",104,3,0,1,56,1,False,False
5,Materialverwertung,"Du zerlegst einen Gegenstand, um Materialien zu erhalten.",120,0,95,2,0,51,False,True
6,Reparatur,"Du reparierst beschädigte Ausrüstung und stellst ihren Zustand wieder her. Als Katalysator wird Dunkelmaterie benötigt, die der Stufe der Ausrüstung entspricht.",106,0,0,2,0,31,False,True
7,Teleport,"Du bezahlst einen Gilbetrag, um dich durch den Ätherstrom zu einem beliebigen Ätheryten zu teleportieren, mit dem du dich zuvor harmonisiert hast.",111,5,4,1,0,2,False,True
8,Rückführung,Du kehrst zu deinem zuvor festgelegten Heimatpunkt zurück.,112,6,1,1,57,3,False,True
9,Reittier-Roulette,Ruft ein zufällig ausgewähltes Reittier herbei.,118,0,0,1,0,21,False,False
10,Begleiter-Roulette,Ruft einen zufällig ausgewählten Begleiter herbei.,117,0,0,1,0,23,False,False
11,,,0,0,0,0,0,0,False,False
12,Materia einsetzen,Du setzt Materia in Aus­rüstungs­gegen­stände ein.,107,0,11,2,0,33,False,True
13,Materia einsetzen II,"Du setzt Materia in Aus­rüstungs­gegen­stände ein. Auch Gegenstände ohne freie Materia-Slots sind möglich, aber die Erfolgsaussichten hierbei sind schlecht.",108,0,12,2,0,34,False,True
14,Materia-Extraktion,Du  kristallisierst den starken Willen des Besitzers aus Gegenständen mit vollständiger emotionaler Bindung in die Substanz „Materia“.,109,0,13,2,0,32,False,True
15,Färben,"Du verbrauchst einen Farbstoff, um die Farbe eines Ausrüstungsgegenstands zu verändern.",110,0,14,2,0,41,False,True
16,Nächstes Ziel,Angefangen beim nächststehenden visierst du der Reihe nach alle Gegner an.,113,0,0,3,0,12,False,True
17,Voriges Ziel,Angefangen beim nächststehenden visierst du in umgekehrter Reihenfolge alle Gegner an.,114,0,0,3,0,13,False,True
18,Abstellen,"Du stellst den Gegenstand ab, den du gerade in der Hand hast.",19612,0,0,1,0,0,False,False
