#,Singular,Plural,Adjective,PossessivePronoun,StartsWithVowel,Unknown0,Pronoun,Article,Model,Priority,Enemy,Icon,Order,HP,SkillAngle,Unknown1,Scale,InactiveIdle0,InactiveIdle1,InactiveBattle,InactiveWandering,Behavior,Special,Unknown10,Unknown11,WanderingWait,Unknown2,Cost,Unknown3,SkillCost,Unknown4,MinionRace,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Battle,Roulette,IdleAnimation
0,,,0,0,0,1,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0,0,0,8,0,10,0,20,0,0,False,False,False,False,False,False,True,False
1,Kirschbomber,Kirschbomber,4,2,0,1,0,0,427,1,0,4403,1001,390,360,600,100,30,0,0,0,2,0,0,0,8,0,10,5,30,1,2,True,False,True,False,False,False,True,True
2,Marionette Nr. 001,Marionetten Nr. 001,3,1,0,1,1,0,419,200,0,4401,10001,410,0,620,100,30,0,0,0,1,0,0,0,8,0,10,37,20,1,3,False,True,False,False,False,False,True,True
3,Chocobo-Küken,Chocobo-Küken,4,1,0,1,2,0,423,3,0,4402,1,410,30,601,100,30,0,30,0,2,0,0,0,8,0,15,23,20,1,1,True,False,True,False,True,False,True,True
4,Cait Sith-Puppe,Cait Sith-Puppen,3,1,0,1,1,0,430,201,0,4404,10006,400,360,625,100,30,0,0,0,1,0,0,0,8,0,20,25,20,1,3,False,True,False,False,False,False,True,True
5,Baby-Behemoth,Baby-Behemoth,3,1,0,1,0,0,428,5,0,4405,1002,430,30,601,100,30,0,0,0,2,0,0,0,8,90,15,1,20,1,2,True,False,True,False,True,False,True,True
6,Marionette Nr. 003L,Marionetten Nr. 003L,3,1,0,1,1,0,420,200,0,4406,10002,365,30,607,100,30,0,0,0,1,0,0,0,8,0,10,14,20,1,3,False,True,False,False,False,False,True,True
7,Marionette Nr. 003G,Marionetten Nr. 003G,3,1,0,1,1,0,421,200,0,4407,10003,280,360,625,100,30,0,0,0,1,0,0,0,8,0,10,25,20,1,3,False,True,False,False,False,False,True,True
8,Marionette Nr. 003U,Marionetten Nr. 003U,3,1,0,1,1,0,422,200,0,4408,10004,420,120,631,100,30,0,0,0,1,0,0,0,8,0,10,13,20,1,3,False,True,False,False,False,False,True,True
9,Mahlstrom-Küken,Mahlstrom-Küken,4,1,0,1,2,0,424,3,0,4409,2,315,30,601,100,30,0,30,0,2,0,0,0,8,0,10,19,30,1,1,True,False,True,False,True,False,True,True
10,Bruderschafts-Küken,Bruderschafts-Küken,4,1,0,1,2,0,425,3,0,4410,3,350,360,623,100,30,0,30,0,2,0,0,0,8,0,10,30,20,1,1,True,False,True,False,True,False,True,True
11,Legions-Küken,Legions-Küken,4,1,0,1,2,0,426,3,0,4411,4,320,120,622,100,30,0,30,0,2,0,0,0,8,0,10,26,20,1,1,True,False,True,False,True,False,True,True
12,Morbol-Knolle,Morbol-Knollen,3,1,0,1,1,0,429,6,0,4412,1003,560,120,602,100,30,0,0,0,2,0,0,0,8,0,30,20,20,1,2,True,False,True,False,False,False,True,True
13,klein[a] Ratte,klein[a] Ratten,3,0,0,1,1,0,431,7,0,4413,1004,400,120,622,100,30,0,0,0,2,0,0,0,8,0,10,14,20,1,1,True,False,False,False,True,False,True,True
14,Mini-Pilz,Mini-Pilze,2,2,0,1,0,0,432,8,0,4414,1005,395,120,602,100,30,0,0,0,2,0,0,0,8,0,10,4,20,1,2,True,False,False,True,False,False,True,True
15,Stechmücken-Larve,Stechmücken-Larve,3,2,0,1,1,0,433,9,0,4415,1006,420,0,620,100,30,0,0,0,2,0,0,0,8,130,10,9,20,1,1,True,False,True,True,False,False,True,True
16,blau[a] Vögelchen,blau[a] Vögelchen,4,1,0,1,2,0,434,10,0,4416,5001,460,120,605,80,30,0,0,0,2,3,0,0,8,100,15,1,20,1,1,True,False,True,False,True,False,True,True
