#,Name,Description,Icon,MKDSupportJob,LevelUnlock
0,,,-1,0,0
1,Verbessertes Phantom-Beschützen,Erhöht den Effekt von **Phantom-Beschützen** auf 90 %.,82201,1,4
2,Verbessertes Beten,Erhöht die Heilwirkung von **Beten** auf 5.000.,82202,1,5
3,Verbessertes Wüten,"Gewährt dir **Durch Mark und Bein**.
Effekt von **Durch Mark und Bein**: Je mehr Schaden während der Effektdauer erlitten wird, desto höher der Attacke-Wert von **Todesstoß**.
Dauer: 15 Sekunden",82203,2,3
4,Verbessertes Treten,Erhöht den Effekt von **Treten** auf 7 %.,82204,3,4
5,Verbessertes Treten II,Erhöht den Effekt von **Treten** auf 9 %.,82205,3,6
6,Verbessertes Phantom-Zielen,Erhöht den Effekt von **Phantom-Zielen** auf 30 %.,82206,4,3
7,Verbessertes Phantom-Zielen II,Erhöht den Effekt von **Phantom-Zielen** auf 50 %.,82207,4,5
8,Verbessertes Iainuki,Erhöht den Attacke-Wert von **Iainuki** auf 500 und gewährt eine Chance von 10 % auf den sofortigen Tod des Gegners.,82208,5,5
9,Verbessertes Singen,Erhöht die Effekte deiner Lieder skalierend mit der Stufe deines Phantom-Barden.,82209,6,2
10,Schlüsselmeister,Erlaubt dir das Öffnen von verschlossenen Türen in Dungeons.,82212,12,6
11,Verbessertes Bombardieren,Gewährt eine Chance von 5 % auf den sofortigen Tod fast aller Gegner.,82211,9,5
12,Verbessertes Läuten,Erhöht den Effekt von **Kampfesglocke** auf 5 % und die Heilwirkung von **Ruheglocke** auf 3.000.,82210,7,5
13,,,-1,0,0
14,,,-1,0,0
15,,,-1,0,0
