#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
0,,0,0,0,0,0,0,0,0,0,0
1,Kraft + UNKNOWN %,10,10,15,15,20,100,100,100,100,100
2,Moral + UNKNOWN %,10,10,15,15,20,100,100,100,100,100
3,Taktik + UNKNOWN %,10,10,15,15,20,100,100,100,100,100
4,Kraft (alle) + UNKNOWN %,3,3,3,3,5,100,100,100,100,100
5,Moral (alle) + UNKNOWN %,3,3,3,3,5,100,100,100,100,100
6,Taktik (alle) + UNKNOWN %,3,3,3,3,5,100,100,100,100,100
7,Routine + UNKNOWN %,10,10,20,20,30,100,100,100,100,100
8,Routine (alle) + UNKNOWN %,5,5,10,10,15,100,100,100,100,100
9,Kameradenbonus erhalten (alle) + UNKNOWN %,10,20,30,40,50,100,100,100,100,100
10,Fundchance für „Ausbildungs­buch: Verteidiger“ UNKNOWN %,0,0,0,0,0,10,20,30,40,50
11,Fundchance für „Ausbildungs­buch: Magier“ UNKNOWN %,0,0,0,0,0,10,20,30,40,50
12,Fundchance für „Ausbildungs­buch: Angreifer“ UNKNOWN %,0,0,0,0,0,10,20,30,40,50
13,Fundchance für Gil UNKNOWN %,0,0,0,0,0,10,20,30,40,50
14,Fundchance für Staatstaler UNKNOWN %,0,0,0,0,0,10,20,30,40,50
15,Fundchance für MGP UNKNOWN %,0,0,0,0,0,10,20,30,40,50
16,Fundchance für Verteidiger-Materia UNKNOWN %,0,0,0,0,0,10,20,30,40,50
17,Fundchance für Physischer-Angreifer-Materia UNKNOWN %,0,0,0,0,0,10,20,30,40,50
18,Fundchance für Magier-Materia UNKNOWN %,0,0,0,0,0,10,20,30,40,50
19,Fundchance für Sammler-Materia UNKNOWN %,0,0,0,0,0,10,20,30,40,50
20,Fundchance für Handwerker-Materia UNKNOWN %,0,0,0,0,0,10,20,30,40,50
21,Fundchance für Polykristalle UNKNOWN %,0,0,0,0,0,10,20,30,40,50
22,Fundchance für Sammlerscheine UNKNOWN %,0,0,0,0,0,10,20,30,40,50
23,Fundchance für Handwerkerscheine UNKNOWN %,0,0,0,0,0,10,20,30,40,50
