#,Item,Order,Category,SubCategory
0,2897,201,1,1
1,3220,202,1,1
2,3458,204,1,1
3,3682,203,1,1
4,3889,205,1,1
5,2898,2001,1,2
6,3221,2002,1,2
7,3459,2004,1,2
8,3683,2003,1,2
9,3890,2005,1,2
10,2899,401,1,3
11,3222,402,1,3
12,3460,404,1,3
13,3684,403,1,3
14,3891,405,1,3
15,2900,1401,1,4
16,3223,1402,1,4
17,3461,1404,1,4
18,3685,1403,1,4
19,3892,1405,1,4
20,2901,3201,1,5
21,3224,3202,1,5
22,3462,3204,1,5
23,3686,3203,1,5
24,3893,3205,1,5
25,2902,5201,1,7
26,3225,5202,1,7
27,3463,5204,1,7
28,3687,5203,1,7
29,3894,5205,1,7
30,2903,4201,1,8
31,3226,4202,1,8
32,3464,4204,1,8
33,3690,4203,1,8
34,3895,4205,1,8
35,2645,37004,7,44
36,2646,37005,7,44
37,2647,37006,7,44
38,2648,37007,7,44
39,4301,38001,7,55
40,4302,38002,7,55
41,4303,38003,7,55
42,4200,30001,2,12
43,2659,31001,2,19
44,2707,31002,2,19
45,2751,31003,2,19
46,2809,31004,2,19
47,2671,31005,2,19
48,4404,31006,2,19
49,4407,31007,2,19
50,4406,31008,2,19
51,4405,31009,2,19
52,4408,31010,2,19
53,2973,33001,5,26
54,2974,33002,5,26
55,2975,33003,5,26
56,2976,33004,5,26
57,2977,33005,5,26
58,2978,33008,5,26
59,2979,33009,5,26
60,2980,33010,5,26
61,2981,33011,5,26
62,2982,33012,5,26
63,3286,33015,5,26
64,3287,33016,5,26
65,3288,33017,5,26
66,3289,33018,5,26
67,3290,33019,5,26
68,3291,33022,5,26
69,3292,33023,5,26
70,3293,33024,5,26
71,3294,33025,5,26
72,3295,33026,5,26
73,2638,35001,6,36
74,2639,35002,6,36
75,2640,35003,6,36
76,2641,35004,6,36
77,2643,36001,7,62
78,2966,36002,7,62
79,4199,36003,7,62
80,4319,42014,4,83
81,2967,33029,5,26
82,2968,33030,5,26
83,2969,33031,5,26
84,2970,33032,5,26
85,2971,33033,5,26
86,2972,33034,5,26
87,3280,33035,5,26
88,3281,33036,5,26
89,3282,33037,5,26
90,3283,33038,5,26
91,3284,33039,5,26
92,3285,33040,5,26
93,3748,33041,5,26
94,3749,33042,5,26
95,2773,42004,4,83
96,3323,42005,4,83
97,2752,42003,4,83
98,2649,42013,4,83
99,4287,42012,4,83
100,2907,40101,3,76
101,2908,40601,3,81
102,2909,40301,3,78
103,2910,40401,3,79
104,2326,40501,3,80
105,2353,40502,3,80
106,2378,40503,3,80
107,2403,40504,3,80
108,2428,40505,3,80
109,2454,40506,3,80
110,2479,40507,3,80
111,2505,40508,3,80
112,2531,40509,3,80
113,2557,40510,3,80
114,2583,40511,3,80
115,2222,40701,3,82
116,2223,40703,3,82
117,2221,40702,3,82
118,4274,40704,3,82
119,4275,40706,3,82
120,4276,40705,3,82
121,4517,40707,3,82
122,4518,40709,3,82
123,4519,40708,3,82
124,2784,40001,3,75
125,2914,40002,3,75
126,2904,4401,1,9
127,3227,4402,1,9
128,3465,4404,1,9
129,3688,4403,1,9
130,3896,4405,1,9
131,2905,5401,1,10
132,3228,5402,1,10
133,3466,5404,1,10
134,3689,5403,1,10
135,3897,5405,1,10
136,2633,42051,4,84
137,2634,42052,4,84
138,4201,42352,4,90
139,4202,42007,4,83
140,4203,42008,4,83
141,6102,42451,4,92
142,6103,42453,4,92
143,6104,42452,4,92
144,6105,42454,4,92
145,7889,2601,1,6
146,7890,2602,1,6
147,7891,2604,1,6
148,7892,2603,1,6
149,7893,2605,1,6
150,2632,42001,4,83
151,2637,42002,4,83
152,3519,42351,4,90
153,3744,42006,4,83
154,6106,37008,7,44
155,6964,37051,7,45
156,6965,37052,7,45
157,6966,37053,7,45
158,6967,37054,7,45
159,6094,33006,5,26
160,6096,33007,5,26
161,6098,33013,5,26
162,6100,33014,5,26
163,6095,33020,5,26
164,6097,33021,5,26
165,6099,33027,5,26
166,6101,33028,5,26
167,6107,35005,6,36
168,6108,35006,6,36
169,6111,40111,3,76
170,6109,40302,3,78
171,6110,40307,3,78
172,6119,40102,3,76
173,6120,40103,3,76
174,6121,40104,3,76
175,6122,40105,3,76
176,6123,40106,3,76
177,6124,40108,3,76
178,6125,40109,3,76
179,6126,40110,3,76
180,6127,40512,3,80
181,6128,40513,3,80
182,6129,40514,3,80
183,6130,40515,3,80
184,6131,40516,3,80
185,6132,40517,3,80
186,6133,40518,3,80
187,6134,40519,3,80
188,6135,40520,3,80
189,6136,40521,3,80
190,6137,40522,3,80
191,6116,40710,3,82
192,6117,40711,3,82
193,6118,40712,3,82
194,2994,40112,3,76
195,2327,7001,1,131
196,2354,7201,1,132
197,2379,7401,1,133
198,2404,7601,1,134
199,2429,7801,1,135
200,2455,8001,1,136
201,2480,8201,1,137
202,2506,8401,1,138
203,2532,9001,1,139
204,2558,9201,1,140
205,2584,9401,1,141
206,6033,39051,8,69
207,6035,39052,8,69
208,6034,39053,8,69
209,6036,39054,8,69
210,6037,39055,8,69
211,6038,39056,8,69
212,6039,39057,8,69
213,6040,39058,8,69
214,6045,39059,8,69
215,6046,39060,8,69
216,6047,39061,8,69
217,6048,39062,8,69
218,6041,39063,8,69
219,6042,39064,8,69
220,6043,39065,8,69
221,6044,39066,8,69
222,6112,39201,8,72
223,6968,36004,7,62
224,6969,36005,7,62
225,6970,36006,7,62
226,6971,38051,7,56
227,6972,38052,7,56
228,6973,38053,7,56
229,6974,38054,7,56
230,6975,38055,7,56
231,6976,38056,7,56
232,6977,38057,7,56
233,8532,33051,5,27
234,8533,33052,5,27
235,8534,33053,5,27
236,8535,33054,5,27
237,8536,33055,5,27
238,8537,33056,5,27
239,8711,35051,6,37
240,8712,35052,6,37
241,8713,35053,6,37
242,8714,35054,6,37
243,8715,35055,6,37
244,9317,40308,3,78
245,8717,40523,3,80
246,9381,40107,3,76
247,9268,37101,7,46
248,9269,37102,7,46
249,9270,37103,7,46
250,9271,37104,7,46
251,9272,36051,7,63
252,9273,36052,7,63
253,9274,36053,7,63
254,9275,36054,7,63
255,9290,36055,7,63
256,0,0,4,0
257,0,0,4,0
258,0,0,4,0
259,0,0,4,0
260,10316,33101,5,28
261,10317,33103,5,28
262,10318,33105,5,28
263,10319,33106,5,28
264,10320,33102,5,28
265,10321,33104,5,28
266,0,0,4,0
267,10329,42101,4,85
268,10330,42102,4,85
269,10331,42103,4,85
270,12035,42409,4,91
271,12036,42410,4,91
272,12037,42411,4,91
273,12038,42412,4,91
274,12039,42413,4,91
275,12513,40201,3,77
276,12514,40202,3,77
277,12515,40203,3,77
278,12516,40204,3,77
279,12517,40205,3,77
280,6113,39202,8,72
281,7545,42455,4,92
282,8566,42009,4,83
283,8576,39203,8,72
284,9460,42456,4,92
285,10042,42401,4,91
286,10043,42402,4,91
287,10044,42403,4,91
288,10045,42404,4,91
289,10066,30052,2,13
290,10067,31051,2,20
291,10068,31052,2,20
292,10069,31053,2,20
293,10070,31054,2,20
294,10065,40309,3,78
295,13099,35101,6,38
296,13100,35102,6,38
297,13101,35103,6,38
298,13102,35104,6,38
299,13330,39001,8,68
300,13331,39002,8,68
301,13332,39003,8,68
302,13333,39004,8,68
303,13334,39005,8,68
304,13290,36101,7,64
305,13291,36102,7,64
306,13292,36103,7,64
307,13293,36104,7,64
308,13294,36105,7,64
309,13295,37151,7,47
310,13296,37152,7,47
311,13297,37153,7,47
312,13298,38101,7,57
313,13567,38102,7,57
314,13299,38103,7,57
315,13568,38104,7,57
316,13300,30101,2,14
317,13639,30103,2,14
318,13724,30102,2,14
319,13725,30104,2,14
320,8565,42010,4,83
321,13987,42405,4,91
322,13988,42406,4,91
323,13989,42407,4,91
324,13990,42408,4,91
325,14838,40305,3,78
326,15208,39251,8,73
327,15209,39253,8,73
328,15210,39254,8,73
329,15211,39255,8,73
330,15212,39256,8,73
331,15213,39257,8,73
332,15214,39258,8,73
333,15215,39259,8,73
334,15216,39260,8,73
335,15217,39261,8,73
336,15218,39262,8,73
337,15219,39263,8,73
338,15220,39264,8,73
339,15221,39252,8,73
340,15222,39269,8,73
341,15467,33151,5,29
342,15468,33152,5,29
343,15469,33153,5,29
344,15470,33154,5,29
345,15471,33155,5,29
346,15936,42011,4,83
347,15451,40306,3,78
348,16612,36151,7,65
349,16613,35151,6,39
350,16614,37201,7,48
351,16615,37202,7,48
352,17496,42414,4,91
353,17497,42415,4,91
354,17498,42416,4,91
355,17499,42417,4,91
356,17476,30156,2,15
357,17477,30157,2,15
358,17478,30158,2,15
359,17479,30159,2,15
360,17480,30160,2,15
361,17481,30151,2,15
362,17482,30152,2,15
363,17483,30153,2,15
364,17484,30154,2,15
365,17485,30155,2,15
366,16038,42151,4,86
367,16039,42152,4,86
368,20564,33201,5,30
369,20565,33202,5,30
370,20566,33203,5,30
371,21017,35201,6,40
372,21018,35202,6,40
373,21019,35203,6,40
374,21020,35204,6,40
375,21021,35205,6,40
376,21026,35206,6,40
377,20678,37251,7,49
378,20679,37252,7,49
379,22457,37301,7,50
380,22458,37302,7,50
381,14839,42551,4,94
382,14840,42552,4,94
383,14972,42558,4,94
384,14973,42559,4,94
385,14974,42560,4,94
386,14975,42561,4,94
387,14976,42562,4,94
388,14977,42553,4,94
389,14978,42554,4,94
390,14979,42555,4,94
391,14980,42556,4,94
392,14981,42557,4,94
393,14983,42563,4,94
394,15487,42564,4,94
395,15488,42565,4,94
396,15489,42566,4,94
397,15490,42567,4,94
398,15491,42568,4,94
399,15935,42353,4,90
400,8706,42501,4,93
401,8707,42502,4,93
402,8708,42503,4,93
403,8709,42504,4,93
404,8710,42505,4,93
405,16042,42506,4,93
406,16043,42507,4,93
407,16044,42508,4,93
408,16045,42509,4,93
409,16046,42510,4,93
410,16047,42511,4,93
411,16048,42512,4,93
412,23017,33251,5,31
413,23018,33252,5,31
414,23019,33253,5,31
415,23226,33254,5,31
416,24145,36201,7,66
417,24146,36202,7,66
418,24147,36203,7,66
419,24236,37351,7,51
420,24237,37352,7,51
421,24163,42354,4,90
422,24589,42202,4,87
423,24608,39101,8,70
424,24609,39102,8,70
425,24610,39103,8,70
426,24611,39104,8,70
427,24590,30201,2,16
428,24605,31101,2,21
429,24606,31102,2,21
430,24607,31103,2,21
431,25020,38151,7,58
432,25021,38152,7,58
433,27943,33301,5,32
434,27944,33302,5,32
435,27945,33303,5,32
436,27946,33304,5,32
437,27947,33305,5,32
438,27948,33306,5,32
439,27949,33307,5,32
440,27950,33308,5,32
441,25180,42201,4,87
442,27923,42457,4,92
443,28556,37401,7,52
444,28557,37402,7,52
445,28558,38201,7,59
446,28559,38202,7,59
447,28560,38203,7,59
448,28561,38204,7,59
449,28562,38205,7,59
450,28563,38206,7,59
451,28564,38207,7,59
452,28565,38208,7,59
453,28566,38209,7,59
454,28567,38210,7,59
455,28568,38211,7,59
456,28569,38212,7,59
457,28570,38213,7,59
458,28571,38214,7,59
459,28572,38215,7,59
460,28573,38216,7,59
461,28574,38217,7,59
462,28575,38218,7,59
463,28576,38219,7,59
464,28577,38220,7,59
465,28578,38221,7,59
466,28579,38222,7,59
467,28580,38223,7,59
468,28581,38224,7,59
469,28582,38225,7,59
470,28583,38226,7,59
471,28584,38227,7,59
472,28585,38228,7,59
473,28586,38229,7,59
474,28587,38230,7,59
475,30042,30251,2,17
476,30043,30252,2,17
477,30044,31151,2,22
478,30045,31152,2,22
479,30046,31153,2,22
480,30047,40546,3,80
481,30750,33351,5,33
482,30751,33352,5,33
483,30752,33353,5,33
484,30753,33354,5,33
485,30754,33355,5,33
486,31393,40113,3,76
487,30807,39265,8,73
488,30808,39266,8,73
489,30809,39267,8,73
490,30810,39268,8,73
491,32803,38251,7,60
492,32804,37451,7,53
493,32805,37452,7,53
494,33648,42252,4,88
495,33649,42513,4,93
496,33650,42514,4,93
497,33653,31201,2,23
498,33654,31202,2,23
499,35853,37501,7,54
500,35854,37502,7,54
501,35855,37503,7,54
502,35856,37504,7,54
503,35857,30301,2,18
504,35863,35251,6,41
505,35864,35252,6,41
506,35865,35253,6,41
507,35866,35254,6,41
508,35867,35255,6,41
509,35754,42251,4,88
510,35858,40304,3,78
