#,Unknown0,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9
0,,,0,0,0,0,0,0,0,0
1,Bommel-Feuer,"Richtet UNKNOWN Schaden auf ein Ziel vor dir an.
MP-Kosten: UNKNOWN
Runden bis Reaktivierung: UNKNOWN",20,0,15,30,3,1,1,1
2,Bommel-Sternensturm,"Richtet UNKNOWN Schaden auf das Ziel und Gegner in der Nähe UNKNOWN Felder vor dir an.
MP-Kosten: UNKNOWN
Runden bis Reaktivierung: UNKNOWN",10,8,25,40,4,3,3,2
3,Bommel-Meteor,"Richtet UNKNOWN Schaden auf alle Gegner an.
MP-Kosten: UNKNOWN
Runden bis Reaktivierung: UNKNOWN",15,0,50,80,10,0,0,3
4,Bommel-Vita,"Heilt UNKNOWN LP.
MP-Kosten: UNKNOWN
Runden bis Reaktivierung: UNKNOWN",50,0,0,10,1,0,0,4
5,Bommel-Medica,"Entfernt alle negativen Effekte außer Verhängnis.
MP-Kosten: UNKNOWN　
Runden bis Reaktivierung: UNKNOWN",0,0,0,20,3,0,0,5
6,Bommel-Barriere,"Errichtet eine Barriere, die Schaden abhält.
Dauer: UNKNOWN Runde
MP-Kosten: UNKNOWN
Runden bis Reaktivierung: UNKNOWN",0,0,0,30,3,0,0,6
7,Bommel-Levitas,"Macht dich immun gegen Boden-Effekte.
Dauer: UNKNOWN Runden
MP-Kosten: UNKNOWN　
Runden bis Reaktivierung: UNKNOWN",0,0,0,20,3,0,0,7
8,Bommel-Schutzengel,"Wiederbelebung bei Kampfunfähigkeit.
Dauer: Unbegrenzt
MP-Kosten: UNKNOWN
Runden bis Reaktivierung: UNKNOWN",0,0,0,50,99,0,0,8
9,,,100,0,0,0,0,0,0,0
10,,,100,0,0,0,0,0,0,0
11,,,0,0,0,0,0,0,0,0
12,,,0,0,0,0,0,0,0,0
13,,,100,0,0,0,0,0,7,0
14,,,10,2,0,0,0,0,1,0
15,,,100,0,0,0,0,0,1,0
16,,,0,0,0,0,0,0,0,0
17,,,0,0,0,0,0,0,0,0
18,,,9999,0,0,0,0,0,0,0
