#,Singular,Plural,NameRank,Unknown0,Adjective,PossessivePronoun,StartsWithVowel,Unknown1,Pronoun,Article
0,,,,,0,0,0,0,0,0
1,Dritter Novize,Dritte Novizen,Novize,Dritter Novize,6,1,0,1,1,0
2,Zweiter Novize,Zweite Novizen,Novize,Zweiter Novize,6,1,0,1,1,0
3,Erster Novize,Erste Novizen,Novize,Erster Novize,6,1,0,1,1,0
4,Erleuchteter Novize,Erleuchtete Novizen,Novize,Erleuchteter Novize,6,1,0,1,1,0
5,Dritter Schlangenjünger,Dritte Schlangenjünger,Schlangenjünger,Dritter Schlangenjünger,4,2,0,1,1,0
6,Zweiter Schlangenjünger,Zweite Schlangenjünger,Schlangenjünger,Zweiter Schlangenjünger,4,2,0,1,1,0
7,Erster Schlangenjünger,Erste Schlangenjünger,Schlangenjünger,Erster Schlangenjünger,4,2,0,1,1,0
8,Erleuchteter Schlangenjünger,Erleuchtete Schlangenjünger,Schlangenjünger,Erleuchteter Schlangenjünger,4,2,0,1,1,0
9,Zweiter Schlangenpriester,Zweite Schlangenpriester,Schlangenpriester,Zweiter Schlangenpriester,4,2,0,1,1,0
10,Erster Schlangenpriester,Erste Schlangenpriester,Schlangenpriester,Erster Schlangenpriester,4,2,0,1,1,0
11,Erleuchteter Schlangenpriester,Erleuchtete Schlangenpriester,Schlangenpriester,Erleuchteter Schlangenpriester,4,2,0,1,1,0
12,Zweiter Prior,Zweite Prioren,Prior,Zweiter Prior,4,1,0,1,1,0
13,Erster Prior,Erste Prioren,Prior,Erster Prior,4,1,0,1,1,0
14,Erleuchteter Prior,Erleuchtete Prioren,Prior,Erleuchteter Prior,4,1,0,1,1,0
15,Einäugiger Seher,Einäugige Seher,Seher,Einäugiger Seher,4,2,0,1,1,0
16,Zweiäugiger Seher,Zweiäugige Seher,Seher,Zweiäugiger Seher,4,2,0,1,1,0
17,Dreiäugiger Seher,Dreiäugige Seher,Seher,Dreiäugiger Seher,4,2,0,1,1,0
18,Auge der Schlange,Augen der Schlange,Auge der Schlange,Auge der Schlange,4,1,0,1,2,0
19,Saatseher,Saatseher,Saatseher,Saatseher,4,2,0,1,1,0
